"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-8.03835440119782","-13.2344695930927","-3.25232275498856","2.70955164561661","-0.337077903060962","-0.269087513245726","-0.605463247632029","-0.193119045742364","BayesComm","American.Wigeon"
"2","bio2","-0.014890888309096","-0.0386089515726522","0.0108301312232377","0.0134115743325839","-0.900656431919614","-0.605887965178223","-1.77974018241318","-0.512086015863948","BayesComm","American.Wigeon"
"3","bio3","0.0556772999786254","-0.035373278754178","0.141700252354474","0.0444645251010062","0.79861137515785","0.522326175459908","1.66536792229511","0.447657735289053","BayesComm","American.Wigeon"
"4","bio5","0.00886236850904762","-0.0115388663512484","0.029730384289413","0.0113731345576916","1.28330643733452","0.960111776379101","2.26859851832821","0.735243897627065","BayesComm","American.Wigeon"
"5","bio8","0.0035723197256917","-0.00124692544724008","0.00943158747959163","0.00265279877686071","0.742598362006091","0.496787881264163","1.30469809072417","0.413583986657955","BayesComm","American.Wigeon"
"6","bio9","0.0049795084355446","-0.000492051647802902","0.010867785497667","0.00286730560557864","0.575821015807768","0.390698329253474","1.09484662095671","0.325485438626905","BayesComm","American.Wigeon"
"7","bio15","-0.00403236045800083","-0.0279026750604631","0.0195400299033339","0.0124517563784763","-3.08795716756177","-2.23401060225052","-5.67316968164696","-1.75649523746921","BayesComm","American.Wigeon"
"8","bio16","-0.00133259746643476","-0.00723712342101225","0.0035667515995163","0.00280673995623547","-2.10621738891987","-1.5341137625381","-2.94353693466543","-1.18829764437358","BayesComm","American.Wigeon"
"9","bio18","0.00576784678968069","0.00169902734108474","0.0106723852640965","0.00234454073294081","0.406484571874456","0.28392171118726","0.725330098460516","0.229066984511517","BayesComm","American.Wigeon"
"10","intercept","-0.869173762628644","-1.88561952665518","0.231112304301523","0.544914447815278","-0.62693384366239","-0.439295405263467","-1.27937297725754","-0.355270132588002","BayesComm","American.Wigeon"
"11","bio2","-0.0157902421803031","-0.0240074323898424","-0.00735837518939437","0.00427721409527356","-0.270877042063927","-0.186645042459918","-0.530802758972137","-0.152529785718807","BayesComm","American.Wigeon"
"12","bio3","-0.0182868344749745","-0.0441532051447188","0.0084787371674738","0.0133425635971655","-0.729626749529823","-0.504804534111605","-1.47533923549369","-0.412160813267563","BayesComm","American.Wigeon"
"13","bio5","0.00671375834743053","0.00282248509792438","0.0106928251184147","0.0020608431116754","0.306958190186294","0.194388601667695","0.582327737544315","0.17161143642795","BayesComm","American.Wigeon"
"14","bio8","-0.0031730747820255","-0.00499360806942208","-0.00131483459576728","0.000938761768773022","-0.295852393423194","-0.201911067990706","-0.583150813742773","-0.167181239705451","BayesComm","American.Wigeon"
"15","bio9","-0.000383199465045588","-0.00207243655048888","0.00127193966521243","0.000838333031312226","-2.18771973288765","-1.47855640505254","-4.17787536368286","-1.23206940324979","BayesComm","American.Wigeon"
"16","bio15","0.00989429200636455","0.00412629713907148","0.0157967435951908","0.00298466407729268","0.301655143730626","0.196312878611006","0.585776368767307","0.168178844478945","BayesComm","American.Wigeon"
"17","bio16","-0.000386106852217355","-0.00145578378648812","0.000608456777911392","0.000544409918947504","-1.40999807649369","-0.985260409538409","-2.4361793540216","-0.795031015522521","BayesComm","American.Wigeon"
"18","bio18","0.000836538656100934","-0.000530809989328807","0.00223420360339663","0.000706321199076032","0.84433778872594","0.547377398976743","1.6232382051277","0.474672144560014","BayesComm","American.Wigeon"
"19","intercept","-1.78586806362128","-3.48676993426807","0.0965855568274596","0.907033608720939","-0.507895083179722","-0.341926906184672","-1.05697953035839","-0.287105918518937","BayesComm","American.Wigeon"
"20","bio2","0.0112699944863031","-0.00410042512313995","0.026503714700999","0.0078071345177777","0.692736320968571","0.466159661382647","1.36605562847274","0.389204389368998","BayesComm","American.Wigeon"
"21","bio3","-0.0890964324493445","-0.148090245506602","-0.0336361271671608","0.0289532885400978","-0.324965744914188","-0.21652491884433","-0.629815676478122","-0.183114566363216","BayesComm","American.Wigeon"
"22","bio5","0.00663367897035753","0.000436944742467034","0.0130857483727857","0.00319000074091158","0.480879577556592","0.320903806731599","0.935376076534017","0.270162569932588","BayesComm","American.Wigeon"
