"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,0.122995031961026,0.0997700874260564,0.163148548750985,0.128516533012727,0.132647604247591,0.105215303825796,0.164690293796387,0.114115833316188,0.130512636632978,0.139842827642861,0.129583056287923
"ARE",0.122995031961026,1,0.111511192255744,0.169251463343676,0.0886731948281783,0.136071339671893,0.119790711577785,0.161600586813428,0.139485818321737,0.151245501027552,0.1552767345133,0.144023498323567
"BAX",0.0997700874260564,0.111511192255744,1,0.132067346170878,0.122505213389506,0.102663928934533,0.0822052068104971,0.12377317216153,0.0863963678340394,0.10949277271511,0.101344903654697,0.0860405448838931
"CAM",0.163148548750985,0.169251463343676,0.132067346170878,1,0.176721712767735,0.114541178619585,0.118234227977418,0.120321250873633,0.121655367510618,0.177886379070697,0.120359374475016,0.108551508616661
"GON",0.128516533012727,0.0886731948281783,0.122505213389506,0.176721712767735,1,0.150753239845651,0.136540837434439,0.175646167757069,0.142924355366207,0.153241749201624,0.168442230140314,0.151587493979531
"MEL",0.132647604247591,0.136071339671893,0.102663928934533,0.114541178619585,0.150753239845651,1,0.102155938602265,0.12587027341388,0.108826751799412,0.161530625357788,0.121472989269656,0.104061871038403
"OBL",0.105215303825796,0.119790711577785,0.0822052068104971,0.118234227977418,0.136540837434439,0.102155938602265,1,0.110469598134875,0.0881087539105114,0.136694323935904,0.0919456430625906,0.0892252761856714
"OVA",0.164690293796387,0.161600586813428,0.12377317216153,0.120321250873633,0.175646167757069,0.12587027341388,0.110469598134875,1,0.111953301349323,0.176052391307511,0.10991692678792,0.107115172399951
"WIL",0.114115833316188,0.139485818321737,0.0863963678340394,0.121655367510618,0.142924355366207,0.108826751799412,0.0881087539105114,0.111953301349323,1,0.138321528626272,0.109531150464398,0.0915661238325567
"ALP",0.130512636632978,0.151245501027552,0.10949277271511,0.177886379070697,0.153241749201624,0.161530625357788,0.136694323935904,0.176052391307511,0.138321528626272,1,0.168988400104349,0.154778859560612
"VIM",0.139842827642861,0.1552767345133,0.101344903654697,0.120359374475016,0.168442230140314,0.121472989269656,0.0919456430625906,0.10991692678792,0.109531150464398,0.168988400104349,1,0.0974690548048957
"ARO.SAB",0.129583056287923,0.144023498323567,0.0860405448838931,0.108551508616661,0.151587493979531,0.104061871038403,0.0892252761856714,0.107115172399951,0.0915661238325567,0.154778859560612,0.0974690548048957,1
