"","coefficient","posterior.mean","lower","upper","model","species"
"1","intercept","-0.594107171827158","-2.13960835180769","0.953365823355084","BayesComm","Crinia.sig"
"2","log10.p_area","0.551662191388244","0.108453134964763","1.00990232201275","BayesComm","Crinia.sig"
"3","vertical.wall","-4.27880574347407","-9.1906186265158","-1.61908003030544","BayesComm","Crinia.sig"
"4","road.density","-8.92571406589095","-13.5218298347533","-3.98150983701611","BayesComm","Crinia.sig"
"5","intercept","-1.08729022505082","-2.79038484958884","0.56762964597577","BayesComm","Lim.dumer"
"6","log10.p_area","0.230768448954486","-0.242237864101143","0.70853495938037","BayesComm","Lim.dumer"
"7","vertical.wall","-3.08971338103253","-7.16621630816865","-0.428760302667053","BayesComm","Lim.dumer"
"8","road.density","-5.54659490776948","-10.417670674303","-0.958396529961575","BayesComm","Lim.dumer"
"9","intercept","-0.0447085827688312","-1.14788492071755","1.0368578258283","BayesComm","Lim.peron"
"10","log10.p_area","0.0533685016140609","-0.246806018115633","0.383818619607829","BayesComm","Lim.peron"
"11","vertical.wall","-0.848388728941524","-1.6152738967547","-0.150566014585982","BayesComm","Lim.peron"
"12","road.density","-4.32786504127563","-8.66581199973953","-0.274412461041163","BayesComm","Lim.peron"
"13","intercept","-1.77350459790108","-3.51048031577161","-0.0637102879402314","BayesComm","Lim.tas"
"14","log10.p_area","0.64469025692514","0.144161523789456","1.15774045823727","BayesComm","Lim.tas"
"15","vertical.wall","-3.42284796084207","-6.48595723687806","-0.946583335923758","BayesComm","Lim.tas"
"16","road.density","-7.59515079968532","-12.2557071434657","-2.87673464443262","BayesComm","Lim.tas"
"17","intercept","0.320119016411725","-1.38006900828979","1.85908062181587","BayesComm","Para.has"
"18","log10.p_area","-0.196792645329965","-0.684869008386015","0.330910709013486","BayesComm","Para.has"
"19","vertical.wall","-3.23733103459594","-6.84606049457413","-0.621546048604241","BayesComm","Para.has"
"20","road.density","-8.73519967405583","-13.5704211166986","-4.09402039716282","BayesComm","Para.has"
"21","intercept","-0.646176999271753","-1.6030512695038","0.244302525500324","BayesComm","Lit.ewing"
"22","log10.p_area","0.313831350707623","0.0644525802816288","0.584022531773649","BayesComm","Lit.ewing"
"23","vertical.wall","0.460809182908606","-0.192589451524956","1.18255808500566","BayesComm","Lit.ewing"
"24","road.density","-3.53402643765026","-8.06578696935704","1.10083862990897","BayesComm","Lit.ewing"
"25","intercept","-0.973914816600362","-2.64128176366736","0.579350054425103","BayesComm","Lit.verr"
"26","log10.p_area","0.201649346997055","-0.268762172367543","0.691676801842041","BayesComm","Lit.verr"
"27","vertical.wall","-4.00815735523998","-8.11843205705828","-0.923378656105219","BayesComm","Lit.verr"
"28","road.density","-5.9043973711814","-10.2987115931462","-1.2816609003937","BayesComm","Lit.verr"
"29","intercept","-3.36651525948959","-6.59516430096296","-0.845234575095434","BayesComm","Lit.peron"
"30","log10.p_area","0.433499108175162","-0.275087090145059","1.26439885978577","BayesComm","Lit.peron"
"31","vertical.wall","-3.12108668644273","-8.3068959018754","0.549783097809672","BayesComm","Lit.peron"
"32","road.density","-2.13349085928628","-8.2472911777192","3.59052141834774","BayesComm","Lit.peron"
"33","intercept","-4.28039183161429","-7.84253501948083","-1.48052657582603","BayesComm","Lit.rani"
"34","log10.p_area","0.579897578249813","-0.134065763562502","1.43925753238235","BayesComm","Lit.rani"
"35","vertical.wall","-1.73330710648556","-5.29862484039507","0.739584019427815","BayesComm","Lit.rani"
"36","road.density","2.83938183230855","-3.71271993010349","9.23304147336838","BayesComm","Lit.rani"
