"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,-0.214642733477225,-0.123300586839843,-0.160194611724659,-0.283012487054892,-0.0959870047935873,0.00414685186409208,-0.132288286309265,0.124867249114229,-0.211064969103844,-0.191750348592477
"antsin",-0.214642733477225,1,-0.114930022317782,0.125563773788195,-0.119473089792291,-0.455233141108428,-0.203705539574031,-0.53287187025149,-0.38293816435496,-0.370432381319789,-0.0521137010586911
"astfer",-0.123300586839843,-0.114930022317782,1,-0.095929219636721,-0.118561238646114,-0.257062290123587,-0.21662686039425,-0.268727415963674,-0.245121601881014,-0.158896251376916,-0.20989142993181
"fompin",-0.160194611724659,0.125563773788195,-0.095929219636721,1,-0.0928853133455565,-0.386801192189828,-0.187262898136478,-0.568764949202566,-0.338788208060728,-0.305152266799551,0.142352079349276
"hetpar",-0.283012487054892,-0.119473089792291,-0.118561238646114,-0.0928853133455565,1,-0.275512035400239,-0.176891959808656,-0.432995811096221,-0.371282786940279,-0.246042941343218,-0.0671055566397453
"junlut",-0.0959870047935873,-0.455233141108428,-0.257062290123587,-0.386801192189828,-0.275512035400239,1,-0.295395139333257,0.0318027165949692,0.106224863914372,-0.227226992615816,-0.476556760947781
"phefer",0.00414685186409208,-0.203705539574031,-0.21662686039425,-0.187262898136478,-0.176891959808656,-0.295395139333257,1,-0.21623462287704,-0.097435131867798,-0.283013013807674,-0.280850841794862
"phenig",-0.132288286309265,-0.53287187025149,-0.268727415963674,-0.568764949202566,-0.432995811096221,0.0318027165949692,-0.21623462287704,1,0.151944537041303,-0.321511848980165,-0.552998891221154
"phevit",0.124867249114229,-0.38293816435496,-0.245121601881014,-0.338788208060728,-0.371282786940279,0.106224863914372,-0.097435131867798,0.151944537041303,1,-0.111542174225889,-0.39956984436581
"poscae",-0.211064969103844,-0.370432381319789,-0.158896251376916,-0.305152266799551,-0.246042941343218,-0.227226992615816,-0.283013013807674,-0.321511848980165,-0.111542174225889,1,-0.292173421636884
"triabi",-0.191750348592477,-0.0521137010586911,-0.20989142993181,0.142352079349276,-0.0671055566397453,-0.476556760947781,-0.280850841794862,-0.552998891221154,-0.39956984436581,-0.292173421636884,1
