"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-10.7643588991514","-16.8576579747714","-5.13416303234753","3.05769553770622","-0.28405737548822","-0.189326887433962","-0.533084319785473","-0.160818979945067","boral","Anhinga"
"2","bio2","-0.0125008695768359","-0.0351847096781768","0.00958029314365369","0.000527140133971994","-0.923969315404901","-0.636120046700815","-1.74833129907384","-0.523455094061339","boral","Anhinga"
"3","bio3","0.0329516254998579","-0.0476105735542717","0.121293202588466","0.00627278726283653","1.3502921251392","0.984887140167146","2.29231473356297","0.763541136450726","boral","Anhinga"
"4","bio5","0.0184702976225489","-0.000721871895970956","0.0386476464624295","0.00022580381361912","0.542924982848297","0.363298794088267","1.03806761518903","0.305247940793367","boral","Anhinga"
"5","bio8","0.00423461508896894","-0.000315234539942839","0.00886504941770978","2.89254133753239e-05","0.550916442970601","0.356420156550846","1.07374067028342","0.309100137969932","boral","Anhinga"
"6","bio9","0.00349692240018183","-0.00182908843062423","0.00881655575235349","2.38398220443513e-05","0.775537710973047","0.509696369831744","1.52353402067047","0.437712320411286","boral","Anhinga"
"7","bio15","-0.0161600033594514","-0.0432034010980774","0.00955043415109597","0.000663519722922706","-0.828708424596593","-0.590073713504632","-1.56758348624311","-0.471256880546087","boral","Anhinga"
"8","bio16","0.00209076885116388","-0.00326326449850418","0.00665365849209127","1.8454848206727e-05","1.18187551208359","0.710901745756945","2.92500606400119","0.663040345104617","boral","Anhinga"
"9","bio18","0.00361811294177276","-0.000558676107605362","0.00873327995417614","2.20993965708101e-05","0.654867748765108","0.468738283929746","1.1366857937317","0.369363407727954","boral","Anhinga"
"10","intercept","-0.608650451888413","-1.55395471074019","0.262246400111169","0.46241813056153","-0.759743345506145","-0.520626716127304","-1.40604585099164","-0.428432451243268","boral","Double.crested.Cormorant"
"11","bio2","-0.0175123196846811","-0.0257900275959328","-0.00961032588909627","0.000180224757499129","-0.225497880129589","-0.148267230681106","-0.457049156689324","-0.126676549704237","boral","Double.crested.Cormorant"
"12","bio3","-0.00967591399590572","-0.0342288124755041","0.0165522318512833","0.00177926715681514","-1.30434711458489","-0.813692340479977","-2.87278662125447","-0.731755209087676","boral","Double.crested.Cormorant"
"13","bio5","0.0055339212241339","0.0019285292889104","0.0093362469633394","4.30585498918161e-05","0.345548390512336","0.238326055131212","0.657600071989848","0.195708367454164","boral","Double.crested.Cormorant"
"14","bio8","-0.00299126638276547","-0.00473807578305059","-0.00122072523609897","1.09437722756042e-05","-0.295074757215381","-0.19300725147197","-0.590278234773751","-0.166008840355212","boral","Double.crested.Cormorant"
"15","bio9","9.50830709353882e-05","-0.00137939902878519","0.00153034777805507","6.59159348744642e-06","7.88629688601319","5.02188843156068","19.2763889791358","4.43003907683898","boral","Double.crested.Cormorant"
"16","bio15","0.0144712229998993","0.00924474499312889","0.0195522472680258","0.000135455829652571","0.188921692896133","0.130179585733745","0.357936765805959","0.106809667525","boral","Double.crested.Cormorant"
"17","bio16","-0.00121156385643112","-0.00220402205411156","-0.000280837216489974","3.70833471004413e-06","-0.409826366300629","-0.285714267946708","-0.77396127031211","-0.231600338094154","boral","Double.crested.Cormorant"
"18","bio18","0.00108284958513417","-0.000282302788500195","0.00238218018874993","6.4840971861988e-06","0.642002453704963","0.440141547296381","1.26887549574715","0.363482923531444","boral","Double.crested.Cormorant"
"19","intercept","-1.11818823784583","-2.82285117743877","0.513377539610612","0.860837914243397","-0.769850625420444","-0.512643098309546","-1.44458402226526","-0.434809775458485","boral","American.White.Pelican"
"20","bio2","0.0232745802833715","0.00809742796431653","0.0385953032510663","0.000354721178475784","0.333946542142323","0.212879142944419","0.653161091521292","0.187523446213648","boral","American.White.Pelican"
"21","bio3","-0.150547651793944","-0.20978014131368","-0.0924462961322685","0.00416711004898154","-0.196338289464147","-0.132366552219759","-0.388231572899362","-0.110492592467884","boral","American.White.Pelican"
"22","bio5","0.00809942428879947","0.00243804747775977","0.0143162356382486","6.7407773274725e-05","0.369605374955851","0.253009446519196","0.708964273687095","0.208921142458985","boral","American.White.Pelican"
"23","bio8","-0.00231968992633305","-0.00575144738401527","0.00115842600671244","2.11015831063707e-05","-0.733677504747411","-0.493965482091828","-1.50442874593921","-0.412944279399761","boral","American.White.Pelican"
"24","bio9","-0.00220546518059325","-0.0046549382603537","0.000537890855109432","1.16152299644711e-05","-0.599119580217989","-0.407326014196386","-1.26129932554299","-0.338457337109584","boral","American.White.Pelican"
"25","bio15","0.00589610212660914","-0.00380097526163361","0.015517055330129","0.000249020351903686","0.852430948895142","0.576581638211384","1.64884760763192","0.481716683315993","boral","American.White.Pelican"
"26","bio16","-0.000179969771121256","-0.00346353216039652","0.00270733763299525","1.17791354037228e-05","-8.76357137154957","-6.7785537030384","-8.16042641117556","-4.94406523676937","boral","American.White.Pelican"
"27","bio18","-0.00675227915967536","-0.0106978768335364","-0.00265011664608252","1.95440647615821e-05","-0.310327177068217","-0.198569426924662","-0.602919097896027","-0.175011428369917","boral","American.White.Pelican"
"28","intercept","0.998439046982657","-0.227101669562304","2.35977888235509","0.663637164404625","0.664674690368107","0.463746571086597","1.21297331654321","0.375450215216371","boral","Common.Merganser"
"29","bio2","0.00431685960200844","-0.00497662593493915","0.0138573183910285","0.00022247879045046","1.12925593243518","0.768641379438497","2.12077429987495","0.637944692486373","boral","Common.Merganser"
"30","bio3","0.024393980393473","-0.00984396460521148","0.059718728583624","0.00251450834699997","0.73116337732123","0.514254358466115","1.39474731587591","0.4154475693101","boral","Common.Merganser"
"31","bio5","-0.0121655475928514","-0.0167740399352414","-0.00787028087814786","5.10835198893181e-05","-0.186479716293272","-0.120800695808582","-0.361290502769958","-0.104879046541232","boral","Common.Merganser"
"32","bio8","-0.00166146680626939","-0.00360554228509893","0.000396039424815265","1.28884009440424e-05","-0.625644268223692","-0.42895010087955","-1.24679175688927","-0.353238395910505","boral","Common.Merganser"
