"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-9.77320278821642","-14.5451636536221","-5.05336336179342","2.48231104371051","-0.253991562183017","-0.175974230227617","-0.484311922235928","-0.14423678424224","boral","Anhinga"
"2","bio2","-0.011441524129632","-0.0315373918680156","0.0105515331899055","0.000486191298496109","-0.931097137152669","-0.614797046454744","-2.00558508010077","-0.525234383000819","boral","Anhinga"
"3","bio3","0.0392412647544541","-0.0410527028317626","0.118569158264985","0.0058639616697035","1.05996651422856","0.726733310128675","2.05919969127402","0.599411660163123","boral","Anhinga"
"4","bio5","0.0144690686084515","-0.00225546512539278","0.0303372503249782","0.000192260395447084","0.590108272163476","0.393126615024243","1.1606354517252","0.335542028378339","boral","Anhinga"
"5","bio8","0.00434347308678129","-0.00017186811672165","0.009079239475126","2.94296315754353e-05","0.546471845327811","0.383669183127301","1.0385900867509","0.307834156254095","boral","Anhinga"
"6","bio9","0.00387522120748189","-0.00128427225332115","0.00909946836129706","2.3559444530679e-05","0.69159915635578","0.48054944492266","1.32866027559064","0.390310412936021","boral","Anhinga"
"7","bio15","-0.015212321385073","-0.0361745941536185","0.00703156908148482","0.00054462666201629","-0.722591369593993","-0.478336277144473","-1.48255588183317","-0.40746689950628","boral","Anhinga"
"8","bio16","0.00193927412373564","-0.00322182051691949","0.00592078877980078","1.71772848603516e-05","1.18599427725653","0.716498098035866","3.38744601870941","0.660115528588461","boral","Anhinga"
"9","bio18","0.00332124900516809","-0.000371616833004852","0.00809824826580424","2.0143907862703e-05","0.650275805614888","0.448815282408851","1.09619116331273","0.363090080186629","boral","Anhinga"
"10","intercept","-0.598311176847446","-1.50980277334582","0.239612709856477","0.446653202482018","-0.746523247042572","-0.515859254845685","-1.37728638688644","-0.421557200807297","boral","Double.crested.Cormorant"
"11","bio2","-0.0176924996200449","-0.0252234676492164","-0.0102810945290923","0.000178250854666752","-0.220756813267206","-0.146163692575071","-0.420857833567458","-0.124508988273039","boral","Double.crested.Cormorant"
"12","bio3","-0.00932301410286062","-0.0357042301801341","0.0157469986179872","0.00180536321161189","-1.37357464754818","-0.895672294403474","-2.57807445075245","-0.771196744182593","boral","Double.crested.Cormorant"
"13","bio5","0.00547872820951432","0.00201609719689101","0.00905023227859926","4.12312601203301e-05","0.334217586749807","0.231678756283559","0.635633983001091","0.189443549703212","boral","Double.crested.Cormorant"
"14","bio8","-0.00298829288226587","-0.0046814430166065","-0.00139253470713343","1.07950747843335e-05","-0.291355080956","-0.203883645724088","-0.541475201105609","-0.165182606256713","boral","Double.crested.Cormorant"
"15","bio9","0.000134397645028308","-0.00137429780974677","0.00158327644156683","6.62163906223804e-06","5.60479524563552","3.53840837962446","14.1525199277799","3.16100430314938","boral","Double.crested.Cormorant"
"16","bio15","0.0146945794312236","0.00933728098856739","0.0199002602152911","0.000138140592229819","0.189737649736168","0.125228125840597","0.36128137975329","0.106818496023813","boral","Double.crested.Cormorant"
"17","bio16","-0.00121063982369028","-0.00217658571419425","-0.000301316621083289","3.70439947652818e-06","-0.409703936285371","-0.287562348781798","-0.756797015932801","-0.231881097911105","boral","Double.crested.Cormorant"
"18","bio18","0.00109278794099351","-0.000239126013990325","0.00241699978703759","6.26630926208263e-06","0.614796289594873","0.396230913756208","1.21959584338604","0.345713712021435","boral","Double.crested.Cormorant"
"19","intercept","-1.16691821376122","-3.05754064107375","0.52741980433646","0.887423068354144","-0.76048437490216","-0.502102031358171","-1.41691273924813","-0.429170098674206","boral","American.White.Pelican"
"20","bio2","0.0234512598841529","0.00899064079146785","0.0398107383519208","0.000354405415991105","0.331135590189918","0.223594956707851","0.631541528158396","0.186578611539643","boral","American.White.Pelican"
"21","bio3","-0.151815050770482","-0.211005822712883","-0.0950653016497531","0.00416293602419544","-0.194504174454052","-0.125909114631831","-0.378802545665047","-0.109278030321129","boral","American.White.Pelican"
"22","bio5","0.00827198206203437","0.00276376576275045","0.0143911982557532","6.57554947529319e-05","0.35302455412372","0.222098129982025","0.677788218061035","0.198135886211318","boral","American.White.Pelican"
"23","bio8","-0.00244375580275464","-0.00584955918695862","0.000863677577541161","2.08059021162251e-05","-0.686671221193687","-0.442602030539923","-1.34644929230162","-0.385626772819044","boral","American.White.Pelican"
"24","bio9","-0.0021905907366863","-0.00477131093138621","0.000145717199593351","1.11426686626123e-05","-0.578647226712361","-0.396611897427955","-1.06300475486716","-0.325810105933632","boral","American.White.Pelican"
"25","bio15","0.00636222226097222","-0.00347490621412531","0.0165829661794526","0.000250985424129257","0.796212566657497","0.565258551900051","1.53019382323806","0.448614503632828","boral","American.White.Pelican"
"26","bio16","-0.000204968632086373","-0.00344498727513282","0.00266159024132529","1.14378050634693e-05","-7.47175402065553","-7.06344302355805","-7.79499698483467","-4.20466887198007","boral","American.White.Pelican"
"27","bio18","-0.00666731369376846","-0.0107367915082475","-0.00249771194603219","1.95196673287292e-05","-0.313889529910015","-0.20139010204803","-0.62254542383689","-0.176618966570644","boral","American.White.Pelican"
"28","intercept","1.00125543980637","-0.288142862658885","2.2581620620097","0.653300572095402","0.65248142094663","0.442769574671719","1.29252797409674","0.367650898630138","boral","Common.Merganser"
"29","bio2","0.00429530571835318","-0.00539573910978807","0.0134381476378844","0.00022276716742324","1.13639363553235","0.74664405743425","2.34182169208092","0.640744812036808","boral","Common.Merganser"
"30","bio3","0.0232814309501426","-0.0109663340071313","0.0583662658041703","0.00252083465800087","0.768030930129635","0.491309881031184","1.46271518086093","0.43143341734627","boral","Common.Merganser"
"31","bio5","-0.0119983709945438","-0.0163436713360893","-0.00766778096511228","5.09967801089352e-05","-0.188756935103995","-0.12920675581534","-0.361323016290141","-0.106354437668604","boral","Common.Merganser"
"32","bio8","-0.00166326622363238","-0.00381742555570622","0.000389964227373027","1.31528650547131e-05","-0.637791456448904","-0.422663921816609","-1.22755280950911","-0.360028537264966","boral","Common.Merganser"
"33","bio9","-0.00247049583701737","-0.00443685755077676","-0.000520116186184909","8.95132531139103e-06","-0.412182093332879","-0.27390936082734","-0.790147693417593","-0.232069140561665","boral","Common.Merganser"
"34","bio15","-0.0177248394682379","-0.0257808611710387","-0.00956738080548215","0.000206266649967198","-0.234874608151214","-0.160793423998323","-0.458678549737379","-0.1328555680978","boral","Common.Merganser"
"35","bio16","0.00215422448811631","0.00108044168050122","0.00327865710556896","4.32188480602233e-06","0.268626904112435","0.18000285218599","0.504282085116376","0.152072719457935","boral","Common.Merganser"
"36","bio18","-0.00345826135303641","-0.0055360417202766","-0.00132006470897759","1.01521653582708e-05","-0.314743071286072","-0.215160664737684","-0.614922923790964","-0.178009089691726","boral","Common.Merganser"
"37","intercept","-2.3206233872055","-4.49456162718246","-0.282106540616843","1.09628986422703","-0.472411796878075","-0.319852042086401","-0.881881457657623","-0.265084769460983","boral","Hooded.Merganser"
"38","bio2","0.0199409936977771","-0.00462097155675097","0.0469370988608733","0.000596555537906624","0.65550464832708","0.441547169389877","1.21840238467667","0.36993302930492","boral","Hooded.Merganser"
"39","bio3","-0.14181017005742","-0.236890251467767","-0.0477963171153395","0.00686688681204652","-0.343476105584887","-0.238309606136017","-0.664217968882598","-0.194770281077861","boral","Hooded.Merganser"
"40","bio5","0.00650007998184264","-0.0012203390595341","0.0155418437960704","9.77936995751168e-05","0.668151000037246","0.460803579750256","1.17042050845688","0.376454484044249","boral","Hooded.Merganser"
"41","bio8","-0.0035331772890328","-0.00699952258587919","-0.000152554559083116","2.13614153967729e-05","-0.487623577650471","-0.332185187466642","-0.957339789269312","-0.275432737267011","boral","Hooded.Merganser"
"42","bio9","-0.00439680509722921","-0.00806305456399142","-0.00127757390768422","1.55955843092313e-05","-0.40350632115949","-0.287238132460411","-0.726447976908982","-0.226788608529655","boral","Hooded.Merganser"
