"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,0.0083752077555726,0.00487233584848249,0.00784751378486574,-0.0905404194081106,-0.0621428882628913,-0.0397236874678199,0.0177432359690649,-0.00834713395969999,-0.0852083981882655,-0.118643930541359,-0.00780001748211082,-0.415231058713877,0.0174425843290104,-0.00797188221962652,-0.159398215422445,-0.00293777584421817,-0.00558836618573496,-0.334109719318695,-0.16254293348497,-0.00107126315929991,-0.0992053489376691,0.0173480120026303,0.000553284692818142,0.00505869197135608,-0.122609723216648,0.0163170558040403,0.0144908300776532,-0.00610736463914378,1.03918411843418e-05,0.00993028465278755,0.00215731416220042,0.000299590709129567,-0.159937116571846,-0.0377813290048508,0.00945528868112259,-0.0186999330435787,0.0140436513061882,-0.0981707799287252,-0.00376207055167686,0.0186155860198334,-0.0128747733060145,0.0112818832234086,-0.0351199988085006,0.0221831233323422,-0.0175950177873713,0.00637055015868791,0.0104908007528931,0.024390900920183,-0.0427959672489102,-0.109367092632512,0.0308833954631705,0.0234937653674394,0.00985126263936888,0.0104511497580269
"orange_tip",0.0083752077555726,1,0.517136455476938,0.488411375104454,0.169796917896522,0.278153526495142,0.450801378898448,0.544556334480707,0.072221194287598,0.178336367563312,0.0937451664207439,0.377600566655451,-0.383989349831312,0.695420156254829,0.516869805457054,-0.13895386515357,0.407196069665029,0.432268233212861,-0.297930371324348,-0.149711547286295,0.502708303332038,0.0895436207798539,0.658831705351612,0.523954854504938,0.62084698374869,-0.0197367728794632,0.654385061563008,0.432618420081458,0.430055014920937,0.593930643582405,0.700564829780597,0.582198334867501,0.605240929103727,-0.151905990685761,0.0567945643496394,0.512021855945523,0.441334468662263,0.696397937423965,-0.102722428760065,0.326856849840144,0.63153823658928,0.553052640961926,0.674462775595916,0.139903642251766,0.675905391202264,0.446538580493614,0.661143060147363,0.726539187724646,0.349151903043007,0.291349408200162,-0.0772486010099597,0.401472597126976,0.669057351422036,0.642808397539599,0.537679039116301
"purple_emperor",0.00487233584848249,0.517136455476938,1,0.39810831024715,0.149814016544799,0.23603336147227,0.376468135122635,0.43667093146601,0.0614816213521421,0.150048766223968,0.0718790448296093,0.319797530745361,-0.339214741846878,0.554852163031204,0.430191921836899,-0.121038143157187,0.34465999252971,0.363361727901856,-0.272519429187443,-0.129432568657829,0.413427809093168,0.07975993374218,0.527264645691012,0.440108905441087,0.508154139929248,-0.0169555926357376,0.519435802159547,0.347559180480794,0.363745357995601,0.500315730422504,0.566360490322465,0.488250822070974,0.500774701248075,-0.131522785277293,0.0477123868359899,0.419200545723085,0.369760076076686,0.553815411160839,-0.0959704163215611,0.277361179517388,0.497149100052265,0.468015910276882,0.545389869266753,0.12219551084954,0.530852927029993,0.370297163071067,0.537198877318153,0.584335108332374,0.272407986728459,0.247236865991133,-0.056437695454888,0.293402429111089,0.526233389265436,0.515088321110911,0.436459675433204
"ringlet",0.00784751378486574,0.488411375104454,0.39810831024715,1,0.0776580658331324,0.168473230290976,0.302799747397196,0.451094197487293,0.045230307221286,0.0867134509285389,0.0129036887069267,0.272256333039882,-0.349533802106256,0.556655840350143,0.374050805044005,-0.139937008722683,0.297860823323521,0.311897026640943,-0.287551444904794,-0.139966880679191,0.367113911549271,0.0191893985255375,0.525755070390541,0.396814213800434,0.477596770747262,-0.0605318264423655,0.521806604214122,0.355446447552459,0.309030079581055,0.443969501045827,0.543162527432249,0.436620777804939,0.451691480549209,-0.15539231438537,0.0124873420715663,0.403620208087181,0.308198359649144,0.551398409694197,-0.0616584898213055,0.237982031294879,0.507475039138716,0.384380498510182,0.526601452095286,0.0796031273902914,0.54615827264862,0.307679633774175,0.506800579567992,0.562814486209015,0.317611019590412,0.187215853745758,-0.103157271822385,0.363736645457647,0.547153586023013,0.499601051279547,0.423215049578625
"high_brown_fritillary",-0.0905404194081106,0.169796917896522,0.149814016544799,0.0776580658331324,1,0.466209422650018,0.478477460742734,-0.0608575159213474,0.0923786107175931,0.434667509520024,0.460250168725825,0.274998403189412,0.144350440098576,0.00313651692669394,0.356246407935262,0.136780353255729,0.236742462030323,0.283704124366578,0.258742559440721,0.0540494764104127,0.265618993983121,0.422559294041822,0.00683962494521066,0.249057591071136,0.167995854505784,0.354280909730307,0.00889069548626358,-0.0672233388137691,0.27943500063424,0.278992182981919,0.140292895570217,0.22800184878035,0.271333447876185,0.0862133984340582,0.176157479810348,0.0844286782544392,0.37407278071518,0.0570696063560804,-0.280441950785696,0.212790181109251,-0.0435009109005327,0.430096178527288,0.11907644435823,0.249730223766454,-0.0679248328007809,0.373499985026581,0.199783170271829,0.13977782278059,-0.290976330754371,0.399368669801388,0.143212010309061,-0.365193994465109,-0.0986710173029345,0.116740747577081,0.0598436439965261
"dark.green_fritillary",-0.0621428882628913,0.278153526495142,0.23603336147227,0.168473230290976,0.466209422650018,1,0.545586824171535,0.0470140405324604,0.105964590733746,0.457357334957803,0.475684523669271,0.334279013946759,0.0940769211180182,0.135292861218786,0.438195497993183,0.115803024211793,0.298319991052376,0.341939308784011,0.217612020398991,0.0382588133986905,0.346553496207111,0.431345733273773,0.135462190817918,0.325225572725554,0.258731698449199,0.346064729536954,0.14016837594744,0.0220903841105894,0.342845148129954,0.36693335173566,0.265677781430791,0.331754413148791,0.374112211664111,0.0829766334108673,0.182781621698503,0.173736419638676,0.437954240971959,0.183179582946043,-0.256655908634355,0.258337097139549,0.0838603775037851,0.516267646728772,0.240950299144169,0.25773525748571,0.0689740355998068,0.439816127153252,0.309323650510759,0.269063709084124,-0.199169296075569,0.435481865978554,0.139851037842725,-0.251585496536211,0.0377772229942219,0.231576028167628,0.16288431983139
"silver.washed_fritillary",-0.0397236874678199,0.450801378898448,0.376468135122635,0.302799747397196,0.478477460742734,0.545586824171535,1,0.222074293726197,0.123503019639857,0.470249411356047,0.457736417929456,0.422876487532429,-0.0369724501242737,0.339589623263063,0.564050532569716,0.0637405874098256,0.403048946534546,0.450389816362628,0.0970325331655477,0.000577579809370829,0.471451785276042,0.422045943159,0.326450856030466,0.462568749739716,0.444181505121909,0.306174929414878,0.330389434601309,0.158542983693663,0.446185149613344,0.52544960186696,0.457388258622145,0.48060472867048,0.529781032180602,0.0453528275049673,0.204167562801793,0.314077502850743,0.543583927034422,0.384916099612207,-0.243947359391331,0.338173007230476,0.269843930725286,0.654166301172424,0.427881639142473,0.282340071424421,0.277617445091394,0.54209094617848,0.49003989107337,0.468843868689699,-0.0488700403311512,0.4902883919306,0.134063412929888,-0.0918814951407058,0.246687413378824,0.406242631871261,0.314696363235566
"brown_argus",0.0177432359690649,0.544556334480707,0.43667093146601,0.451094197487293,-0.0608575159213474,0.0470140405324604,0.222074293726197,1,0.00990027332178424,-0.0466786903932926,-0.147557463331541,0.243742596735377,-0.512631256586475,0.695039047607606,0.333587546567112,-0.231677886777432,0.28506590735852,0.288163185725316,-0.467430179579501,-0.222165375161348,0.367909022871667,-0.124927593475337,0.65566840808473,0.407432503351046,0.520148718761758,-0.20108017096618,0.644604562126124,0.457801969878921,0.284776641527356,0.451633369992329,0.625258327235418,0.45310826693467,0.465472784742852,-0.270311757787247,-0.0676040818335015,0.480092455256592,0.242758576581516,0.66971193915242,-0.0189627851750905,0.220282287208804,0.650610503957935,0.315233720498473,0.608690523431329,0.00922732285250266,0.714864726323069,0.249490969934586,0.558214075681422,0.648916552274944,0.477345617820699,0.0985091704195477,-0.22728367249377,0.57822604651569,0.723491558232302,0.576382622846074,0.501175060021372
"northern_brown_argus",-0.00834713395969999,0.072221194287598,0.0614816213521422,0.045230307221286,0.0923786107175931,0.105964590733746,0.123503019639857,0.00990027332178424,1,0.0874373860011459,0.0813278595310386,0.0821538667746657,-0.0351879723235325,0.0275418696401845,0.106123450568688,0.00298283849522776,0.0759067176618827,0.086020559928671,-0.00435906032232161,-0.00274222335671387,0.0879242933875509,0.077707486434221,0.0302007266566701,0.0827087062378209,0.0733469357895872,0.0515890338411586,0.03885485126405,0.00472343857715293,0.0880787354405618,0.0953673301506279,0.0704104358729819,0.0870093544923595,0.0925611421101926,0.0115730907365176,0.0477074388247773,0.0417694824330282,0.105765561695036,0.0467025823197698,-0.0796519107689752,0.0662621790280037,0.0213629723506331,0.128449383651123,0.0657441339736014,0.0600952168579991,0.0134568714713266,0.105645657951268,0.0783682822784632,0.067670943671574,-0.058908522226137,0.0956204080698483,0.030107579279844,-0.0845714304077944,0.00696565041038457,0.0621183532569562,0.0437214310671088
"pearl_bordered_fritillary",-0.0852083981882655,0.178336367563312,0.150048766223968,0.0867134509285389,0.434667509520024,0.457357334957803,0.470249411356047,-0.0466786903932926,0.0874373860011459,1,0.458145754432607,0.274590952452272,0.151674888837601,0.0171738101199899,0.354436396190478,0.133891913651654,0.234178681371448,0.272415280411987,0.256204746578796,0.0524139368687222,0.266321394347788,0.415347439922366,0.0162928792077069,0.244940900143916,0.166106567674382,0.349000573171879,0.0290121405132707,-0.0563775027111205,0.275560758817204,0.277814783684497,0.153554026573926,0.235032080875385,0.2748080613857,0.0920931521830658,0.165249637581862,0.085139799172071,0.369137033409913,0.0698796841068675,-0.260135341672985,0.207166262103937,-0.0205282290764409,0.421478718403228,0.133332223745376,0.236217560658617,-0.0472817689793362,0.368971067198646,0.206598904916658,0.154887895250058,-0.268675338361071,0.390583602132593,0.138380695143773,-0.331682565511458,-0.0774357552885039,0.126041546986042,0.0726532576107324
