"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,0.650217870437227,0.561511326721158,0.513343827990986,0.237152808769421,0.309608810382543,0.478490099418377,0.58665197439679,0.130781271777629,0.21597130881203,0.133107380508579,0.400996121614305,-0.290385889262286,0.715361354228305,0.5386769686236,-0.0823329164836249,0.434437510652548,0.456830219259786,-0.239320312038456,-0.0530742550004671,0.519225583942687,0.140400644631385,0.679422904580567,0.553695783990734,0.648894084734459,0.0341051637068042,0.67601843896376,0.469984283656447,0.454884634847701,0.620762605562617,0.712470653360474,0.612587393279796,0.620250999292438,0.0585969850158993,0.170331051120464,0.538849058444938,0.474182832247685,0.713652696983384,0.0249431496293275,0.359328673293893,0.658389214824661,0.601304065395967,0.689385178614377,0.197601032056864,0.702426158868102,0.474125858004951,0.67078089382071,0.733813720309529,0.446370263080061,0.337625857558862,0.141374084973274,0.471946878129483,0.698787899251391,0.661496500925478,0.562872763514229
"orange_tip",0.650217870437227,1,0.587426426057405,0.532956222869691,0.265295008175205,0.339265822246301,0.513941500201524,0.603963425784665,0.140451550969968,0.242961154629278,0.159210235408801,0.42549320223241,-0.284678638297565,0.739147088606029,0.570679693872969,-0.0760194765850305,0.458710122731142,0.483637662373516,-0.230517120963243,-0.047800506420607,0.546849520088648,0.164533473630421,0.702037384721086,0.581724904926314,0.678709471873597,0.0516509809676702,0.697980921693786,0.483179391520368,0.481480643702082,0.651657668990104,0.741698775186973,0.641004302254495,0.651415122847574,0.0699174932218952,0.18687255671758,0.55978991578495,0.504929990399121,0.739390354359354,0.0188274450920426,0.379823555166973,0.676941738811815,0.637316620702447,0.715643313586913,0.215170959058029,0.723071199165928,0.505005956522199,0.699833653576469,0.763523682990733,0.4519861882774,0.366097844136516,0.161902585824143,0.474118914275171,0.717958397286501,0.685978425973446,0.58348571958763
"purple_emperor",0.561511326721158,0.587426426057405,1,0.460611870856538,0.250603096272387,0.313463442381103,0.46334506814132,0.51576983497031,0.126482959362726,0.230158208785847,0.160299657945029,0.37796055079294,-0.230068959727865,0.634024398527526,0.505742298349423,-0.0556183091757618,0.404628546674163,0.428631219963976,-0.180538409537647,-0.0337198750420819,0.48127252626349,0.162980330188758,0.602369625865992,0.510602534685634,0.591238535662804,0.0631619832640682,0.59912877632674,0.411802860469204,0.426711247758701,0.5721859155846,0.643206251524606,0.560047943711258,0.571316929107816,0.07247199109989,0.172549978639483,0.48378653553199,0.450766169910065,0.636326099334955,0.00847602591302489,0.336172244904705,0.578398129365395,0.566790487773172,0.618745871675617,0.197891450490749,0.61715314691508,0.450683461223283,0.609260856327324,0.661380938847091,0.377868026856964,0.333623267998456,0.154429324077457,0.391301079078723,0.611353510240202,0.593309288426221,0.50334342449021
"ringlet",0.513343827990986,0.532956222869691,0.460611870856538,1,0.15868000558064,0.220988361957542,0.363903669980672,0.499580500872744,0.0989717843452724,0.14369248072826,0.0705767743651112,0.315039724116367,-0.267067755107641,0.603190652221656,0.424438216624031,-0.0860176328047645,0.346565814084205,0.361665516532244,-0.231021071819054,-0.0571349272325334,0.416116756415093,0.0802108604398219,0.572746102124877,0.446625150972151,0.532786699736024,-0.00494791237323375,0.567256861474492,0.400491650014113,0.359976978237296,0.499522988307004,0.58949553312236,0.495547938687131,0.50130242342521,0.0244404806810414,0.122136204160481,0.448074244460717,0.366889486415752,0.597502238228088,0.0352773602886687,0.284087781396597,0.556472676102398,0.46904271135414,0.570250234790144,0.14314673592317,0.597570562485936,0.366981914644246,0.549811755911273,0.607444263386402,0.395808477297994,0.250651211168988,0.0928868550722337,0.426138435400406,0.597233407334655,0.546321676172893,0.468108520290868
"high_brown_fritillary",0.237152808769421,0.265295008175205,0.250603096272387,0.15868000558064,1,0.533456106068915,0.557098544644298,0.0326993412504679,0.155327354583277,0.507924679665102,0.5368869275083,0.341439514194975,0.256647565789772,0.109968459949947,0.441488916167711,0.195512341179562,0.308835135245797,0.358499462417256,0.335669116798853,0.149759541601489,0.342652397914901,0.492644208225914,0.106309245528285,0.328969147471372,0.284252858381128,0.414517977018948,0.122414394841699,0.0181310874608458,0.358051585476888,0.376180738686194,0.247702518775914,0.332036698774328,0.359791316971535,0.290862413530589,0.29146492870076,0.159592389599357,0.464646253967584,0.161160931782871,-0.169016059910595,0.278484061031438,0.0639754167629666,0.535748201905992,0.223968061219533,0.312609259519826,0.0426340413717475,0.464077839752787,0.289328605884938,0.249661166429619,-0.166279352240345,0.470910854099306,0.362830759560071,-0.268948779923175,0.00951581362018716,0.217331328138417,0.155378519651938
"dark.green_fritillary",0.309608810382543,0.339265822246301,0.313463442381103,0.220988361957542,0.533456106068915,1,0.585913699765461,0.114548697678214,0.162907651934106,0.502665360676036,0.517664302121749,0.374521674287053,0.196885128504639,0.204771226457625,0.487217142149225,0.169871589411384,0.34909747651629,0.399000516963453,0.277633147739238,0.131477830403561,0.392727149495092,0.477594224559138,0.196237851224191,0.385014979767798,0.35706924532674,0.389728204832835,0.210334269173317,0.0839851257702578,0.398150082637062,0.438275190620123,0.332334982324408,0.395959080871777,0.423105038577038,0.27884288987641,0.294651421764852,0.225448953486394,0.499539762956267,0.25208942412552,-0.15325734292192,0.310168825699214,0.15356307251425,0.583398650309493,0.306567965776743,0.318656231708476,0.140421866753898,0.498838699397068,0.364800656182388,0.337156672124006,-0.0901478750204903,0.485622245793272,0.356854737873282,-0.181865714658032,0.109099246650355,0.296358917587191,0.224852269663802
"silver.washed_fritillary",0.478490099418377,0.513941500201524,0.46334506814132,0.363903669980672,0.557098544644298,0.585913699765461,1,0.29183443792605,0.18865561398918,0.522724839254909,0.509632981517272,0.466425838622076,0.0851883435564429,0.41458341078713,0.612013076242485,0.126813299065917,0.454280645123966,0.506433340471643,0.173824518894007,0.101776064430805,0.520773097580688,0.475818457029538,0.395278246852093,0.524921756035958,0.530836737954835,0.362099888601697,0.406287107300597,0.226643524153025,0.50512665190539,0.594222946067583,0.528679215932035,0.55298278377117,0.58090826831115,0.269368813856208,0.320396126688164,0.376361983086007,0.602006152169687,0.456526919031117,-0.130008205686119,0.394968885250888,0.349267291774771,0.718247491014212,0.497248891606453,0.350614303111214,0.35231862381442,0.601439122259769,0.544352964953104,0.539789351641947,0.0624072670406024,0.54648605979751,0.368124591993251,-0.0121032333862316,0.322972451963476,0.478880329915351,0.383167571198964
"brown_argus",0.58665197439679,0.603963425784665,0.51576983497031,0.499580500872744,0.0326993412504679,0.114548697678214,0.29183443792605,1,0.0781029195655096,0.0226689688479156,-0.0811714979998032,0.298014182144157,-0.427607318250565,0.745242043620623,0.407042591937766,-0.174005680480963,0.349181860825233,0.352706095728179,-0.406523572350548,-0.122057077580184,0.428324911085409,-0.0545180087504281,0.706998504856033,0.472370532023403,0.598338688753619,-0.139409456021873,0.694316558240446,0.512486188236873,0.350584246704177,0.525646497999515,0.683356367301892,0.534129537682298,0.533126392016216,-0.0624179829733285,0.0645124011273896,0.528467517351522,0.324966592925715,0.721069431122968,0.0999798323469023,0.278340829520483,0.699056022357175,0.434565951735333,0.665493740543751,0.0848930133573828,0.759481890994387,0.325441072381549,0.618600829320795,0.705750396101411,0.565987891798039,0.173081709763897,0.00409062030297572,0.638175927198541,0.769712887015313,0.636614423313559,0.555523859168663
"northern_brown_argus",0.130781271777629,0.140451550969968,0.126482959362726,0.0989717843452724,0.155327354583277,0.162907651934106,0.18865561398918,0.0781029195655096,1,0.145665368298697,0.142633944265026,0.128487011094274,0.0259297248084418,0.111693049660332,0.168766343918384,0.0363548522486144,0.12485537922538,0.139334152551693,0.0506403899899604,0.0288823761039487,0.143091593873778,0.132900730193071,0.106533602964575,0.144026267278416,0.144788600594478,0.101837100088264,0.109913047823714,0.0607287928416083,0.138836833640203,0.16294681038219,0.14387357068088,0.151745206077926,0.15913047869007,0.0758081619145587,0.0891808319088451,0.102149429726819,0.166626343886944,0.12369169770231,-0.0369769205002469,0.108616979791724,0.0940502681600464,0.198268214020673,0.135425079845008,0.097457808591624,0.0944116018432622,0.166581302522575,0.14857742935518,0.146844571839255,0.0146756343512786,0.15149171382132,0.103221909757529,-0.00665337427787194,0.0861684996478367,0.130427268266058,0.104138512348505
"pearl_bordered_fritillary",0.21597130881203,0.242961154629278,0.230158208785847,0.14369248072826,0.507924679665102,0.502665360676036,0.522724839254909,0.0226689688479156,0.145665368298697,1,0.508398377760401,0.318839351843156,0.248033102894055,0.0944301240939187,0.411999696593508,0.187000781283126,0.287413040620949,0.334749986859265,0.322489465894047,0.143092945171129,0.318418534440481,0.46616782942419,0.0914417372409283,0.304920669151664,0.261052346215565,0.393321075500307,0.106688479516299,0.0103293486608373,0.334263825930739,0.348738192345082,0.225458801831213,0.306803454403977,0.333272997938151,0.276105140372637,0.274185039028509,0.144061827550582,0.434930008723191,0.143159500380276,-0.16075172593939,0.259737006034384,0.0514150848580819,0.500504899503374,0.203091561174721,0.294304219603357,0.0306292992965771,0.434195682078932,0.265587515677522,0.226987628414848,-0.164210626885491,0.442670080394248,0.342384095422804,-0.262205803611287,-0.000845462640245538,0.197146165898821,0.13965449706491
