"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",0,0.1854423129439,0.166106816885291,0.145737418788738,0.108975267322563,0.117897561119786,0.162602622612449,0.159919338025372,0.0541481774238975,0.0953381424649801,0.0794513987393076,0.127773190120716,0.0862055310886107,0.196862580079299,0.16870425691458,0.0369517796775448,0.13463538856604,0.143348922320505,0.0655419985101704,0.0536260435609028,0.157595889912625,0.0795090546848106,0.187106252320336,0.166556501597326,0.19003461422221,0.0545419446183258,0.186232027013602,0.12824122278108,0.143735266113359,0.187670479413668,0.203016349626596,0.181938082093519,0.185125120721317,0.115378100012534,0.0908419297855307,0.152859565449987,0.154434022207646,0.198332069451385,0.0620904227919854,0.113713417335753,0.179401618280702,0.192819413353351,0.194886615599987,0.0817243709127572,0.190169218054318,0.154244142576301,0.194696910506606,0.208468083592651,0.122659568965447,0.123252815719289,0.133780782097242,0.121238941303292,0.188100696411946,0.18759759277952,0.158523039736585
"orange_tip",0.1854423129439,0,0.0334502505548234,0.0236288733728546,0.0475772853324554,0.030155561941494,0.0299277857921715,0.0282457697088222,0.033027591894698,0.0317346073201548,0.0324300236645509,0.0242347689306459,0.0511859404442824,0.0223058783322095,0.0261242923853865,0.0314369179434868,0.0265877036876169,0.0254456294122016,0.0358246300423916,0.0514144298753819,0.0225887430212023,0.0360749414664043,0.022635982934219,0.0268897612028774,0.0286356051811297,0.0334710134347499,0.0221839256369886,0.0266849759120234,0.0270696326668529,0.0287768155972715,0.0207059159409019,0.0283325856528239,0.0225488461426439,0.110622390786448,0.0651711291970131,0.0241605842736444,0.0307680950056475,0.0214891954822318,0.0611779791603235,0.0261753150514018,0.0232338386880978,0.0424399354020221,0.0203309937568287,0.038848332204745,0.025090324950447,0.0303081359245294,0.01980960013939,0.0187409306308354,0.048432112775114,0.0366185379223243,0.115717664778957,0.0387638923738631,0.0250224595478836,0.0219747919976033,0.0240909590376039
"purple_emperor",0.166106816885291,0.0334502505548234,0,0.0307651999118284,0.0504983218556058,0.0402955651422847,0.0413221150658917,0.0388856130056398,0.0306869306320265,0.0414811292862206,0.0457401848585708,0.0296389199925399,0.0568438916342306,0.0390625894027895,0.0361152485922982,0.032628405512416,0.0304755900230768,0.0327800027909707,0.047625234351838,0.0461115541417454,0.0317034598126547,0.0422349164508213,0.0363971301208217,0.0345033594871538,0.0389032454119329,0.0399660278716539,0.0392289162127284,0.0333332947563749,0.0319113500338942,0.0354971959361606,0.0368114755916165,0.0359485919962492,0.0347659253531785,0.098753064398561,0.0604069809986182,0.0317581308453569,0.0394101029659621,0.0384542884859566,0.0548833726647339,0.0296283027248636,0.0396939389017148,0.049861028109976,0.0350818927635512,0.037954342120635,0.0407522850189653,0.0386849929116957,0.0350179667016963,0.037908995513622,0.0531664115064917,0.0420045696595377,0.103460114581252,0.0499013090745455,0.042418157964016,0.0367247376525395,0.0332910213682405
"ringlet",0.145737418788738,0.0236288733728546,0.0307651999118284,0,0.0405264148606437,0.0280687755231003,0.030722665337803,0.0257234423007487,0.0267538775892739,0.0300933418798584,0.0305594458649301,0.0228158906086621,0.0421497175746691,0.0229230077090006,0.027217369289646,0.0259388829146675,0.0253088390524945,0.0255911919104526,0.0298375750454949,0.0411940115074411,0.0241546689323015,0.0321304485204821,0.0240729810438449,0.0255741127194462,0.0283645851689455,0.0287307454348106,0.0230435321539069,0.0232662561812995,0.0263059897751376,0.0286542192400282,0.0237501265934897,0.0294103781632812,0.0253854575176891,0.0893722711607024,0.0530969427490263,0.0230398777652884,0.0297286539268483,0.0233735173877989,0.0498126959797055,0.023240907685486,0.0240008953659361,0.0413960083174348,0.0228186162640412,0.0315898161312436,0.0245272241541116,0.0291123502177052,0.0231566435085407,0.0230754747517339,0.0393504953558992,0.0326050090643387,0.0922813889729047,0.0325776650213767,0.0247908308209933,0.0239190806807255,0.0236200883286004
"high_brown_fritillary",0.108975267322563,0.0475772853324554,0.0504983218556058,0.0405264148606437,0,0.0323103217053993,0.0381326748100064,0.0478152074349872,0.031658156469407,0.0341462850001521,0.0350949281275686,0.032679965399359,0.0563584350528294,0.0536013210776279,0.0409957858741128,0.0306348268449728,0.0367397262434873,0.0369173453233158,0.0410124400644104,0.0478413314702644,0.0367525274080073,0.0335452318560888,0.0484449041446242,0.0428859058921235,0.0582033194865128,0.0318348424690337,0.0530820262251228,0.0428744292133117,0.0369697653911247,0.0489792280292296,0.0510744697609132,0.0512753463449829,0.0412908818058369,0.0980381383327007,0.0567695012146186,0.0395007954323525,0.0449390334432068,0.0530544033895854,0.0557550536898492,0.0328485068866432,0.0542232345577978,0.0528836210116128,0.052470466809707,0.0346362201021099,0.0539668240168838,0.0457249542130715,0.0445265966634734,0.052428791760047,0.0608254208624548,0.0359869022240727,0.102757282011684,0.049567186594148,0.052654174010307,0.0520309498109889,0.0454975106969554
"dark.green_fritillary",0.117897561119786,0.030155561941494,0.0402955651422847,0.0280687755231003,0.0323103217053993,0,0.0200793896732087,0.0341555503075531,0.0300372385698352,0.0219809666395833,0.0201832219923387,0.0216458169827698,0.0500226674302165,0.0355679833809905,0.0245277404691466,0.028249090679145,0.026190233639118,0.0290096984320142,0.031984365714236,0.0456982039045243,0.0238126306877691,0.0233536869374823,0.0324522565941369,0.0306846734843545,0.0456757244924533,0.021930045148394,0.0350948009212531,0.0321095800540936,0.0283182428296277,0.0352547482075706,0.0337103182945389,0.0336124407431322,0.0252434410293077,0.0971648387723984,0.0544081727791376,0.0280285521638416,0.0313607779931649,0.035216645309506,0.0538535865007951,0.0271035910150999,0.0352522933235458,0.031837086085503,0.0319575496646237,0.030960252592679,0.0357131223651356,0.0306012220349959,0.0279092550019482,0.0339797464413747,0.0521371772283859,0.0247770564528717,0.0992135137631134,0.0328870525745054,0.0344451415059836,0.0321943109873243,0.0311491277695814
"silver.washed_fritillary",0.162602622612449,0.0299277857921715,0.0413221150658917,0.030722665337803,0.0381326748100064,0.0200793896732087,0,0.0361152778197687,0.032807530492349,0.0263718461984507,0.0263530668102937,0.0229772560280789,0.0601112967521653,0.0384404795277322,0.0237051034268305,0.0327655038775027,0.027441696126296,0.0279158638115654,0.0392643686215146,0.0509747628422303,0.0242660723483214,0.0285172270809057,0.0344891261229471,0.0301805729031247,0.041962455820644,0.0261731810507453,0.039003765418581,0.0363245401959291,0.0282734233536105,0.0323732027723977,0.0326704571203429,0.0331060076913107,0.0256084886868901,0.10945295344295,0.0611747940340657,0.0301436846438827,0.0290612849388496,0.0375742895472623,0.0597391909970397,0.0284177995384104,0.0400988092875251,0.0281678886374848,0.0339363763633098,0.0348600429158208,0.0381465920325493,0.0289774402567987,0.0273684758422704,0.0345413136496416,0.0569026052474276,0.0295772509904078,0.11229154093363,0.0404057154094142,0.0392248222638985,0.0340726391465894,0.0337379797575255
"brown_argus",0.159919338025372,0.0282457697088222,0.0388856130056398,0.0257234423007487,0.0478152074349872,0.0341555503075531,0.0361152778197687,0,0.0335498597591778,0.035930379290636,0.0337119020982533,0.0282737966099253,0.0449248669194412,0.0232032203593421,0.0350805485336867,0.0305137109076354,0.031357195516682,0.0316379089608019,0.0330885490371256,0.0523626031020126,0.0288638015745325,0.0360359492162212,0.024082082014042,0.0331565896658811,0.0377896972367192,0.0307958177492647,0.0239706107900743,0.0263617816238063,0.0317219539032816,0.0368802036359145,0.0279054869792681,0.0409673917154098,0.0313228024806476,0.1082764154189,0.0649665748298098,0.0257664211190399,0.0394057017663874,0.0247096784896405,0.0622302873411626,0.028777300864143,0.023106747019888,0.0588162797188743,0.0263177636657875,0.0391559494266588,0.0223836882250133,0.0388747629398887,0.0276419811195052,0.0273501428750623,0.0440951502459664,0.0388393090267562,0.11098398159518,0.0296261150132453,0.0223678099597793,0.0283288387688845,0.0268911333043349
"northern_brown_argus",0.0541481774238975,0.033027591894698,0.0306869306320265,0.0267538775892739,0.031658156469407,0.0300372385698352,0.032807530492349,0.0335498597591778,0,0.0288345372084217,0.0308728342160643,0.0233655105291011,0.0307860713204515,0.0387562682853586,0.0307274741778105,0.0169532403723071,0.0240190193098754,0.0262549495101835,0.0297520278163039,0.017373980348147,0.0280275390252187,0.0281319297275631,0.0363879917836398,0.0295258834054981,0.0345347924890921,0.025807310543939,0.0356357189280379,0.0270805047232336,0.0260329563036455,0.0329126349690438,0.0368093564272807,0.0320897104923782,0.0322800753067533,0.035739467296614,0.0234770697007108,0.0281966543471792,0.0309316103583196,0.0373482851294555,0.0203304645317602,0.0208671863780264,0.0353105413916645,0.0360009106906487,0.0350567061119153,0.0199128316872227,0.0392667379529977,0.0309086272087647,0.0344327824122826,0.0375914549057842,0.0357696909996125,0.027862309244485,0.0385884453562927,0.0384972480465822,0.0395979418775437,0.0340637393376808,0.0298353225944286
"pearl_bordered_fritillary",0.0953381424649801,0.0317346073201548,0.0414811292862206,0.0300933418798584,0.0341462850001521,0.0219809666395833,0.0263718461984507,0.035930379290636,0.0288345372084217,0,0.0245950678670911,0.0240339564046863,0.0488462365333295,0.0390469877714859,0.0284430208984111,0.0269615195303506,0.0280942121740414,0.0311046035870728,0.0327010532321574,0.0447536923029742,0.027143460130541,0.0258607678309395,0.0369501100343425,0.0330578131422576,0.0472983713163579,0.0224190947931467,0.0385144799220899,0.0342762489449692,0.0311975329267784,0.0378361302733414,0.0372030505022072,0.0371610761535368,0.0307304144367816,0.0912678069600804,0.0523503957951629,0.030131358819325,0.033136552388832,0.0384346312812989,0.0518213909668875,0.0273291742330649,0.037591968259728,0.0389772726295713,0.0353123338520337,0.0301467682092138,0.0383774426524848,0.0323853337194594,0.031572144270482,0.0377869641929606,0.0513721720483888,0.0273949162080241,0.093696157235796,0.0345485616446093,0.0393675462058574,0.0358549488295675,0.0338416228942346
