"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,0.749714283110472,0.677815305600002,0.603560142476485,0.353712694394355,0.405709285127556,0.586732305958735,0.679093394715216,0.211968533570013,0.306462119239026,0.221908408082753,0.489090008031192,-0.0214715123222063,0.811910943698121,0.643264304568363,-0.0109754473051773,0.53001301960349,0.553286337249756,-0.0262969225053614,0.0508162087817748,0.61212145977429,0.228625838513289,0.77881174303566,0.658415700124708,0.763168426283601,0.106797526731778,0.772310905611294,0.555967360661337,0.548030041341522,0.737894376770752,0.81158487471998,0.726516926318239,0.722366240258707,0.294811324698837,0.315366221687966,0.62989262723109,0.582948005874095,0.812123154449298,0.144600503700371,0.444482437513628,0.753861696544296,0.744154471224217,0.787332270605287,0.293092924750103,0.800617035963837,0.584877402465451,0.771886554444186,0.834129639790244,0.57143198980111,0.445285497876416,0.377444115980555,0.576194660934061,0.796288887126196,0.763967820049498,0.656915838191108
"orange_tip",0.749714283110472,1,0.648210283599198,0.579102302436257,0.35028202121226,0.397277348395981,0.568383440274926,0.656727906080189,0.204044148440091,0.302211060581412,0.223149957928092,0.474098475390273,-0.182129673249692,0.780040538760795,0.619855912039653,-0.0171963435722268,0.507620277054099,0.531089678318529,-0.158626308230109,0.0524078287986937,0.590140618684913,0.232752906668207,0.744315157842241,0.633156142475185,0.728943248284665,0.113961954413036,0.740974004000658,0.532841523993362,0.532912008738102,0.702959602119444,0.782973180658692,0.690626592946055,0.695992088184215,0.283569377493346,0.309524873488856,0.606274877271093,0.560898720073842,0.780867212152709,0.135206169054624,0.427809856403459,0.721053284751716,0.711008411368122,0.753793213422177,0.291102858495439,0.773352633572782,0.561816862665003,0.737938527782763,0.799516968949755,0.541145386171054,0.433701864797142,0.369840534305842,0.555068537276577,0.764763567666441,0.731068881575306,0.629595197736036
"purple_emperor",0.677815305600002,0.648210283599198,1,0.520093642359811,0.344600277319075,0.389584330538133,0.539605388309572,0.585766746313962,0.187336058508259,0.311182515777602,0.246259630089708,0.433118551015535,-0.122436741299472,0.705920457598923,0.568108068521368,0.0116747858029494,0.459586272229621,0.492269591182909,-0.087494944643799,0.059088083048266,0.54327145422124,0.243728640152714,0.668947289698349,0.575897795027922,0.661685232710412,0.140406386589546,0.669029975836471,0.47483224290058,0.486870667232376,0.639659436663112,0.706596773748359,0.627173146009506,0.632969585040402,0.257650553454999,0.285362860810394,0.547023710342049,0.52055152101738,0.705138819373314,0.114125211374762,0.390463773502731,0.653386392091669,0.658010507125294,0.679921133047362,0.270555412535029,0.695562130985633,0.521955594010266,0.672916686741544,0.728106791115277,0.475675356772391,0.413742468310175,0.342951853845292,0.492432899345072,0.692620924436603,0.657527630578749,0.564026282020268
"ringlet",0.603560142476485,0.579102302436257,0.520093642359811,1,0.235016279207374,0.273716433372774,0.423636459197069,0.551892042169052,0.148511352575018,0.202479421513066,0.131962579015787,0.361378010061113,-0.18611419953974,0.646192991508179,0.476009522853314,-0.0375935626095862,0.397713373271197,0.411269984709562,-0.177185521344036,0.0236696836459003,0.462316244800953,0.140447181787137,0.618963572819696,0.496880996828749,0.585496157830378,0.0489358120023627,0.613757189335778,0.444784692436022,0.415942453276731,0.552766781495497,0.636593086687666,0.55001094446655,0.549562166923888,0.207383994057701,0.221187128213319,0.494293396430503,0.423148829361766,0.643252692341626,0.132259469285571,0.326253135496738,0.603411376010372,0.551383324228861,0.615177364374837,0.203458489517992,0.645218134501593,0.423563230154699,0.593695894966251,0.65407448296376,0.471060352946762,0.316039360180653,0.262555019122312,0.489468250646925,0.644516645966903,0.594962824927625,0.515151965206221
"high_brown_fritillary",0.353712694394355,0.35028202121226,0.344600277319075,0.235016279207374,1,0.594922112293682,0.627402671799602,0.125335129396463,0.216819471370419,0.571851824638739,0.602151022269392,0.404232758994881,0.371791366205971,0.214086114336929,0.51556108485889,0.255463644890306,0.380738750912376,0.427803077529038,0.419481086291719,0.238161982819996,0.408574333656117,0.553076413970194,0.194671006805485,0.412528751990282,0.387798191240935,0.475995107029166,0.222598926241393,0.10053485979385,0.424915400403223,0.468945139659202,0.341679652338009,0.427957834249767,0.438535814621108,0.471443429612322,0.399467798429243,0.240413188982691,0.545385607496968,0.263563500490111,-0.0604636640470374,0.343443526837499,0.162824159842082,0.639352208049877,0.318179420180266,0.382766893139559,0.151631334777689,0.548693081387079,0.370890638840875,0.349482791282926,-0.0457104585877582,0.539893547801869,0.540280457606795,-0.170433133506556,0.110696544839847,0.309956848687904,0.241198066604665
"dark.green_fritillary",0.405709285127556,0.397277348395981,0.389584330538133,0.273716433372774,0.594922112293682,1,0.622703601144335,0.180630226083517,0.221606077925927,0.54302341630268,0.554763604907526,0.41801661567344,0.291668939859685,0.272564344306848,0.532750438728691,0.225202758142058,0.401873746469516,0.453945419105252,0.344160548782285,0.220253453220463,0.439662454277872,0.520170492420772,0.258757713836982,0.442049779524764,0.442082098951412,0.432353656986219,0.270881338003572,0.144004543367342,0.450302664763534,0.504630759003738,0.396465587713649,0.459060601932523,0.470152279483447,0.463669744240366,0.397621883000428,0.282787733614411,0.562603464513528,0.317853069853849,-0.0435561319951017,0.363775623127673,0.217108156919286,0.643000831546825,0.362808740780022,0.378937495884897,0.206828894261441,0.560746951991233,0.417308786097075,0.400843307056434,0.010564484303942,0.53519852666756,0.518159620242202,-0.120986065130941,0.175123592788989,0.358240593131869,0.284335904013683
"silver.washed_fritillary",0.586732305958735,0.568383440274926,0.539605388309572,0.423636459197069,0.627402671799602,0.622703601144335,1,0.361017429077191,0.251854723138525,0.570897570066728,0.560002418598885,0.511960163899695,0.199674081692897,0.488429954216585,0.657863173926613,0.189486345765242,0.509314188491279,0.561097080114169,0.252440561355885,0.204687915262507,0.567701400235054,0.530687596653719,0.461278713099337,0.580968270919668,0.612040577706053,0.414550837503758,0.476734001770529,0.296603485519576,0.55887284148139,0.654050090054512,0.590363760902315,0.611403186812939,0.627552088557549,0.469418600246948,0.436305018975354,0.435818739176038,0.655781331160997,0.52802388298934,-0.013480664027575,0.454166919836458,0.419028437393522,0.765172364210784,0.556663974452009,0.416691153058148,0.427867037092158,0.658511197600576,0.595215508224992,0.604856767257849,0.169597509003338,0.604495262554408,0.552178210214549,0.0646456846794968,0.39837812752151,0.539028372717968,0.449299987314528
"brown_argus",0.679093394715216,0.656727906080189,0.585766746313962,0.551892042169052,0.125335129396463,0.180630226083517,0.361017429077191,1,0.139403725871037,0.0912936301044593,-0.0130567954052065,0.352835850604298,-0.339861804385095,0.78659357404038,0.47657203431854,-0.116033473557846,0.410680879724778,0.415256050929098,-0.340161667383977,-0.0201430093787898,0.484928773390861,0.0169918975673631,0.747126730868198,0.535459541461212,0.66643022249907,-0.0776059822851838,0.737933414875686,0.563854509282316,0.412072427516828,0.596367748919163,0.736446677521861,0.607351725960102,0.591328375487484,0.161941325779245,0.183904299058062,0.575544278223988,0.396530805725177,0.764137704889839,0.218142310717904,0.333736983730824,0.74288425217393,0.543007541383846,0.715444266216189,0.161321933668938,0.798032583170209,0.400443848541564,0.669456858763017,0.754108872919487,0.651197849224722,0.248910941559556,0.208322881612857,0.693149624223137,0.810596505717964,0.686425498757347,0.607720483410022
"northern_brown_argus",0.211968533570013,0.204044148440091,0.187336058508259,0.148511352575018,0.216819471370419,0.221606077925927,0.251854723138525,0.139403725871037,1,0.204921108346869,0.204459031719349,0.173135507176106,0.0876379494672076,0.185619534141365,0.228232505791228,0.0728390107312517,0.172587484782031,0.188589300795733,0.110848449390761,0.0622932189424948,0.197369279989845,0.189508836826901,0.177052179633627,0.205506171896041,0.211999927006515,0.155190059724474,0.177355210844394,0.111769761551284,0.192379775068431,0.228053532185004,0.214085421877684,0.211217532580083,0.221135972086149,0.153133509695125,0.14112931250045,0.155790609127375,0.226679051810491,0.195661723830107,0.000541311012047688,0.15019989680928,0.162201043206978,0.269094378215637,0.204016149206726,0.137429699866753,0.170283765169755,0.228721304491145,0.214847652697765,0.219255794585085,0.0817778106718757,0.207414567956339,0.181805875019986,0.0689486137303439,0.161533869359606,0.194817360762414,0.161371706118201
"pearl_bordered_fritillary",0.306462119239026,0.302211060581412,0.311182515777602,0.202479421513066,0.571851824638739,0.54302341630268,0.570897570066728,0.0912936301044593,0.204921108346869,1,0.553467005176989,0.366641220561907,0.343729633381404,0.170432453075927,0.464894239998257,0.238264455111139,0.342632551058769,0.394063703012818,0.383526955272803,0.227543102209206,0.372355762825951,0.51611747215855,0.165030070885842,0.369742130836413,0.345844904188398,0.436727592002122,0.179845127293907,0.0786367039097698,0.394931735052609,0.418490941926377,0.29518532039572,0.374361943964146,0.393847353967948,0.442839922260033,0.380081112110296,0.203707502242838,0.496901370285606,0.220122449154002,-0.0567278684280979,0.315117435415311,0.120744205557763,0.573223706500629,0.267121294863165,0.354898366344187,0.104510145177257,0.496128881467917,0.327498722430054,0.301607273460927,-0.070269167442426,0.494828423710248,0.494705942225792,-0.199014537655074,0.0745843070180955,0.263431012265038,0.205912843596203
"small_pearl.bordered_fritillary",0.221908408082753,0.223149957928092,0.246259630089708,0.131962579015787,0.602151022269392,0.554763604907526,0.560002418598885,-0.0130567954052065,0.204459031719349,0.553467005176989,1,0.341538644759319,0.427628588478036,0.0490281249148196,0.42964790489666,0.283110641776087,0.305259498790714,0.366605634511271,0.470015129489092,0.262456699291292,0.322676604773159,0.557172529166603,0.0462659869947519,0.310962042783,0.277694476138029,0.486596200349993,0.0703597053407552,-0.0128444785817429,0.360010726242855,0.364991649517451,0.200609743930319,0.318789913874153,0.328583992337557,0.490106963488991,0.390865275010258,0.126112432157533,0.474276122514331,0.105494643660169,-0.0806364338856011,0.288649172187249,0.0110642647116314,0.547988777288906,0.179824227623649,0.361720293443952,-0.0249455848675298,0.474048597160707,0.243342072801312,0.200469988914768,-0.164568499115264,0.49791321660366,0.527857850604683,-0.320415482276497,-0.054972875146733,0.177455232418925,0.12254324475547
"green_hairstreak",0.489090008031192,0.474098475390273,0.433118551015535,0.361378010061113,0.404232758994881,0.41801661567344,0.511960163899695,0.352835850604297,0.173135507176106,0.366641220561907,0.341538644759319,1,0.0544207621100496,0.448426937105543,0.489832952609373,0.091396911406302,0.38122478974642,0.416958645725364,0.087293182251078,0.107489699988994,0.439857353369999,0.327712229339405,0.425028378924094,0.45677373692821,0.490452078216172,0.237460906015103,0.430246067193182,0.283597552394447,0.41559950733234,0.508126906157631,0.499758732847123,0.484252055862714,0.49585225612892,0.289930749357818,0.291388588172271,0.373375989593494,0.470031415636014,0.466605936563415,0.0202589139666302,0.33434570184705,0.396936769477488,0.565524857751556,0.475272087826093,0.276433444086984,0.412900867100022,0.468971958365918,0.493791718881083,0.510451939860184,0.224014096337441,0.409542480282985,0.364639824466892,0.180128044969466,0.400853841164858,0.459677210035226,0.388185459903134
"chequered_skipper",-0.0214715123222063,-0.182129673249692,-0.122436741299472,-0.18611419953974,0.371791366205971,0.291668939859685,0.199674081692897,-0.339861804385095,0.0876379494672076,0.343729633381404,0.427628588478036,0.0544207621100496,1,-0.359733995721321,0.053154035665934,0.282676729092259,0.00420188685819218,0.0432743848053084,0.535183791977491,0.261572963482279,-0.0195168998563629,0.386156136699714,-0.333519194614052,-0.0549421240950491,-0.144988686548071,0.38125693551672,-0.325365287763664,-0.26875956923078,0.0429222107231771,-0.0381097093520299,-0.232034471445646,-0.0831569174194902,-0.0746131512757077,0.367034523403714,0.229303322731633,-0.200447419940479,0.122192295947572,-0.314716656196447,-0.0481876997739675,0.0295471165922116,-0.356486255248342,0.11287181227065,-0.251191639162809,0.179090871835431,-0.402397274806164,0.116510336610754,-0.168997774126566,-0.253424261521099,-0.388147929483874,0.229459143380551,0.366384376424103,-0.499089593008232,-0.430099388120999,-0.225628675199035,-0.218996083496938
"holly_blue",0.811910943698121,0.780040538760795,0.705920457598923,0.646192991508179,0.214086114336929,0.272564344306848,0.488429954216585,0.78659357404038,0.185619534141365,0.170432453075927,0.0490281249148196,0.448426937105543,-0.359733995721321,1,0.594732438087512,-0.107209801772177,0.506194978591561,0.519160421070037,-0.348356387056979,-0.00380771377632513,0.596136576950577,0.0836119812344298,0.868004230484137,0.655779518030858,0.796540831430946,-0.0391315427155487,0.85356532895181,0.648430913126354,0.514165495503477,0.727140321053029,0.860648929133312,0.737816478316129,0.718682288394486,0.222617058117672,0.250655394192635,0.681916790540711,0.513343506270022,0.88572032637203,0.232251960911785,0.421545757424465,0.855815618595487,0.683051500906857,0.837620155541388,0.225286913333558,0.91143530981364,0.515600088192885,0.794774675503267,0.882374465354468,0.731429673719139,0.349375661694455,0.298737760616197,0.761303086677456,0.918801406059542,0.812459290632444,0.708824276290666
"small_heath",0.643264304568363,0.619855912039653,0.568108068521368,0.476009522853314,0.51556108485889,0.532750438728691,0.657863173926613,0.47657203431854,0.228232505791228,0.464894239998257,0.42964790489666,0.489832952609373,0.053154035665934,0.594732438087512,1,0.108202648492458,0.503005508077174,0.541791231164484,0.0948074656149076,0.138600506789933,0.568318982391382,0.414905415471966,0.564078628816909,0.592358263434142,0.641587971717384,0.296267537812564,0.568896557836688,0.379817395242876,0.542952387400526,0.663602146302177,0.657173646312868,0.629974942928406,0.643566038643442,0.391929904221599,0.376614309143548,0.494302882580665,0.614403061184658,0.618635260564623,0.0365497861314598,0.432768313361057,0.529065496678154,0.732589600809251,0.627062115132459,0.359061923536454,0.555659301514697,0.612063728772436,0.64363623758103,0.672264445972833,0.308735862269759,0.528136790970834,0.472784371336469,0.255743617393569,0.533120630214276,0.605402450655579,0.511613037501351
"large_heath",-0.0109754473051773,-0.0171963435722268,0.0116747858029494,-0.0375935626095863,0.255463644890306,0.225202758142058,0.189486345765242,-0.116033473557846,0.0728390107312517,0.238264455111139,0.283110641776087,0.091396911406302,0.282676729092259,-0.107209801772177,0.108202648492458,1,0.06569127815522,0.090247526816461,0.300117756087351,0.143715849277933,0.0584161053778294,0.255101445929657,-0.103374400119736,0.0461405607232076,0.00832125510531474,0.243816239118749,-0.0971339809911611,-0.0935751003625291,0.0900546683207616,0.0633972075967422,-0.0352889757791255,0.0360679316613371,0.0451987878565436,0.217329112350785,0.153711134643944,-0.0409758646728814,0.144708635472795,-0.0820863140803816,-0.0353578873850356,0.0703674956270621,-0.122820602223785,0.156227284846795,-0.0486639643051265,0.13633190097189,-0.139474670844463,0.144191207752385,-0.00616595423489671,-0.043211565743716,-0.164596693566951,0.179821231724204,0.225999701770887,-0.22606504090621,-0.154575765060806,-0.0442592171485308,-0.0502963928514925
"clouded_yellow",0.53001301960349,0.507620277054099,0.459586272229621,0.397713373271197,0.380738750912376,0.401873746469516,0.509314188491279,0.410680879724778,0.172587484782031,0.342632551058769,0.305259498790714,0.38122478974642,0.00420188685819218,0.506194978591561,0.503005508077174,0.06569127815522,1,0.424545183900715,0.0325320693378714,0.0901209896213849,0.456690085731607,0.297816924724651,0.488053083879265,0.475460066970075,0.527580350192832,0.205384404867225,0.491407074762334,0.330900368534305,0.427761747511808,0.53318308482466,0.546114029158432,0.512208004272498,0.522274756904783,0.279100753796783,0.27561037024724,0.413640380050977,0.475023775003805,0.520233704344011,0.0465410491213413,0.3413962548066,0.459525849415285,0.578238902248555,0.521302659210742,0.270256326053985,0.4803960214932,0.473860487286441,0.528808531061217,0.561300382686114,0.284611954042534,0.403246605697777,0.348715107133252,0.25686938258763,0.469899318048735,0.502026513940971,0.430604910283229
"small_blue",0.553286337249756,0.531089678318529,0.492269591182909,0.411269984709562,0.427803077529037,0.453945419105252,0.561097080114169,0.415256050929098,0.188589300795733,0.394063703012818,0.366605634511271,0.416958645725364,0.0432743848053084,0.519160421070037,0.541791231164484,0.090247526816461,0.424545183900715,1,0.0802915939939926,0.11462355873716,0.490243826755473,0.347917204106241,0.492034731419625,0.507263868159657,0.555216735874821,0.248838340508681,0.499076081207005,0.334770496984958,0.473314056129731,0.568584085963388,0.566696588391743,0.539536257483299,0.555274554557015,0.315854791386857,0.309863148617451,0.429969312667664,0.520483033147867,0.536570932110993,0.0368597813767104,0.368954386503133,0.469363356363999,0.626340399039812,0.542912215966244,0.301994706725518,0.485267423885608,0.519972841506983,0.554349853965239,0.582077213535027,0.271314632575958,0.450131105834906,0.388708950818211,0.235184711203132,0.472974386523706,0.525009151311148,0.44469177809921
