"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,-0.00175042883147662,-0.00163458616852967,-0.00122587567984597,-0.00283615582358778,-0.00289046363200562,-0.00320996944804063,-0.000665342804033212,-0.000818467469870536,-0.00257723623651225,-0.00268845659827849,-0.00197536798499137,-0.00102826167169406,-0.0012266916821654,-0.00273041702773576,-0.000949166096760458,-0.00193722510396666,-0.00218722043843178,-0.00142334238746519,-0.000678987425256672,-0.00213123584118902,-0.0025269520003391,-0.00111934440584729,-0.00212995454810633,-0.00196775932931206,-0.00206264757720581,-0.0013024473421918,-0.000590779790665142,-0.00219223172302878,-0.00253705620489407,-0.00189798042379834,-0.00236546958468846,-0.00237544929711485,-0.00199371516169761,-0.00146347571259548,-0.00117087206525801,-0.00288844978617871,-0.00155827425025931,0.000915173120811092,-0.00160811094476753,-0.000970156670513699,-0.00333137571993892,-0.00176612131991595,-0.00162012803380618,-0.00085122280506449,-0.00287969615510553,-0.00203907702817972,-0.00207215874563505,0.000284335285326475,-0.00254620842639922,-0.00302487456363007,0.00121904550658706,-0.000660963777331743,-0.00178605125342103,-0.00134343802749443
"orange_tip",-0.00175042883147662,1,0.491584819840819,0.457317924030408,0.169384545527307,0.254758305312369,0.398482338783466,0.553561845085492,0.0845284730926829,0.142567119251506,0.0849391364946106,0.333907480453685,-0.242095401853449,0.675297402401468,0.473404992727485,-0.0601449926306375,0.390430557773742,0.40234202527618,-0.236534914727923,-0.0395802740081433,0.45071320842248,0.123702277184417,0.63147018494789,0.487944820016043,0.62390054155973,0.0248991182641728,0.638337896779082,0.435059208558286,0.402379352428897,0.583848132228011,0.68811403895687,0.553580181980405,0.553716755758807,0.0945342096671056,0.112102336862848,0.468712661422411,0.419775369973308,0.678218752878132,0.00216992391064042,0.291987030148345,0.606991591090739,0.524501020032063,0.622395947941338,0.150258075775172,0.658564075238734,0.420104255311646,0.606518461410688,0.70326629915147,0.408368216083527,0.268429626790978,0.231370733235329,0.42383864304314,0.662188876424342,0.604284997702055,0.509533408695456
"purple_emperor",-0.00163458616852967,0.491584819840819,1,0.395647768810077,0.168857081465935,0.241406829461982,0.365272516949626,0.471515917486897,0.0786348268241449,0.144041513234302,0.0966477944344668,0.299195927800982,-0.193906959290692,0.578816438447343,0.423340867449319,-0.0414570703026992,0.34632588396626,0.359247620448312,-0.185118230053576,-0.0269243699739822,0.398866285004726,0.127762450968419,0.541200925224701,0.430374043491898,0.543560264920979,0.0404765118401377,0.548255009842319,0.370802191555773,0.359277967700955,0.51503315431036,0.596331802558656,0.487177248458168,0.487921680456302,0.0965487406446126,0.108046872524821,0.404871642111919,0.379857407825439,0.584243769263413,-0.00618258091472506,0.260424397981588,0.518700823180246,0.471984958346809,0.539057298457776,0.141915025822959,0.561170010507833,0.380206116088221,0.529164583030098,0.610430810395844,0.340988569361086,0.249791559731811,0.223809110083861,0.34461278856806,0.562198756125372,0.523948621119375,0.44049260893478
"ringlet",-0.00122587567984597,0.457317924030408,0.395647768810077,1,0.0986068653183419,0.171311408693388,0.289342763437337,0.464652164820088,0.0588798064949715,0.0799729831335079,0.0286311810769477,0.254137390634022,-0.224753799342977,0.559964193743936,0.361597808396807,-0.0671772627948843,0.303310283725297,0.309708117454934,-0.226907636972811,-0.0453015625742927,0.351836557925014,0.0646114490473421,0.523828168779953,0.384070751383489,0.503576594351902,-0.0126014459083058,0.526921033986466,0.363890237114485,0.309719792191281,0.459717273806584,0.560267874100887,0.43661425645303,0.436533493157595,0.0497971731011261,0.0720580959429692,0.383418112452752,0.313029506159295,0.5571133941503,0.0168354017613588,0.224002840830207,0.505263684261573,0.39561397827168,0.505551361052082,0.102367138197349,0.551818898604962,0.313307652548464,0.487415211367662,0.569977518521853,0.355820090738528,0.18858835723559,0.147623213928822,0.384450437615488,0.558122503918704,0.48965678293954,0.415448538138204
"high_brown_fritillary",-0.00283615582358778,0.169384545527307,0.168857081465935,0.0986068653183419,1,0.513533913105013,0.53225455447807,-0.0512507480532984,0.143631961216056,0.487411124482684,0.530524036260518,0.297831755802043,0.293738977712082,0.023185721340134,0.406661974640554,0.217501908414606,0.270874739859738,0.31788307131274,0.379091241121312,0.155461203726814,0.291607599039305,0.484030949092586,0.0191042691799056,0.275816478299072,0.194993668580028,0.420918878409041,0.0523074578958905,-0.0248194365269319,0.318670189973433,0.330187643642951,0.155952955206606,0.302298206852675,0.305458249266475,0.365047860162895,0.267601490764765,0.0823265332765072,0.456769319401565,0.0903438977997051,-0.188732735713229,0.236237277116249,-0.00543195135038935,0.514461389222162,0.153675938760281,0.286739616809165,-0.0496627164388858,0.456533750102883,0.217696946560759,0.190785236249081,-0.200382822684172,0.438898474949762,0.569263629013908,-0.401515609805168,-0.0915757919001181,0.163905291096296,0.106189977523746
"dark.green_fritillary",-0.00289046363200562,0.254758305312369,0.241406829461982,0.171311408693388,0.513533913105013,1,0.55565168974564,0.0517495515674242,0.14561467492702,0.469317183069352,0.498244104967657,0.330671914672402,0.224494639153799,0.141208796615154,0.454636306208679,0.187352558236978,0.316245618320643,0.361424142593628,0.303375255014397,0.13427681910763,0.345823831407056,0.462942373054361,0.129681934074505,0.337903920678258,0.288757225844114,0.387810200682193,0.16105303957388,0.0545369413605848,0.3621993734166,0.404611689946646,0.264586843632103,0.373843722509313,0.376680389778914,0.349016417985198,0.263351151101319,0.158244671890826,0.490747771137414,0.202901631329604,-0.171443576883105,0.267076904506926,0.103009852597993,0.562035321153133,0.250734545126408,0.288002579714778,0.0717864165085187,0.490497208498522,0.306203701276946,0.298686306741336,-0.110088525045379,0.447319028356728,0.560051212679365,-0.290362785086515,0.0342939941074738,0.256877670829538,0.187313206841001
"silver.washed_fritillary",-0.00320996944804063,0.398482338783466,0.365272516949626,0.289342763437337,0.53225455447807,0.55565168974564,1,0.203347526458174,0.161039674003603,0.483006041588535,0.494295111414353,0.405485130437991,0.14457152835558,0.321811929803859,0.561359387719418,0.16011508575435,0.407505007181554,0.453618399475333,0.220352793417043,0.1158067405331,0.452327188458288,0.471813874985701,0.298766490616876,0.455326657946767,0.44688199920546,0.37317094502719,0.330159916788868,0.172961135592703,0.454425131095909,0.545269220542935,0.441979643055853,0.507233037091012,0.510466139860819,0.356304808129837,0.280097936075652,0.280244770396171,0.580186909377421,0.380892860937045,-0.161221994656736,0.333733409413517,0.266547194451842,0.67694082537986,0.410346988792025,0.313940234001119,0.251589266718877,0.580078691332528,0.458583289310351,0.478368547875355,0.0100424876275824,0.497551167306272,0.59375465708082,-0.155905541941009,0.217211758825346,0.410997219711892,0.318926371304104
"brown_argus",-0.000665342804033212,0.553561845085492,0.471515917486897,0.464652164820088,-0.0512507480532984,0.0517495515674242,0.203347526458174,1,0.0292049986876274,-0.0615750100524145,-0.145119985634417,0.237351136203423,-0.402445462268856,0.741743251240289,0.343322527892483,-0.165187072492837,0.312480305897514,0.30479498853378,-0.434745557786635,-0.114410007111585,0.370304217188551,-0.0809772825534994,0.694937423625299,0.419149852064561,0.607177539125716,-0.162411553994422,0.687084190254494,0.495683819505834,0.304488731357881,0.501636359094028,0.696256984886626,0.47978461985547,0.478880468445015,-0.0597356396784419,0.00414535232487658,0.485053414999297,0.260924379631837,0.714578060794838,0.0877150498192752,0.218539224669143,0.678124960139124,0.351432763274673,0.623386600091147,0.0379369323199343,0.75589272236787,0.261448388375886,0.57748665282036,0.697336296884902,0.545878686004894,0.100885133276309,0.000378181444001392,0.653915386964698,0.77901306850425,0.598497512782734,0.519190640547064
"northern_brown_argus",-0.000818467469870536,0.0845284730926829,0.0786348268241449,0.0588798064949715,0.143631961216056,0.14561467492702,0.161039674003603,0.0292049986876274,1,0.13059002213842,0.13684988057595,0.0985190518596019,0.0538259116996309,0.0566486006985118,0.135910280878684,0.0490561491316881,0.0961196499934099,0.108591484079224,0.0754016071601816,0.0349778261534297,0.105922085116317,0.128272824908709,0.0523588774424356,0.104799576678641,0.0953075011581308,0.10545363982164,0.0612673001600683,0.0269000643728598,0.108820972160883,0.125450468837541,0.0904158713237648,0.116479122727229,0.116986266935198,0.096614744514034,0.0742964460492766,0.0556124055572713,0.144459665620158,0.0734288125923819,-0.0463461202206325,0.0801438850258682,0.0447281284350136,0.166408310283786,0.0849117192854308,0.0818427970104772,0.0375881584408133,0.144418081259756,0.0994380638843562,0.100042684851423,-0.0185289890474787,0.128071523431358,0.157646083134433,-0.0668205812454298,0.0275036888917114,0.0861630818793116,0.0647283718872274
"pearl_bordered_fritillary",-0.00257723623651225,0.142567119251506,0.144041513234302,0.0799729831335079,0.487411124482684,0.469317183069352,0.483006041588535,-0.0615750100524145,0.13059002213842,1,0.489281081326388,0.267491576488011,0.278403502090763,0.00437146269673542,0.36479201216153,0.202893276329012,0.241041772191992,0.284424628870576,0.357143049075205,0.144936314836685,0.258708346314841,0.445365627432121,0.00165677582211897,0.242961679384896,0.164981487005881,0.389205894824743,0.0323634309343512,-0.0341607938636514,0.285318878398109,0.291089699044249,0.127098330523887,0.265883203390442,0.268969292415852,0.335638755705118,0.245078125274255,0.064378056528834,0.412265495145041,0.0665130622205759,-0.174625891974736,0.211469731277099,-0.0203492523116435,0.463159380906518,0.126769672026359,0.261826608556118,-0.0627125457691039,0.411978359993222,0.186357159846207,0.158776316279486,-0.196227892121358,0.399573800171611,0.521726248825516,-0.382662567752973,-0.10162094828604,0.136678886820453,0.0855739420648062
