"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-8.37692999147254","-14.2780902645964","-2.29831747192868","2.99916003242004","-0.358026154626228","-0.233941700210353","-0.722700176243315","-0.201439285342505","boral","ALA"
"2","Rockiness","0.00362370707865468","-0.00162341179043627","0.00898829423495397","7.5063531342122e-05","0.732223085970414","0.472140653984174","1.4408520577663","0.41064602982368","boral","ALA"
"3","Sandiness","-0.080122861677537","-0.55842649768106","0.418768298742975","0.25145772315949","-3.13840167331403","-2.14561021436633","-6.99704567189255","-1.76717807185967","boral","ALA"
"4","VallyBotFlat","-0.432307437855234","-0.763355113071265","-0.178947705423474","0.0906338853277357","-0.336106061669014","-0.21766849870165","-0.620190660770113","-0.187598898732606","boral","ALA"
"5","PPTann","0.000721877728154742","-0.000553561562788142","0.0020156206109645","5.39577637424206e-06","0.946766661016709","0.65448280814579","1.75723557605776","0.534181247449927","boral","ALA"
"6","Loaminess","-0.862009950254604","-2.33466152171801","0.319178097276879","0.68758776212948","-0.797656409797119","-0.569054059546044","-1.31672609499667","-0.446013169387402","boral","ALA"
"7","cvTemp","0.0412718248063746","0.00396097294788975","0.0781402592833139","0.00364508066800937","0.455032097530085","0.301801354089647","0.90351002438708","0.256168428855013","boral","ALA"
"8","T0","9.84863617630528e-05","4.00615052724135e-05","0.000154103982819608","8.82139212954833e-09","0.292801844993912","0.186373669942085","0.587346797146288","0.163654744733983","boral","ALA"
"9","intercept","-35.5620973382962","-48.8715012182135","-24.1347272536542","6.12007070318082","-0.17209532511431","-0.117556246047307","-0.338831007741912","-0.0970128731576266","boral","ARE"
"10","Rockiness","-0.000273017315786808","-0.0116762257529213","0.0107072577373284","0.000151421914224775","-19.6049640189529","-9.63971419886152","-23.1003326529323","-10.7984713702695","boral","ARE"
"11","Sandiness","0.704039714830921","-0.188743814053831","1.66251896253208","0.472292061877882","0.670831562380405","0.464768278537761","1.25613651342774","0.378747400144869","boral","ARE"
"12","VallyBotFlat","-0.552350346810033","-1.19199803285885","-0.0869350504821948","0.180088453518687","-0.522696620787164","-0.357481810171641","-0.864050665958084","-0.292462868593256","boral","ARE"
"13","PPTann","-0.00192691773588749","-0.00578327777940723","0.00086945464904984","1.35347411982653e-05","-0.889691494999303","-0.580787556770661","-1.35388113327824","-0.482987372585234","boral","ARE"
"14","Loaminess","-0.376742519671481","-1.98391313506664","1.22282276821382","0.834837781719953","-2.21593724660527","-1.40700735659687","-4.2133444896177","-1.24591997666192","boral","ARE"
"15","cvTemp","0.2282202648481","0.161599049183796","0.31060668046415","0.00731343745067135","0.165103357921199","0.113504175237655","0.315556593079562","0.0927953696420998","boral","ARE"
"16","T0","4.02424262340294e-06","-0.000122665699044921","0.000120272301942098","1.87791059842252e-08","15.2546951011298","7.79139162158542","-101.503424024556","8.51530159486749","boral","ARE"
"17","intercept","21.9776461354729","11.7451165864855","34.051138381532","5.78901361148555","0.263404623761861","0.184696926856647","0.487070870983321","0.149000724416334","boral","BAX"
