"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.414903857294645,0.0280346433398237,-0.125979083685943,-0.428937674562357,-0.0622724021664524,0.00687592029767667,-0.0164535491056548,-0.183122856394022,-0.092967192688449,0.0490155414266856,-0.27027365021848
"ARE",-0.414903857294645,1,-0.723540446094183,-0.147168585892853,0.403243478784097,-0.226054841322572,-0.360009634607439,-0.377662388765137,-0.0126967844065541,-0.12505334965308,-0.834754921816062,0.199147177501781
"BAX",0.0280346433398238,-0.723540446094183,1,-0.665360639105171,-0.594507438264103,-0.250127399001977,-0.108999203454715,-0.511729972184876,-0.265230250220208,-0.856609904932713,-0.029774213817071,-0.51243767423044
"CAM",-0.125979083685943,-0.147168585892853,-0.665360639105171,1,-0.33989559614582,-0.0986148100484282,-0.13290386776997,-0.125440926873357,-0.289086058389833,-0.163628607907151,-0.232299698090766,-0.13572556623428
"GON",-0.428937674562357,0.403243478784097,-0.594507438264103,-0.33989559614582,1,-0.265774043658326,-0.440007330789898,-0.497710179844284,0.00673581984972167,-0.532047591697108,-0.93101784110633,0.161922298764228
"MEL",-0.0622724021664524,-0.226054841322572,-0.250127399001977,-0.0986148100484282,-0.265774043658326,1,-0.104987056083177,-0.194709501738233,-0.142467912810645,-0.325049136586191,-0.258564039015755,-0.150692684905945
"OBL",0.00687592029767667,-0.360009634607439,-0.108999203454715,-0.13290386776997,-0.440007330789898,-0.104987056083177,1,-0.00337154354759591,-0.174925964211285,-0.146079382449465,0.0614498083254864,-0.221741505985538
"OVA",-0.0164535491056548,-0.377662388765137,-0.511729972184876,-0.125440926873357,-0.497710179844284,-0.194709501738233,-0.00337154354759591,1,-0.262650163861557,0.0357348649733013,0.0999300884878543,-0.250637014811491
"WIL",-0.183122856394022,-0.0126967844065541,-0.265230250220208,-0.289086058389833,0.00673581984972167,-0.142467912810645,-0.174925964211285,-0.262650163861557,1,-0.386877649233161,-0.564245230923539,-0.0158692454003668
"ALP",-0.092967192688449,-0.12505334965308,-0.856609904932713,-0.163628607907151,-0.532047591697108,-0.325049136586191,-0.146079382449465,0.0357348649733013,-0.386877649233161,1,0.0384520490369512,-0.221924758790731
"VIM",0.0490155414266856,-0.834754921816062,-0.029774213817071,-0.232299698090766,-0.93101784110633,-0.258564039015755,0.0614498083254864,0.0999300884878543,-0.564245230923539,0.0384520490369512,1,-0.613807831384414
"ARO.SAB",-0.27027365021848,0.199147177501781,-0.51243767423044,-0.13572556623428,0.161922298764228,-0.150692684905945,-0.221741505985538,-0.250637014811491,-0.0158692454003668,-0.221924758790731,-0.613807831384414,1
