"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.21580428310577,0.144283730620688,-0.018694877828484,-0.227849238755531,0.00788984158350088,0.0722813661534178,0.0631778550935699,-0.072008092288718,0.000800744285337584,0.247757784210429,-0.129573971706825
"ARE",-0.21580428310577,1,-0.524212693412027,0.109499468576918,0.633292787167139,-0.0156140961320085,-0.188158056370855,-0.124954655255565,0.188217013637163,0.128563665181807,-0.659133730926546,0.385162147286034
"BAX",0.144283730620688,-0.524212693412027,1,-0.345371983030892,-0.311959498585076,-0.0198056358059212,0.0552108718412035,-0.180298192502703,-0.039500486318585,-0.719575431556644,0.195122072846526,-0.319378413321863
"CAM",-0.018694877828484,0.109499468576918,-0.345371983030892,1,-0.00961505698723167,0.0435404232916914,0.0117370801437522,0.122383174141193,-0.0580913875478179,0.40638150246061,0.0965046295384163,0.052266654698796
"GON",-0.227849238755531,0.633292787167139,-0.311959498585076,-0.00961505698723167,1,-0.0241646230306151,-0.241109183713957,-0.270588872747341,0.240460627880711,-0.18918395519251,-0.825100178998655,0.374998912638906
"MEL",0.00788984158350088,-0.0156140961320085,-0.0198056358059212,0.0435404232916914,-0.0241646230306151,1,-0.000748701324199841,0.00975475329662905,-0.0255063663289238,0.03885007886856,0.0327480831985336,-0.0123220855999009
"OBL",0.0722813661534178,-0.188158056370855,0.0552108718412035,0.0117370801437522,-0.241109183713957,-0.00074870132419984,1,0.115970152003941,-0.0764883680467404,0.115303695807043,0.284673791364579,-0.108296472596164
"OVA",0.0631778550935699,-0.124954655255565,-0.180298192502703,0.122383174141193,-0.270588872747341,0.00975475329662905,0.115970152003941,1,-0.106709203502358,0.410144541952614,0.377544731767134,-0.0682953793287821
"WIL",-0.072008092288718,0.188217013637163,-0.039500486318585,-0.0580913875478179,0.240460627880711,-0.0255063663289238,-0.0764883680467404,-0.106709203502358,1,-0.129955592957313,-0.289995456199174,0.12155388680519
"ALP",0.000800744285337584,0.128563665181807,-0.719575431556644,0.40638150246061,-0.18918395519251,0.03885007886856,0.115303695807043,0.410144541952614,-0.129955592957313,1,0.392153609719662,0.0814618022298981
"VIM",0.247757784210429,-0.659133730926546,0.195122072846526,0.0965046295384163,-0.825100178998655,0.0327480831985336,0.284673791364579,0.377544731767134,-0.289995456199174,0.392153609719662,1,-0.399021774533004
"ARO.SAB",-0.129573971706825,0.385162147286034,-0.319378413321863,0.052266654698796,0.374998912638906,-0.0123220855999009,-0.108296472596164,-0.0682953793287821,0.12155388680519,0.0814618022298981,-0.399021774533004,1
