"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",0,0.0986995052843863,0.0673715939745488,0.0495994460393971,0.102938824834002,0.0396739778501476,0.0463593475236459,0.0529089126808595,0.0500224756414222,0.0476782632043386,0.109420272903467,0.0663148079898714
"ARE",0.0986995052843863,0,0.106718652687654,0.137854546553944,0.104773465615091,0.104140340302566,0.084517068133278,0.13630180039892,0.108863369971224,0.141420130028906,0.104762278056687,0.0980043147647181
"BAX",0.0673715939745488,0.106718652687654,0,0.218327324524199,0.148044902100126,0.130975342521492,0.089818486701491,0.174821745368155,0.112896556136364,0.0887946403627401,0.103468662992357,0.10713892979939
"CAM",0.0495994460393971,0.137854546553944,0.218327324524199,0,0.164674160927134,0.0802413850527294,0.0677753142029674,0.118059994927145,0.0970528795545245,0.271295163981729,0.164598143149719,0.0917401205171133
"GON",0.102938824834002,0.104773465615091,0.148044902100126,0.164674160927134,0,0.120873228980612,0.0995547687857512,0.130218112892705,0.119439114431461,0.182317074902616,0.0702091308121351,0.10254930017256
"MEL",0.0396739778501476,0.104140340302566,0.130975342521492,0.0802413850527294,0.120873228980612,0,0.0471148263388075,0.0851784433265564,0.0520933266640116,0.165178894374922,0.143302453789831,0.0673917142938653
"OBL",0.0463593475236459,0.084517068133278,0.089818486701491,0.0677753142029674,0.0995547687857512,0.0471148263388075,0,0.0739641447424242,0.0491332289516831,0.120657326844459,0.110557992816368,0.0559527807818532
"OVA",0.0529089126808595,0.13630180039892,0.174821745368155,0.118059994927145,0.130218112892705,0.0851784433265564,0.0739641447424242,0,0.080609832736427,0.195988868080552,0.132723053084415,0.100483503495641
"WIL",0.0500224756414222,0.108863369971224,0.112896556136364,0.0970528795545245,0.119439114431461,0.0520933266640116,0.0491332289516831,0.080609832736427,0,0.141460817598395,0.144236277720583,0.0770081464296012
"ALP",0.0476782632043386,0.141420130028906,0.0887946403627401,0.271295163981729,0.182317074902616,0.165178894374922,0.120657326844459,0.195988868080552,0.141460817598395,0,0.182306569951294,0.151987532337835
"VIM",0.109420272903467,0.104762278056687,0.103468662992357,0.164598143149719,0.0702091308121351,0.143302453789831,0.110557992816368,0.132723053084415,0.144236277720583,0.182306569951294,0,0.120041620891107
"ARO.SAB",0.0663148079898714,0.0980043147647181,0.10713892979939,0.0917401205171133,0.10254930017256,0.0673917142938653,0.0559527807818532,0.100483503495641,0.0770081464296012,0.151987532337835,0.120041620891107,0
