"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.043439191793862,0.290009076296869,0.0694277487200205,-0.0430478892254777,0.102517521973276,0.17893283785184,0.191625931746713,-4.95964199691533e-05,0.0951174051520934,0.464844517766396,-0.02395555493813
"ARE",-0.043439191793862,1,-0.299134010395875,0.385257953257026,0.810232719944152,0.182276400958734,-0.0310764976738509,0.144867576882512,0.403579861230918,0.385876363488668,-0.420421252057206,0.564820488623178
"BAX",0.290009076296869,-0.299134010395875,1,0.106552765236095,-0.00295049460044935,0.240910634620046,0.229852758820907,0.153691596971841,0.175569998435245,-0.527796606996286,0.383172121916491,-0.0957022293643878
"CAM",0.0694277487200205,0.385257953257026,0.106552765236095,1,0.3047431118987,0.232498413745525,0.139461598639397,0.334558867942167,0.0965970369734744,0.829230181966183,0.403268523933434,0.231320015716038
"GON",-0.0430478892254777,0.810232719944152,-0.00295049460044935,0.3047431118987,1,0.211482527208942,-0.0500826630983027,0.00110347428253662,0.463224050447,0.179177383788642,-0.648435919184103,0.549565815988201
"MEL",0.102517521973276,0.182276400958734,0.240910634620046,0.232498413745525,0.211482527208942,1,0.0860094863041965,0.159857855680442,0.0591045088981108,0.333862927785033,0.303103346844498,0.122168326722326
"OBL",0.17893283785184,-0.0310764976738509,0.229852758820907,0.139461598639397,-0.0500826630983027,0.0860094863041965,1,0.280977515003481,0.00965795951937948,0.33528355200019,0.499049806278055,-0.00611307766837953
"OVA",0.191625931746713,0.144867576882512,0.153691596971841,0.334558867942167,0.00110347428253662,0.159857855680442,0.280977515003481,1,0.0622227908102854,0.802732157334785,0.610589349227988,0.146114049823581
"WIL",-4.95964199691533e-05,0.403579861230918,0.175569998435245,0.0965970369734744,0.463224050447,0.0591045088981108,0.00965795951937948,0.0622227908102854,1,0.1758266176482,0.0024625919164858,0.283502263703199
"ALP",0.0951174051520934,0.385876363488668,-0.527796606996286,0.829230181966183,0.179177383788642,0.333862927785033,0.33528355200019,0.802732157334785,0.1758266176482,1,0.678404498010654,0.369039022618855
"VIM",0.464844517766396,-0.420421252057206,0.383172121916491,0.403268523933434,-0.648435919184103,0.303103346844498,0.499049806278055,0.610589349227988,0.0024625919164858,0.678404498010654,1,-0.132247172783004
"ARO.SAB",-0.02395555493813,0.564820488623178,-0.0957022293643878,0.231320015716038,0.549565815988201,0.122168326722326,-0.00611307766837953,0.146114049823581,0.283502263703199,0.369039022618855,-0.132247172783004,1
