"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-7.82410684673841","-13.8347887255011","-1.97311671207114","3.01313262043894","-0.385108828325243","-0.259004701843168","-0.750363295142008","-0.217989122466183","boral","ALA"
"2","Rockiness","0.00346667977999132","-0.00135572980808681","0.00847228777414321","7.15881745466896e-05","0.729953291019963","0.485293326616115","1.38100717075676","0.409662164067007","boral","ALA"
"3","Sandiness","-0.198366604262983","-0.717762876197114","0.283105508904524","0.249728494246823","-1.25892407733989","-0.83243885791667","-2.3026605791497","-0.709931861449699","boral","ALA"
"4","VallyBotFlat","-0.44673720891789","-0.773220861079626","-0.175723759823828","0.0962632938526106","-0.345451470852332","-0.231165420510511","-0.629643804384437","-0.192512689671256","boral","ALA"
"5","PPTann","0.000775154196981673","-0.000653489010645438","0.00219099412060748","5.8286906000391e-06","0.952435461660605","0.622100797534921","1.85006418048467","0.536473740333201","boral","ALA"
"6","Loaminess","-7.07854756666855","-16.4365945597738","-0.794486605377774","4.14403096988141","-0.585435208402754","-0.43055241489291","-0.907784474141465","-0.32883200729599","boral","ALA"
"7","cvTemp","0.0382367019244612","0.0023116788152174","0.0743048979178227","0.0036278479500107","0.488829279442409","0.337587515956118","0.939655909627178","0.276584152646779","boral","ALA"
"8","T0","9.45027338912495e-05","4.12720425159206e-05","0.000150479327616167","8.73716831827235e-09","0.302231067566179","0.215320439471797","0.569525448631836","0.17120665195937","boral","ALA"
"9","intercept","-34.6260040699163","-46.1637164237718","-22.4056662539889","6.2503107323507","-0.180509154903643","-0.119688096624968","-0.346481902592487","-0.101853051412157","boral","ARE"
"10","Rockiness","-9.82188832224304e-05","-0.0109273611523216","0.0133400001008524","0.00017153144780345","-61.7328420599229","-10.7364548003589","10.0584305280953","-34.2400369384687","boral","ARE"
"11","Sandiness","0.883266858189424","-0.291193785447995","2.44964492220156","0.68198592703219","0.772117645657133","0.48332383331848","1.26981735235014","0.427686329507499","boral","ARE"
"12","VallyBotFlat","-0.732479825091466","-1.5419494946425","-0.16651605623429","0.225731689305443","-0.49405502315455","-0.352818140338287","-0.805069459962089","-0.277093897831918","boral","ARE"
"13","PPTann","-0.00254494430728962","-0.00721751240125775","0.000668031460473178","1.54991860482947e-05","-0.771406449932344","-0.514857049847014","-1.20399523764189","-0.424977380635151","boral","ARE"
"14","Loaminess","-7.67760153152197","-23.8674357406486","1.68316752513223","6.93413258230967","-0.903163905269134","-0.657896790462394","-1.15174424585752","-0.496132882272132","boral","ARE"
"15","cvTemp","0.223391678575283","0.147638397620313","0.297564855495072","0.00744455497119406","0.171696052177397","0.116426339747578","0.33675957402742","0.096901749551492","boral","ARE"
"16","T0","-1.1706272922563e-05","-0.000161143934884213","0.000113909859738413","2.09459277296402e-08","-5.84916309261222","-4.67095205830688","-5.82320694908505","-3.27686714513199","boral","ARE"
"17","intercept","15.8011176372113","6.209894755211","32.6507424879829","7.14672652899129","0.45229247025925","0.279507609261109","0.680401805232949","0.243253873307159","boral","BAX"
"18","Rockiness","-0.0383803968911647","-0.131273440964644","-0.00785632766529595","0.00108538949223258","-0.999640081746976","-0.668004113672299","-0.887064749080517","-0.494800809213936","boral","BAX"
"19","Sandiness","2.51283714779621","0.357448820589643","9.1431070420149","2.54614735004918","1.01325601314124","0.687744921732946","0.924752019616745","0.508613330441209","boral","BAX"
"20","VallyBotFlat","-1.27238154982225","-4.65385552491424","-0.263586970776682","0.772283257128084","-0.973055723165669","-0.691784422566425","-0.892795097855172","-0.490274097065213","boral","BAX"
"21","PPTann","0.000104763554966934","-0.00471237032804837","0.00744812479924276","2.06431645427702e-05","24.958512849873","-5.51324556273996","4.44502430877213","11.9524951664567","boral","BAX"
"22","Loaminess","-1.39508200487256","-8.10547409249849","1.33095540561662","2.36927348336017","-1.6983040961643","-0.903578068411596","-1.39292987948911","-0.814265981732409","boral","BAX"
"23","cvTemp","-0.119775182318336","-0.250027532105159","-0.0487480950719789","0.0110208668570177","-0.474064543932073","-0.319655237841801","-0.673680912110832","-0.25599823734769","boral","BAX"
"24","T0","0.000111373381559168","-4.51299206977651e-05","0.000562686765136163","5.10327039078572e-08","1.49789009461226","0.894325308483054","1.17439599604459","0.722508312003521","boral","BAX"
"25","intercept","-0.0614431418909236","-18.4819279480366","19.38774923508","9.47196754592823","-154.158255167733","-70.9695982154082","41.80700732561","-87.4184637309659","boral","CAM"
"26","Rockiness","0.0392681783208102","-0.0738787250715343","0.137914920980888","0.00150398402353954","1.35384822020765","0.839866721102001","3.30740517991147","0.764574256723525","boral","CAM"
"27","Sandiness","-9.35848574905036","-14.7988179808272","-4.49905209162933","2.75480992987626","-0.29436492224779","-0.214546302842994","-0.533725527766844","-0.167630061614638","boral","CAM"
"28","VallyBotFlat","2.87238166633429","1.70299151615845","4.61434257246195","0.483949776250066","0.270107474389443","0.196338553822946","0.460851209618279","0.150779458159305","boral","CAM"
"29","PPTann","-0.0188884460550922","-0.0405040815560493","0.00601599728678972","9.45466491878653e-05","-0.63401943194083","-0.437088663070788","-1.34887396121054","-0.358681231551932","boral","CAM"
"30","Loaminess","-5.80030959859512","-12.1280162092005","1.06811614172494","3.43712249739885","-0.592575695999288","-0.397782168877354","-1.19315113793225","-0.335703503318002","boral","CAM"
"31","cvTemp","0.0207165197209399","-0.155397258747833","0.175507483041763","0.0170062930225064","4.22942589417488","2.9404797209638","16.4545525178188","2.38777077159567","boral","CAM"
"32","T0","-0.000150394441165363","-0.000740526718728687","0.000364150078867624","7.96253171424922e-08","-1.73074133590439","-1.07239150420999","-2.93503018148017","-0.957636472587897","boral","CAM"
"33","intercept","-31.0031865664524","-45.2029100526387","-16.9669726323666","7.36788715017324","-0.237649350475019","-0.162436324653758","-0.454173889362707","-0.134073484288639","boral","GON"
"34","Rockiness","0.0380811963657583","0.0150367866760617","0.073823379296171","0.000443493673757844","0.411665389385915","0.300851142679321","0.661562939669493","0.230900358586057","boral","GON"
"35","Sandiness","0.142705766951293","-2.09740820599837","2.28784437537727","1.09788032860529","7.69331437726692","4.04805979643536","23.0274143597727","4.20450004152232","boral","GON"
"36","VallyBotFlat","-2.97540889102654","-5.58964657476299","-1.00587765761926","0.755041115894397","-0.406820098119201","-0.299177589022991","-0.694981741502618","-0.230351898530079","boral","GON"
"37","PPTann","-0.01405726260024","-0.0277504972281888","-0.00456622841125103","5.12735048740584e-05","-0.462003115888846","-0.35428075154719","-0.717407731080383","-0.260189068311289","boral","GON"
"38","Loaminess","-8.80950928597587","-23.9435159621435","1.89217906214358","7.42016468272798","-0.84229035260118","-0.668283819084131","-1.1716158136556","-0.477429712002917","boral","GON"
"39","cvTemp","0.251139961554371","0.158696531449794","0.351477000466045","0.00974481261114437","0.199915390047463","0.138001358404399","0.377872345302409","0.113274331657614","boral","GON"
