"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.12424949704001,-0.00200844885557209,0.131655300537346,-0.151073051136879,0.0530033282853137,0.0113158040869904,0.0403862924020296,-0.0832745110672393,0.0877311693607234,0.141801431002617,-0.053668785544292
"ARE",-0.12424949704001,1,-0.37917579252649,-0.174799325293592,0.728378973399244,-0.116986187648785,-0.147891012277613,-0.215489818187914,0.299484855084758,-0.0351328669277709,-0.734052816561782,0.343894561020066
"BAX",-0.00200844885557209,-0.37917579252649,1,-0.505935584974545,-0.259892536814188,-0.121577096494797,0.169001438252802,0.0902325948076988,-0.00490742789896039,-0.558954769609534,0.321919276358925,-0.22789354546194
"CAM",0.131655300537346,-0.174799325293592,-0.505935584974545,1,-0.374361660357315,0.335800280910435,-0.139396854211507,0.0638954191003245,-0.31814628780163,0.893609303664062,0.245825089861035,-0.0170593773299406
"GON",-0.151073051136879,0.728378973399244,-0.259892536814188,-0.374361660357315,1,-0.175310232210256,-0.140379471663342,-0.239923544709604,0.367302737025392,-0.224798124086321,-0.805899287082149,0.348213171004861
"MEL",0.0530033282853137,-0.116986187648785,-0.121577096494797,0.335800280910435,-0.175310232210256,1,-0.0775830554564934,0.00603768476495369,-0.134187849659358,0.293452069883006,0.0761471358108894,-0.0197512108860767
"OBL",0.0113158040869904,-0.147891012277613,0.169001438252802,-0.139396854211507,-0.140379471663342,-0.0775830554564934,1,0.103485771625494,-0.0251503856028106,-0.177078410944803,0.274597888455834,-0.112282955345329
"OVA",0.0403862924020296,-0.215489818187914,0.0902325948076988,0.0638954191003245,-0.239923544709604,0.00603768476495369,0.103485771625494,1,-0.0944210742613727,0.0198510753192022,0.319800789893085,-0.125851803174131
"WIL",-0.0832745110672393,0.299484855084758,-0.00490742789896039,-0.31814628780163,0.367302737025392,-0.134187849659358,-0.0251503856028106,-0.0944210742613727,1,-0.219216820822591,-0.341529247239858,0.135778212190442
"ALP",0.0877311693607234,-0.0351328669277709,-0.558954769609534,0.893609303664062,-0.224798124086321,0.293452069883006,-0.177078410944803,0.0198510753192022,-0.219216820822591,1,0.0742772052433541,0.059193395197178
"VIM",0.141801431002617,-0.734052816561782,0.321919276358925,0.245825089861035,-0.805899287082149,0.0761471358108894,0.274597888455834,0.319800789893085,-0.341529247239858,0.0742772052433541,1,-0.402919387812582
"ARO.SAB",-0.053668785544292,0.343894561020066,-0.22789354546194,-0.0170593773299406,0.348213171004861,-0.0197512108860767,-0.112282955345329,-0.125851803174131,0.135778212190442,0.059193395197178,-0.402919387812582,1
