"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,0.000732602353299501,0.138090668171365,0.339092116089231,-0.0024773527200808,0.204012018565876,0.107451590908276,0.15133460119812,-0.00198353788647086,0.293677866627845,0.380920652171464,0.0011526529879776
"ARE",0.000732602353299501,1,-0.0374741108863328,0.335351537540048,0.879288231220005,0.171108250030202,0.112593348003313,0.0329047231558724,0.622176318912579,0.346288180201831,-0.496553414674139,0.519248165578319
"BAX",0.138090668171365,-0.0374741108863328,1,0.0471051658942796,0.0437191371486951,0.0756523219114553,0.325734650600583,0.282532217853907,0.188810485881866,-0.15878141454037,0.508396706508224,-0.047931648787642
"CAM",0.339092116089231,0.335351537540048,0.0471051658942796,1,0.190316105488065,0.708758881026509,0.199468074972991,0.394075160822161,-0.0243576500774085,0.983143171427727,0.588871080223062,0.227951517858927
"GON",-0.0024773527200808,0.879288231220005,0.0437191371486951,0.190316105488065,1,0.139873108648167,0.17806335347864,0.0693256717294473,0.669469915113433,0.242512788120017,-0.44482391993336,0.536429644974975
"MEL",0.204012018565876,0.171108250030202,0.0756523219114553,0.708758881026509,0.139873108648167,1,0.0840035556656772,0.151067731845766,0.0265226530044004,0.652008757094493,0.319572796174935,0.119497783326758
"OBL",0.107451590908276,0.112593348003313,0.325734650600583,0.199468074972991,0.17806335347864,0.0840035556656772,1,0.278065261221082,0.163260772463261,0.204386789580217,0.504613848307862,-0.0101458585345905
"OVA",0.15133460119812,0.0329047231558724,0.282532217853908,0.394075160822161,0.0693256717294473,0.151067731845766,0.278065261221082,1,0.0675823425438286,0.387743996013388,0.567305556432972,-0.0043376996576355
"WIL",-0.00198353788647086,0.622176318912579,0.188810485881866,-0.0243576500774085,0.669469915113433,0.0265226530044004,0.163260772463261,0.0675823425438286,1,0.11125064441325,-0.0961027683696656,0.299105193361344
"ALP",0.293677866627845,0.346288180201831,-0.15878141454037,0.983143171427727,0.242512788120017,0.652008757094493,0.204386789580218,0.387743996013388,0.11125064441325,1,0.616656967854304,0.401993682210469
"VIM",0.380920652171464,-0.496553414674139,0.508396706508224,0.588871080223062,-0.44482391993336,0.319572796174935,0.504613848307862,0.567305556432972,-0.0961027683696656,0.616656967854304,1,-0.198522094516331
"ARO.SAB",0.0011526529879776,0.519248165578319,-0.047931648787642,0.227951517858927,0.536429644974975,0.119497783326758,-0.0101458585345905,-0.0043376996576355,0.299105193361344,0.401993682210469,-0.198522094516331,1
