"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-2.12940785896762","-3.40781232108358","-1.04935546406291","0.610631795586521","-0.286761313956345","-0.185018365826055","-0.529138002136744","-0.15940863360023","boral","antser"
"2","diam","0.568423590324629","0.34741025941249","0.823377261326508","0.130873458376439","0.2202563174998","0.150540939018707","0.406535766296509","0.123462293934168","boral","antser"
"3","dc1","-0.186151664190984","-1.11771711917445","0.69520351971651","0.461979405618255","-2.48173663999202","-1.62587609752463","-4.29079831091077","-1.39659320261097","boral","antser"
"4","dc2","0.641900631958204","-0.16612600567405","1.51608696683299","0.434285659660558","0.67656213133131","0.452835217559065","1.24611971820493","0.381180334551529","boral","antser"
"5","dc3","0.753030701848402","-0.119155754944228","1.6491946988362","0.443152294385179","0.588491668795721","0.37914141899702","1.15575519227129","0.330216919814889","boral","antser"
"6","dc4","0.0844524977479476","-0.912004353330349","1.0541711543142","0.494103004469802","5.85066182346052","3.90094308475045","13.8300608442888","3.3018481173972","boral","antser"
"7","dc5","-0.356122559146446","-2.12173174735866","1.18064941799239","0.854149633460057","-2.39847100814753","-1.72164488766106","-3.5091309891823","-1.34846726952829","boral","antser"
"8","quality3","-0.905033561792685","-1.64310237397149","-0.118362456410808","0.375189851711604","-0.414559047919097","-0.260638369219239","-0.865609060857469","-0.231750237018838","boral","antser"
"9","quality4","-0.273248277359998","-0.852710598532263","0.303397617533329","0.296319640407724","-1.08443369989605","-0.71357927194986","-2.10464390257662","-0.60770183344091","boral","antser"
"10","ground3","-0.105395305671868","-0.743687876533891","0.576042960583566","0.324811306546801","-3.08183846022564","-2.11101240377979","-7.87217930013758","-1.73132851333337","boral","antser"
"11","ground4","0.287141423186622","-0.380264600395238","1.00237288862558","0.355358523102545","1.23757317616827","0.819228926966521","2.22250292301022","0.696511829210653","boral","antser"
"12","epi","-0.500768688547382","-0.744104203590529","-0.284152282890315","0.0988481585893038","-0.235597322925467","-0.16194182944465","-0.447312442710063","-0.132422246592415","boral","antser"
"13","bark","-0.656114277064109","-0.972133202082489","-0.360169272397894","0.179519843783589","-0.241955195794854","-0.160731302427876","-0.459328074072121","-0.136069137176607","boral","antser"
"14","intercept","-7.26021095447729","-12.7920642829003","-3.57148602352628","2.3742967863377","-0.327028622339616","-0.228860803467831","-0.563482745902199","-0.182626390638822","boral","antsin"
"15","diam","1.10745900222421","0.404020144587411","2.12480070563391","0.452812256557563","0.391146460181263","0.24664182707147","0.680467562933886","0.214512427408839","boral","antsin"
"16","dc1","-0.847484448232146","-2.34927824133656","0.523133111202439","0.729450708058926","-0.860724594510921","-0.604634650241985","-1.5729370602259","-0.484664061094841","boral","antsin"
"17","dc2","0.538904206358839","-0.753236046136051","1.79521281167845","0.650828176671822","1.20768806216824","0.833528936769537","2.44578280638332","0.68032085432848","boral","antsin"
"18","dc3","0.476756647697272","-0.942087437832058","1.80940659195118","0.707469848642694","1.48392235757962","0.97283280322989","3.17241238904467","0.834887509699843","boral","antsin"
"19","dc4","-0.00964194763189188","-1.64344043468851","1.54888337210884","0.816302554601739","-84.6615835063988","256.456582289142","-33.7608182795187","-47.8095297395931","boral","antsin"
"20","dc5","-0.140953623272175","-2.20506069114133","1.67865653327305","0.979504342991831","-6.94912496928479","-5.07717398020139","-7.37782399011015","-3.91484915599067","boral","antsin"
"21","quality3","-0.00530588042911167","-1.48996302955984","1.32150525017322","0.707903160137826","-133.418604055566","139.504585495162","-16.6894535234293","-74.6508949953009","boral","antsin"
"22","quality4","-0.282552111926134","-1.5155340384466","1.13024845790939","0.693187864298387","-2.45330979681229","-1.62024855343267","-6.86706855903343","-1.38536636188926","boral","antsin"
"23","ground3","0.544459825540779","-0.864970735926691","2.0498766529422","0.73308953846544","1.34645295038492","0.907058372986705","2.45998213614351","0.757591622763819","boral","antsin"
"24","ground4","0.123306086381855","-1.42236556023197","1.70490336036695","0.77827266682059","6.31171331162379","3.94441369401368","11.0684974509778","3.5374140897967","boral","antsin"
"25","epi","-0.0287540468236987","-0.790461091795546","0.717436692454939","0.312622494386462","-12.9765780210103","-7.6647319064605","-20.6492322821746","-7.30716868619035","boral","antsin"
"26","bark","-0.248104342546564","-1.1153767375769","0.611416338535015","0.496153237566163","-1.76841195822892","-1.12241903647084","-3.42644596558548","-0.983260273781643","boral","antsin"
"27","intercept","-3.25121985406509","-4.94771431678458","-1.77198979190335","0.81098076166616","-0.249438917719504","-0.163786880368779","-0.472598863508785","-0.139434477405547","boral","astfer"
"28","diam","0.358721715911635","0.0909354477334054","0.683293458891619","0.154767946143423","0.412735893976354","0.269688537605651","0.765094155087011","0.231190055971791","boral","astfer"
"29","dc1","-0.711141750555264","-1.87130947407715","0.34623694735277","0.570209837538569","-0.801823036115297","-0.531721191193215","-1.45405964803055","-0.450965174887848","boral","astfer"
"30","dc2","0.342404810926031","-0.58851816431271","1.25743179758596","0.481273036066482","1.40556738897705","0.992929761155166","2.75962376916394","0.796443139797255","boral","astfer"
"31","dc3","0.6607823516645","-0.313551649777566","1.59060925979248","0.48202604859263","0.729477788531147","0.506693634734757","1.49105325761131","0.412298635473597","boral","astfer"
"32","dc4","0.675898602497708","-0.375784402216209","1.6871050908593","0.532886627901261","0.788412087156324","0.528245172324071","1.57313882938133","0.446266341256571","boral","astfer"
"33","dc5","-0.229712072778454","-1.91189222526803","1.20024571964347","0.829546868036046","-3.61124627888454","-2.86402670314314","-4.37315144571702","-2.04557672340023","boral","astfer"
"34","quality3","-0.172258624669425","-1.11952932634247","0.784178860381399","0.49998227465144","-2.90250938442668","-1.89365866258417","-5.67677215318041","-1.6396767363789","boral","astfer"
"35","quality4","0.168654507236621","-0.654860365873993","1.04398510449653","0.445926947243404","2.64402626736664","1.7543455370214","4.36581204367596","1.49058872269345","boral","astfer"
"36","ground3","0.607469049794414","-0.394746869745282","1.69458567698423","0.536399820863841","0.883007654538738","0.59186907403675","1.60737818804438","0.496249783612223","boral","astfer"
"37","ground4","0.4509315214162","-0.673760631945896","1.59203317314849","0.565282430596412","1.25358819188572","0.83319261580315","2.46745242118102","0.704013798342089","boral","astfer"
"38","epi","-0.0233507887353604","-0.311030901400797","0.274904360693046","0.122401661455997","-6.25640266261323","-3.80099344513157","-16.2189695059326","-3.506897084479","boral","astfer"
"39","bark","0.00164281355530298","-0.364868870503455","0.342289091947441","0.205539260344353","110.639063435203","71.7598303882132","-31.3181974170669","62.361281144245","boral","astfer"
"40","intercept","-3.52201823047577","-5.13463127969206","-2.03878152562144","0.796122053790481","-0.226041434681313","-0.149078412703121","-0.431572786634761","-0.126878479365034","boral","fompin"
"41","diam","1.12597735912047","0.797506165550224","1.60684249927976","0.220221980895468","0.18710263132693","0.121853551705269","0.336613547597418","0.103432931943687","boral","fompin"
