"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,-0.13563240467808,-0.063322952769307,-0.0923501096030359,-0.106800992355983,0.00730998035675348,0.241894349277517,-0.0680238802583279,0.133755384877277,-0.114176773846516,-0.220479883641148
"antsin",-0.13563240467808,1,-0.00609512819078606,0.498045071526067,0.103530259037059,-0.71540016347171,-0.143809011683095,-0.865773216346155,-0.475162770281551,-0.308654630739248,0.277812145800956
"astfer",-0.063322952769307,-0.00609512819078606,1,-0.00916414853970663,-0.0180102441616715,-0.216456809763309,-0.0916343074848178,-0.352334156533685,-0.191835141245485,-0.10992286562099,-0.0480460484337299
"fompin",-0.0923501096030359,0.498045071526067,-0.00916414853970663,1,0.088427799437369,-0.542184250763687,-0.0469354863862158,-0.746363799986291,-0.35326544212988,-0.24707560179631,0.23439436652534
"hetpar",-0.106800992355983,0.103530259037059,-0.0180102441616715,0.088427799437369,1,-0.289900877537184,-0.116819142015163,-0.489905003585455,-0.261023563467838,-0.151627246339642,0.0370299373470911
"junlut",0.00730998035675348,-0.71540016347171,-0.216456809763309,-0.542184250763687,-0.289900877537184,1,-0.0595543647722966,0.154066981284245,0.158551074576915,-0.153223724052394,-0.544291839997827
"phefer",0.241894349277517,-0.143809011683095,-0.0916343074848178,-0.0469354863862158,-0.116819142015163,-0.0595543647722966,1,-0.168188653334456,0.187192139473906,-0.184315453546312,-0.290858821712622
"phenig",-0.0680238802583279,-0.865773216346155,-0.352334156533685,-0.746363799986291,-0.489905003585455,0.154066981284245,-0.168188653334456,1,0.232168121334618,-0.291489046114121,-0.696805180328279
"phevit",0.133755384877277,-0.475162770281551,-0.191835141245485,-0.35326544212988,-0.261023563467838,0.158551074576915,0.187192139473906,0.232168121334618,1,-0.0767158187780243,-0.419309918676719
"poscae",-0.114176773846516,-0.308654630739248,-0.10992286562099,-0.24707560179631,-0.151627246339642,-0.153223724052394,-0.184315453546312,-0.291489046114121,-0.0767158187780243,1,-0.230471104780813
"triabi",-0.220479883641147,0.277812145800956,-0.0480460484337299,0.23439436652534,0.0370299373470911,-0.544291839997827,-0.290858821712622,-0.696805180328279,-0.419309918676719,-0.230471104780813,1
