"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.115772399498832,0.172073733943807,0.111977575800297,0.124421966433374,0.232507736422818,0.494332232158475,0.109447216816724,0.284482333753323,0.122814133264658,-0.00944198889968513
"antsin",0.115772399498832,1,0.287460548409524,0.689430328448968,0.370800859952188,-0.29448574498112,0.23164911698856,-0.657677253516646,-0.245443603748095,0.0702214264331825,0.530961872860301
"astfer",0.172073733943807,0.287460548409524,1,0.243869093624601,0.163512146623945,0.0134829668666427,0.274188325079242,-0.130160088934528,0.0433091686418057,0.0824632753209459,0.146597875187055
"fompin",0.111977575800297,0.689430328448968,0.243869093624601,1,0.314761001885717,-0.224997001906014,0.214067495318284,-0.542130195278666,-0.187292870006919,0.0684269728097198,0.447453676668263
"hetpar",0.124421966433374,0.370800859952188,0.163512146623945,0.314761001885717,1,-0.0489705065741928,0.214490749112471,-0.251108215009077,-0.0416302811187435,0.0626826718895953,0.224319058956869
"junlut",0.232507736422818,-0.29448574498112,0.0134829668666427,-0.224997001906014,-0.0489705065741928,1,0.32149349095056,0.407756554855868,0.373784219069379,0.0786018032424445,-0.266096455461454
"phefer",0.494332232158475,0.23164911698856,0.274188325079242,0.214067495318284,0.214490749112471,0.32149349095056,1,0.114424039799333,0.39779285989721,0.190457007454269,0.0235485399452045
"phenig",0.109447216816724,-0.657677253516646,-0.130160088934528,-0.542130195278666,-0.251108215009077,0.407756554855868,0.114424039799333,1,0.400999609854605,0.0153032625784541,-0.487232858662178
"phevit",0.284482333753323,-0.245443603748095,0.0433091686418057,-0.187292870006919,-0.0416302811187435,0.373784219069379,0.39779285989721,0.400999609854605,1,0.0973490335125272,-0.246417938199912
"poscae",0.122814133264658,0.0702214264331825,0.0824632753209459,0.0684269728097198,0.0626826718895953,0.0786018032424445,0.190457007454269,0.0153032625784541,0.0973490335125272,1,0.0165727810633682
"triabi",-0.00944198889968513,0.530961872860301,0.146597875187055,0.447453676668263,0.224319058956869,-0.266096455461454,0.0235485399452045,-0.487232858662178,-0.246417938199912,0.0165727810633682,1
