"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",0,0.13332388799519,0.132618410555092,0.105037518019338,0.121921964201409,0.115186621962037,0.122870341567463,0.0961975813057916,0.0812105622191925,0.112648939582311,0.109290366384901
"antsin",0.13332388799519,0,0.151806002933257,0.0856420183448457,0.137475875872688,0.206055268513097,0.188022270258961,0.138531572336383,0.125409184568282,0.198766721752816,0.115526848422115
"astfer",0.132618410555092,0.151806002933257,0,0.126174765880781,0.11074763772211,0.131564697370525,0.189056321848219,0.124861226681598,0.11792723468044,0.117350546074668,0.107561478793232
"fompin",0.105037518019338,0.0856420183448457,0.126174765880781,0,0.119762108950047,0.154694812651283,0.1328143959802,0.120549419721811,0.0911542996607018,0.165746808418565,0.101864810213322
"hetpar",0.121921964201409,0.137475875872688,0.11074763772211,0.119762108950047,0,0.138428810218313,0.174449461065018,0.120420617554631,0.110126135431234,0.112695132646976,0.103001741761383
"junlut",0.115186621962037,0.206055268513097,0.131564697370525,0.154694812651283,0.138428810218313,0,0.193679237680581,0.125841808820252,0.117826151973271,0.111925844053267,0.134400848383127
"phefer",0.122870341567463,0.188022270258961,0.189056321848219,0.1328143959802,0.174449461065018,0.193679237680581,0,0.138855915601167,0.108930985015989,0.173276218744992,0.15571680768365
"phenig",0.0961975813057916,0.138531572336383,0.124861226681598,0.120549419721811,0.120420617554631,0.125841808820252,0.138855915601167,0,0.0859059531199155,0.149046886144485,0.115992303296909
"phevit",0.0812105622191925,0.125409184568282,0.11792723468044,0.0911542996607018,0.110126135431234,0.117826151973271,0.108930985015989,0.0859059531199155,0,0.093887666828715,0.0965266660236987
"poscae",0.112648939582311,0.198766721752815,0.117350546074668,0.165746808418565,0.112695132646976,0.111925844053267,0.173276218744992,0.149046886144485,0.093887666828715,0,0.128961276191161
"triabi",0.109290366384901,0.115526848422115,0.107561478793232,0.101864810213322,0.103001741761383,0.134400848383127,0.15571680768365,0.115992303296909,0.0965266660236987,0.128961276191161,0
