"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.355797080472061,0.459926892383573,0.31437369604869,0.367484549779968,0.450498716692851,0.719528324748749,0.300146811774628,0.447033221164242,0.343238799076966,0.20992056353595
"antsin",0.355797080472061,1,0.57333133536265,0.843248204227379,0.646308861239585,0.110475980280227,0.588428936406151,-0.351091869708056,0.0150280640350143,0.435128937886314,0.736959556432912
"astfer",0.459926892383573,0.57333133536265,1,0.494145244229025,0.401712583012017,0.298217482297478,0.659314536602713,0.131289810744381,0.266249969968279,0.378429091558276,0.367433014729515
"fompin",0.31437369604869,0.843248204227379,0.494145244229025,1,0.546981052366619,0.0731397047255214,0.460268274468188,-0.284675981434514,0.000296185354230085,0.378453887640841,0.633809049541275
"hetpar",0.367484549779968,0.646308861239585,0.401712583012017,0.546981052366619,1,0.241896673385141,0.547536581668506,-0.0230521990188812,0.164508564250498,0.295499477273963,0.425097024321592
"junlut",0.450498716692851,0.110475980280227,0.298217482297478,0.0731397047255214,0.241896673385141,1,0.704692362209912,0.643280911293646,0.60276748160806,0.306211766314676,-0.0219744219881606
"phefer",0.719528324748749,0.588428936406151,0.659314536602713,0.460268274468188,0.547536581668506,0.704692362209913,1,0.375639887070616,0.607110885554755,0.514090467067515,0.320618237676802
"phenig",0.300146811774628,-0.351091869708056,0.131289810744381,-0.284675981434514,-0.0230521990188812,0.643280911293646,0.375639887070616,1,0.580540547962551,0.298845264547767,-0.268371555167482
"phevit",0.447033221164242,0.0150280640350143,0.266249969968279,0.000296185354230085,0.164508564250498,0.60276748160806,0.607110885554755,0.580540547962551,1,0.282945580572443,-0.0380571101696066
"poscae",0.343238799076966,0.435128937886314,0.378429091558276,0.378453887640841,0.295499477273963,0.306211766314676,0.514090467067515,0.298845264547767,0.282945580572443,1,0.283742766585223
"triabi",0.20992056353595,0.736959556432913,0.367433014729515,0.633809049541275,0.425097024321592,-0.0219744219881606,0.320618237676802,-0.268371555167482,-0.0380571101696066,0.283742766585223,1
