"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-13.2301511646282","-21.9917275226721","-5.68584459741073","4.30334385544531","-0.325267927924409","-0.238583525240402","-0.589137040435343","-0.18452219997476","boral","antser"
"2","diam","4.68272517089554","2.10817408310962","7.51071447667052","1.54184012768173","0.314984775414557","0.225355453796395","0.56165952646034","0.17980922861045","boral","antser"
"3","dc1","-2.38419439015678","-10.0522860625912","5.94118709172013","4.27992118103331","-1.79512257838668","-1.15656671486016","-3.89031576900289","-1.00231742632772","boral","antser"
"4","dc2","4.86460239189513","-1.82470910114127","12.2136674983692","3.73538278065296","0.767870111414747","0.549256614463791","1.35127854619731","0.432730449972056","boral","antser"
"5","dc3","6.15602797473494","-1.2967926551008","13.9407698090659","3.93134857989726","0.638617724940818","0.421992676834774","1.20512416928785","0.358726278609693","boral","antser"
"6","dc4","0.630755487259452","-8.73136155796858","8.92963720342345","4.53986938169948","7.19751072071463","3.67561598907281","89.0729606295074","4.0126022950424","boral","antser"
"7","dc5","-6.17890452037115","-24.4440002341701","7.6474405840771","8.2476082871942","-1.33480105737235","-0.958372521451256","-1.91059606769351","-0.746230012488065","boral","antser"
"8","quality3","-9.1816283688894","-15.9866265034047","-3.02949346724839","3.26067617683373","-0.355130489476361","-0.236059469445551","-0.681376277397945","-0.200090887846989","boral","antser"
"9","quality4","-4.07026504092168","-9.63217098041845","0.84487823604312","2.75943743937743","-0.677950308305372","-0.463590286668237","-1.19229545677397","-0.384524659888719","boral","antser"
"10","ground3","-2.70061222284316","-8.1429067608883","1.71657970107937","2.5480489676648","-0.943507900213179","-0.679361486507033","-1.53423353187704","-0.529943269103604","boral","antser"
"11","ground4","0.476315202905792","-4.73313883096218","5.39127726564424","2.5142217537292","5.27848311032489","2.78772876045219","15.3834141315532","2.95446912561474","boral","antser"
"12","epi","-4.13955231172439","-6.39733067215571","-1.87723050647782","1.01607454998082","-0.292961892395375","-0.209378500958409","-0.546264637857733","-0.16666955211806","boral","antser"
"13","bark","-5.10789416530063","-8.58285376794201","-2.2411108149344","1.91292773291252","-0.331175844472585","-0.24029997036742","-0.585898346622484","-0.188902848222811","boral","antser"
"14","intercept","-18.9329222802727","-29.3890833852912","-10.1649644179005","4.79433560508737","-0.253227448679851","-0.167368342303809","-0.486021533448201","-0.142530966063762","boral","antsin"
"15","diam","3.3521364703767","1.43042124649859","5.24869142923427","1.04701830282399","0.298800603912825","0.207236043037698","0.571673269805518","0.169967210017283","boral","antsin"
"16","dc1","-2.57908483797163","-11.0729195561443","5.03378640768821","4.10064257011728","-1.58996032613736","-1.13219795381935","-2.66705594460194","-0.898727733442937","boral","antsin"
"17","dc2","3.08681144708134","-4.61974559215278","10.6239262133937","3.93548551706943","1.27493550692593","0.843504707017771","2.53884297744461","0.719512306539193","boral","antsin"
"18","dc3","2.33986792955307","-5.85571030486979","10.1938466244329","4.0586404490695","1.73455962954487","1.20343081435704","3.69964329081276","0.981889417821351","boral","antsin"
"19","dc4","-0.23000871746825","-10.0064011751757","9.23202135396056","4.91516531585269","-21.3694740353968","-17.7779948880285","-24.8436516578488","-12.1060509648743","boral","antsin"
"20","dc5","-3.38710490939422","-18.1478403975345","11.0268418483534","7.5797835578121","-2.23783548504488","-1.55289224910166","-4.09699314560918","-1.26651281388433","boral","antsin"
"21","quality3","-3.98922438547351","-9.94454557855231","2.98861876105562","3.25884003918048","-0.81691068846549","-0.557010522701643","-1.8593013812446","-0.461453336300709","boral","antsin"
"22","quality4","-4.33214921429068","-10.5067986398","1.46843726413483","3.13654339499998","-0.724015549753758","-0.503879835340114","-1.32493439974384","-0.407558283265491","boral","antsin"
"23","ground3","3.05274093441448","-2.90659868107036","10.3830304333166","3.39968766429594","1.11365089188218","0.756740898947591","1.7775363374907","0.62649869534221","boral","antsin"
"24","ground4","2.72865159039329","-4.18039863094836","10.4038637005745","3.53197786177378","1.29440412041198","0.829092219639377","2.34343121851876","0.719577001940241","boral","antsin"
"25","epi","-0.405738069555176","-3.46106706704168","1.65717465968781","1.00215501887347","-2.94800408613462","-2.21996692128994","-2.83733204145886","-1.61653173221068","boral","antsin"
"26","bark","-0.62368744410686","-3.17126956226654","2.14705862349211","1.69717273226571","-2.40636234796121","-1.71910175297754","-5.19261021769846","-1.36307896238598","boral","antsin"
"27","intercept","-9.56845569998619","-18.4368323384911","-3.53353657694939","3.93856195051911","-0.411619395439621","-0.28668232544592","-0.67833616353469","-0.230401925794513","boral","astfer"
"28","diam","0.32969047668381","0.0578933367385056","0.624141410749768","0.150975701743625","0.438076082550791","0.299858993786333","0.830233468450958","0.245909474427295","boral","astfer"
"29","dc1","2.3523114663123","-1.50942978235686","8.59219439990378","2.69995192410919","1.14778674626022","0.869124934356562","1.42622615994251","0.634927385109796","boral","astfer"
"30","dc2","3.53760717489977","-0.226194572636065","9.59111312616752","2.65546907447295","0.750639893913091","0.548574001981567","1.04830678907523","0.415863779352386","boral","astfer"
"31","dc3","3.92276766899441","0.137113011852217","10.0570272927893","2.65066101629055","0.675711956443762","0.48653035255253","0.973099641999279","0.374337579678229","boral","astfer"
"32","dc4","3.98731294881592","0.0377828571064798","10.1410277785752","2.67005892708704","0.669638666781833","0.471394206423238","0.992576174474838","0.371161515047535","boral","astfer"
"33","dc5","-8.13223717962712","-27.7578850256621","4.32406162867789","8.35020338954055","-1.02680273645479","-0.79126075067928","-1.36904448372982","-0.573241183208032","boral","astfer"
"34","quality3","-0.140131104692528","-1.20678067513948","1.11181390656629","0.581110791488248","-4.14690794569347","-2.64030497323019","-24.4147991612341","-2.32393301725963","boral","astfer"
"35","quality4","0.16263410152091","-0.744449576171473","1.28525314517011","0.513356640412407","3.15651290603653","2.43739922384153","3.75312375452668","1.77121778850178","boral","astfer"
"36","ground3","3.97599265489884","-0.0831408507418684","12.6477914282713","3.30231314990897","0.830563191770531","0.58079748998381","1.01323408879998","0.446832492906213","boral","astfer"
