"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,-0.200166055403417,-0.129407548149022,-0.0260266157726649,-0.394876741137592,-0.036342197519308,0.282710764799414,-0.146750132177221,0.218025798581736,-0.181184532646674,-0.19894322940518
"antsin",-0.200166055403417,1,-0.098347441290621,0.654413368336832,-0.0311151337906156,-0.627712528920726,-0.288033479151969,-0.984003050615649,-0.476406128083694,-0.374136022780494,0.366773867380289
"astfer",-0.129407548149022,-0.098347441290621,1,-0.0629745561902241,-0.0752295446910326,-0.164329758634013,-0.101341427435998,-0.376686036496056,-0.149837076742957,-0.0743337193341754,-0.0714511724894651
"fompin",-0.0260266157726649,0.654413368336832,-0.0629745561902241,1,-0.0234039367241919,-0.508499844110151,-0.152813959750823,-0.935387017188488,-0.371166843111561,-0.280129068506341,0.321105130652097
"hetpar",-0.394876741137592,-0.0311151337906156,-0.0752295446910326,-0.0234039367241919,1,-0.254248763001457,-0.242202798124835,-0.507489043840292,-0.268909299609628,-0.133787171749913,-0.0126077076388748
"junlut",-0.036342197519308,-0.627712528920726,-0.164329758634013,-0.508499844110151,-0.254248763001457,1,-0.0397317304513687,0.14313045197121,0.0927399950313202,-0.14645291448325,-0.411212385774995
"phefer",0.282710764799414,-0.288033479151969,-0.101341427435998,-0.152813959750823,-0.242202798124835,-0.0397317304513687,1,-0.181713191204799,0.0777080655813869,-0.121471781502748,-0.220641041530843
"phenig",-0.146750132177221,-0.984003050615649,-0.376686036496056,-0.935387017188488,-0.507489043840292,0.14313045197121,-0.181713191204799,1,0.217871327502522,-0.34360814236755,-0.762976968451497
"phevit",0.218025798581736,-0.476406128083694,-0.149837076742957,-0.371166843111561,-0.268909299609628,0.0927399950313202,0.0777080655813869,0.217871327502522,1,-0.120545012111973,-0.336873320791503
"poscae",-0.181184532646674,-0.374136022780494,-0.0743337193341754,-0.280129068506341,-0.133787171749913,-0.14645291448325,-0.121471781502748,-0.34360814236755,-0.120545012111973,1,-0.221740403277345
"triabi",-0.19894322940518,0.366773867380289,-0.0714511724894651,0.321105130652097,-0.0126077076388748,-0.411212385774995,-0.220641041530843,-0.762976968451497,-0.336873320791503,-0.221740403277345,1
