"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.122688872535515,0.19295953350699,0.215007310632484,0.0268731402523037,0.246548299725225,0.588327293564448,0.0667789127391367,0.388469966275214,0.118224701719008,0.102734786292407
"antsin",0.122688872535515,1,0.149648103562615,0.837199464316824,0.272107052861555,-0.355604824452818,0.0299898854498454,-0.942124739994937,-0.301522787994904,0.00956504430010269,0.589694388919154
"astfer",0.19295953350699,0.149648103562615,1,0.153587939977437,0.0433718622721139,-0.00470207184767673,0.105090847686518,-0.116134009940479,0.0286376386764838,0.0267418339830274,0.0988231995745928
"fompin",0.215007310632484,0.837199464316824,0.153587939977437,1,0.236266012753652,-0.274750944322241,0.0891409223616002,-0.800161514038677,-0.214843607404434,0.0260310758071627,0.517103383817453
"hetpar",0.0268731402523037,0.272107052861555,0.0433718622721139,0.236266012753652,1,-0.0983361162940604,0.0062385449744084,-0.269253814654627,-0.091793637568739,0.0064890121616074,0.171489052241033
"junlut",0.246548299725225,-0.355604824452818,-0.00470207184767673,-0.274750944322241,-0.0983361162940604,1,0.165341197015858,0.408627635370063,0.241887474736007,0.0299695467164496,-0.209571846586703
"phefer",0.588327293564448,0.0299898854498454,0.105090847686518,0.0891409223616002,0.0062385449744084,0.165341197015858,1,0.0870846132617472,0.248961045636328,0.0690620574399584,0.0291934525649862
"phenig",0.0667789127391367,-0.942124739994937,-0.116134009940479,-0.800161514038677,-0.269253814654627,0.408627635370063,0.0870846132617472,1,0.380655203032607,0.00818062688260423,-0.575013088127455
"phevit",0.388469966275214,-0.301522787994904,0.0286376386764838,-0.214843607404434,-0.091793637568739,0.241887474736007,0.248961045636328,0.380655203032607,1,0.0481453995778509,-0.174466374335142
"poscae",0.118224701719008,0.00956504430010269,0.0267418339830274,0.0260310758071627,0.0064890121616074,0.0299695467164496,0.0690620574399584,0.00818062688260423,0.0481453995778509,1,0.0136622498308483
"triabi",0.102734786292407,0.589694388919154,0.0988231995745928,0.517103383817453,0.171489052241033,-0.209571846586703,0.0291934525649862,-0.575013088127455,-0.174466374335142,0.0136622498308483,1
