"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","4.17096991695106","-12.2594505869146","20.2617296349497","8.3592882196396","2.00415931691739","1.38339860003685","4.06398977424436","1.13154222731074","boral","Culex_pipiens_sl"
"2","depth__cm","-0.315658798271171","-0.73163148124892","-0.0273162009358106","0.0144421779068073","-0.568959281421426","-0.378142689289625","-0.928015589013521","-0.31761149566667","boral","Culex_pipiens_sl"
"3","temperature__C","-1.10703335292429","-1.97397517584462","-0.325379459437175","0.278440300866635","-0.384730365434206","-0.265783455995688","-0.716981926628905","-0.21711683087719","boral","Culex_pipiens_sl"
"4","oxidation_reduction_potential__Mv","-0.290295034086254","-0.42132318221455","-0.151160249887772","0.00149775553566666","-0.236677818439075","-0.16024579064918","-0.471913975457181","-0.134184818453379","boral","Culex_pipiens_sl"
"5","salinity__ppt","0.026399219733375","-0.810029810953406","0.834584254715831","0.117974734769454","16.6846383363355","10.8554458464163","66.9782659946031","9.51680982858582","boral","Culex_pipiens_sl"
"6","water_crowfoot__Ranunculus","0.0122250951898941","-1.8762299817987","1.95371594989801","0.972417102512405","79.5427019101051","-485.434221785621","49.4276063865916","44.8813157752695","boral","Culex_pipiens_sl"
"7","rushes__Juncus_or_Scirpus","-0.123092779192893","-2.05882930797582","1.7417105595515","1.00329533334097","-8.15072451787572","-5.71819042899254","-11.98459531772","-4.60418973756338","boral","Culex_pipiens_sl"
"8","filamentous_algae","0.481901577379633","-1.46644710480357","2.29932854227401","0.966177586408909","2.00492721286067","1.31177520153248","4.52138260940798","1.12816868105864","boral","Culex_pipiens_sl"
"9","emergent_grass","0.0262824061939495","-1.91638482043945","1.8504604026524","0.978227396566931","37.2198568634911","17.5041186085633","-57.1388470241672","21.0058255005275","boral","Culex_pipiens_sl"
"10","ivy_leafed_duckweed__Lemna_trisulca","0.0163521330703846","-2.15358059193655","1.90011802325341","1.02410461395764","62.6281971623875","-62.5497082380511","-15.993283096005","35.2525249031985","boral","Culex_pipiens_sl"
"11","bulrushes__Typha","0.147579816144373","-1.82285425815239","2.0085476296455","1.00633933448295","6.81894964212771","4.16376978940062","20.6329491300136","3.86236921151729","boral","Culex_pipiens_sl"
