"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.233628036545709,0.652863848011775,-0.122728177607855,-0.404737964551495,-0.276242143253827,0.107916188470179,-0.333020645154421,-0.390849289422189,-0.308637001673737,0.102777075973363,-0.97699945222321,-0.290429944465367,-0.468343402707342,-0.591922099147452,-0.412007093776127
"Culex_modestus",0.233628036545709,1,0.112471589849992,0.468285940403596,0.16531109491239,-0.0026688901166682,0.532884913670568,0.0371294861352428,-0.492990625960696,0.096261065578947,0.36901296977118,-0.343692308393896,0.186022863929943,0.216775275311486,-0.584961581684861,0.174445058812256
"Culiseta_annulata",0.652863848011776,0.112471589849992,1,-0.104607063971928,-0.331891990706375,-0.243276274844264,0.0830181086909669,-0.360740871567361,-0.421187435016745,-0.360031010432963,0.0310254915460679,-0.966408639988203,-0.247135883662786,-0.504329349376081,-0.560857893992646,-0.371406284916364
"Anopheles_maculipennis_sl",-0.122728177607855,0.468285940403596,-0.104607063971928,1,0.118411025604847,-7.42433288404756e-05,0.290781879461345,0.0380009817213763,-0.405812705746822,0.0546083075874462,0.194089958596278,-0.237706514004492,0.142662712758378,0.140047141913412,-0.402409002180647,0.120735050611167
"waterboatmen__Corixidae",-0.404737964551495,0.16531109491239,-0.331891990706375,0.118411025604847,1,-0.0281759928761884,0.0892446146994036,0.0192362837155634,-0.323384673158557,0.0229334562841591,-0.00512413934359145,0.0213288299941824,0.080734635711317,0.0776495277666623,-0.26345447138727,0.102935765914438
"diving_beetles__Dysticidae",-0.276242143253827,-0.0026688901166682,-0.243276274844264,-7.42433288404756e-05,-0.0281759928761884,1,-0.00592955882960365,-0.0174940886045065,-0.187151898164036,-0.0122251364179427,-0.0194750810234888,-0.245515423780499,-0.0032105353997897,-0.0200273234998519,-0.240683352953317,-0.0256238715434173
"damselflies__Zygoptera",0.107916188470179,0.532884913670568,0.0830181086909669,0.290781879461345,0.0892446146994036,-0.00592955882960365,1,0.0265808345175562,-0.369999887258125,0.0518451807316989,0.282745271210558,-0.40489001525642,0.110964683612278,0.10417866030468,-0.462240069064368,0.113058457964458
"swimming_beetles__Haliplidae",-0.333020645154421,0.0371294861352428,-0.360740871567361,0.0380009817213763,0.0192362837155634,-0.0174940886045065,0.0265808345175562,1,-0.236413600072794,0.0145533873036895,-0.0183028046640818,-0.168211762631653,0.0280391551289312,-0.00854698992075934,-0.284509994593814,0.0156858556963662
"opossum_shrimps__Mysidae",-0.390849289422189,-0.492990625960696,-0.421187435016745,-0.405812705746822,-0.323384673158557,-0.187151898164036,-0.369999887258125,-0.236413600072794,1,-0.223823010767742,-0.358013294826961,-0.469313653220734,-0.307552429035017,-0.414001330232088,-0.139229950409053,-0.442849823900747
"ditch_shrimp__Gammarus",-0.308637001673737,0.096261065578947,-0.360031010432963,0.0546083075874462,0.0229334562841591,-0.0122251364179427,0.0518451807316989,0.0145533873036895,-0.223823010767742,1,0.0269061651284259,-0.199615926029664,0.0306510872500861,0.0239481731227134,-0.297133090544302,0.0226482739717485
"beetle_larvae__Coleoptera",0.102777075973363,0.36901296977118,0.0310254915460679,0.194089958596278,-0.00512413934359145,-0.0194750810234888,0.282745271210558,-0.0183028046640818,-0.358013294826961,0.0269061651284259,1,-0.464768014532956,0.0684495944136583,0.0166784226687955,-0.447081519169575,0.0257259202771184
"dragonflies__Anisoptera",-0.97699945222321,-0.343692308393896,-0.966408639988203,-0.237706514004492,0.0213288299941824,-0.245515423780499,-0.40489001525642,-0.168211762631653,-0.469313653220734,-0.199615926029664,-0.464768014532956,1,-0.116954577061625,-0.287224844808849,-0.305450091741302,-0.0533686345094126
"mayflies__Ephemeroptera",-0.290429944465367,0.186022863929943,-0.247135883662786,0.142662712758378,0.080734635711317,-0.0032105353997897,0.110964683612278,0.0280391551289312,-0.307552429035017,0.0306510872500861,0.0684495944136583,-0.116954577061625,1,0.0819625339353196,-0.336958089803314,0.0870925803206346
"newts__Pleurodelinae",-0.468343402707342,0.216775275311486,-0.504329349376081,0.140047141913412,0.0776495277666623,-0.0200273234998519,0.10417866030468,-0.00854698992075934,-0.414001330232088,0.0239481731227134,0.0166784226687955,-0.287224844808849,0.0819625339353197,1,-0.437441428474185,0.0712505442782436
"fish",-0.591922099147452,-0.584961581684861,-0.560857893992646,-0.402409002180647,-0.26345447138727,-0.240683352953317,-0.462240069064368,-0.284509994593814,-0.139229950409053,-0.297133090544302,-0.447081519169575,-0.305450091741302,-0.336958089803314,-0.437441428474185,1,-0.400156082379102
"saucer_bugs__Ilyocoris",-0.412007093776127,0.174445058812256,-0.371406284916364,0.120735050611167,0.102935765914438,-0.0256238715434173,0.113058457964458,0.0156858556963662,-0.442849823900747,0.0226482739717485,0.0257259202771184,-0.0533686345094126,0.0870925803206346,0.0712505442782436,-0.400156082379102,1
