"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.458747442095019,0.916065950083671,0.193934502372971,-0.108503199750239,0.0547887923172095,0.398793152291112,-0.0094896368793355,-0.0538443165779691,0.0238071850874927,0.419262748780767,-0.83792816255628,0.0179973663588459,0.0513415443193702,-0.224055508392995,-0.0590040484678985
"Culex_modestus",0.458747442095019,1,0.631170489678691,0.676940871791759,0.40423579189345,0.306143319924127,0.739749984244254,0.356927944957903,-0.153803114986658,0.414720571663202,0.695010893245296,0.0400295619237135,0.48396275628948,0.659887169335107,-0.209260922152379,0.582236068977635
"Culiseta_annulata",0.916065950083671,0.631170489678691,1,0.333928638067921,0.0253327154750554,0.130495156380104,0.517934005301749,0.0860441449594347,-0.0884630927829011,0.12846011547929,0.519439113931959,-0.664397311369094,0.140421168815311,0.209959934649341,-0.239439822520899,0.099228099770192
"Anopheles_maculipennis_sl",0.193934502372971,0.676940871791759,0.333928638067921,1,0.32277711230858,0.217959814014495,0.494109448469947,0.264231387653916,-0.117993233599072,0.301737818361245,0.460195570045072,0.155718362189329,0.36171261976733,0.484314682692876,-0.127144536750569,0.449498081579518
"waterboatmen__Corixidae",-0.108503199750239,0.40423579189345,0.0253327154750554,0.32277711230858,1,0.161094392441316,0.282525937529775,0.212323406153818,-0.0678608677443696,0.233020861992114,0.24301376680503,0.34353269787378,0.277100351174877,0.365433859437599,-0.0322137233968261,0.365518765502275
"diving_beetles__Dysticidae",0.0547887923172095,0.306143319924127,0.130495156380104,0.217959814014495,0.161094392441316,1,0.227708001791304,0.142185885822622,-0.0315351665588613,0.163899172610534,0.206663029189374,0.107900844220789,0.179245743592485,0.238601126992986,-0.0493001715292027,0.210404632270986
"damselflies__Zygoptera",0.398793152291112,0.739749984244254,0.517934005301749,0.494109448469947,0.282525937529775,0.227708001791304,1,0.262440703500546,-0.105024791605086,0.309282548652946,0.527120344093317,-0.0323990227471816,0.34782365666775,0.476993976718641,-0.170860347010496,0.406632594268298
"swimming_beetles__Haliplidae",-0.0094896368793355,0.356927944957903,0.0860441449594347,0.264231387653916,0.212323406153818,0.142185885822622,0.262440703500546,1,-0.0459714982990873,0.209074853193166,0.233739520070403,0.211931640538906,0.222732749824759,0.303544964772558,-0.0493137320924508,0.281582993299232
"opossum_shrimps__Mysidae",-0.0538443165779691,-0.153803114986658,-0.0884630927829011,-0.117993233599072,-0.0678608677443696,-0.0315351665588613,-0.105024791605086,-0.0459714982990873,1,-0.0398434166505004,-0.102506248510547,-0.0196253226375576,-0.0766873549233452,-0.0974495914279222,0.0242676675658707,-0.107090188726777
"ditch_shrimp__Gammarus",0.0238071850874927,0.414720571663202,0.12846011547929,0.301737818361245,0.233020861992114,0.163899172610534,0.309282548652946,0.209074853193166,-0.0398434166505004,1,0.275473621427332,0.20597590615639,0.251741990762062,0.343045925312535,-0.0619566572694637,0.306700236484675
"beetle_larvae__Coleoptera",0.419262748780767,0.695010893245296,0.519439113931959,0.460195570045072,0.24301376680503,0.206663029189374,0.527120344093317,0.233739520070403,-0.102506248510547,0.275473621427332,1,-0.080828713262116,0.311074292323816,0.441313411600117,-0.167320962494605,0.36068811158199
"dragonflies__Anisoptera",-0.83792816255628,0.0400295619237135,-0.664397311369094,0.155718362189329,0.34353269787378,0.107900844220789,-0.0323990227471816,0.211931640538906,-0.0196253226375576,0.20597590615639,-0.080828713262116,1,0.244885800525539,0.312290124984792,0.128897716650787,0.386086946242139
"mayflies__Ephemeroptera",0.0179973663588459,0.48396275628948,0.140421168815311,0.36171261976733,0.277100351174877,0.179245743592485,0.34782365666775,0.222732749824759,-0.0766873549233452,0.251741990762062,0.311074292323816,0.244885800525539,1,0.387791062024843,-0.0666791388712092,0.374456214645496
"newts__Pleurodelinae",0.0513415443193702,0.659887169335107,0.209959934649341,0.484314682692876,0.365433859437599,0.238601126992986,0.476993976718641,0.303544964772558,-0.0974495914279222,0.343045925312535,0.441313411600117,0.312290124984792,0.387791062024843,1,-0.093162584276595,0.489714768637699
"fish",-0.224055508392995,-0.209260922152379,-0.239439822520899,-0.127144536750569,-0.0322137233968261,-0.0493001715292027,-0.170860347010496,-0.0493137320924508,0.0242676675658707,-0.0619566572694637,-0.167320962494605,0.128897716650787,-0.0666791388712092,-0.093162584276595,1,-0.065376818345682
"saucer_bugs__Ilyocoris",-0.0590040484678985,0.582236068977635,0.099228099770192,0.449498081579518,0.365518765502275,0.210404632270986,0.406632594268298,0.281582993299232,-0.107090188726777,0.306700236484675,0.36068811158199,0.386086946242139,0.374456214645496,0.489714768637699,-0.065376818345682,1
