"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.647203527385867,0.993539955356072,0.487028257009497,0.189534599983332,0.388390819946827,0.63641801757543,0.330882277500841,0.339418004385631,0.370249564005429,0.673654320624613,-0.584974691550135,0.315291550416458,0.556148223574687,0.173038760793326,0.34917166943719
"Culex_modestus",0.647203527385867,1,0.969893481107425,0.836432320873771,0.609371509797485,0.571038062852781,0.87443594256868,0.610145572751904,0.2227891114963,0.680973120876805,0.893219413491465,0.458570248632664,0.706621905054468,0.912334715378729,0.205564824062419,0.828477464392478
"Culiseta_annulata",0.993539955356072,0.969893481107425,1,0.691235197349695,0.375791387510051,0.463043591385268,0.778414123997877,0.425826319805846,0.283577130539535,0.50836702922323,0.822399964370353,-0.168952237595164,0.499248206042769,0.796729744024881,0.122414844441129,0.582572043753916
"Anopheles_maculipennis_sl",0.487028257009497,0.836432320873771,0.691235197349695,1,0.526397447379746,0.428017857448523,0.668453572484313,0.488091657486839,0.146978824779548,0.535573888479261,0.681958545666772,0.525277133899108,0.576199097207027,0.736055487058394,0.177423917386293,0.721691646488512
"waterboatmen__Corixidae",0.189534599983332,0.609371509797485,0.375791387510051,0.526397447379746,1,0.348898625816132,0.475591054741927,0.414450489179108,0.158242313327329,0.43578736526151,0.461623467721037,0.629505427920786,0.475909143887054,0.606393575444281,0.243951514279763,0.619779260408885
"diving_beetles__Dysticidae",0.388390819946827,0.571038062852781,0.463043591385268,0.428017857448523,0.348898625816132,1,0.441646482746444,0.344772460163165,0.129554174858561,0.384581319450136,0.447975037573171,0.443507732568932,0.384197637437542,0.495674510372183,0.119489018872074,0.463110160848691
"damselflies__Zygoptera",0.63641801757543,0.87443594256868,0.778414123997877,0.668453572484313,0.475591054741927,0.441646482746444,1,0.490435264930511,0.174357387871616,0.54217164842211,0.73717856900528,0.37771856536558,0.550735259705826,0.74157893118707,0.128004147358259,0.658841933430533
"swimming_beetles__Haliplidae",0.330882277500841,0.610145572751904,0.425826319805846,0.488091657486839,0.414450489179108,0.344772460163165,0.490435264930511,1,0.144768745373585,0.44965855714305,0.470281934948175,0.562839846988349,0.433239375295042,0.592898962586143,0.191293330031448,0.551343499576733
"opossum_shrimps__Mysidae",0.339418004385631,0.2227891114963,0.283577130539535,0.146978824779548,0.158242313327329,0.129554174858561,0.174357387871616,0.144768745373585,1,0.181027103967499,0.162470822756565,0.361105152719406,0.153281602006415,0.228299704624499,0.198616243873436,0.178119830730245
"ditch_shrimp__Gammarus",0.370249564005429,0.680973120876805,0.50836702922323,0.535573888479261,0.43578736526151,0.384581319450136,0.54217164842211,0.44965855714305,0.181027103967499,1,0.550974009802287,0.581824248743007,0.476315973341674,0.654490117747764,0.183940488647886,0.568294059610381
"beetle_larvae__Coleoptera",0.673654320624613,0.893219413491465,0.822399964370353,0.681958545666772,0.461623467721037,0.447975037573171,0.73717856900528,0.470281934948175,0.162470822756565,0.550974009802287,1,0.37522630566887,0.545705231230271,0.773412483571699,0.124268487400599,0.652820886011114
"dragonflies__Anisoptera",-0.584974691550135,0.458570248632664,-0.168952237595164,0.525277133899108,0.629505427920786,0.443507732568932,0.37771856536558,0.562839846988349,0.361105152719406,0.581824248743007,0.37522630566887,1,0.556020524568965,0.799136242563431,0.585554486207858,0.743545542278763
"mayflies__Ephemeroptera",0.315291550416458,0.706621905054468,0.499248206042769,0.576199097207027,0.475909143887054,0.384197637437542,0.550735259705826,0.433239375295042,0.153281602006415,0.476315973341674,0.545705231230271,0.556020524568965,1,0.657270729832251,0.206566340062175,0.633552369272977
"newts__Pleurodelinae",0.556148223574687,0.912334715378729,0.796729744024881,0.736055487058394,0.606393575444281,0.495674510372183,0.74157893118707,0.592898962586143,0.228299704624499,0.654490117747764,0.773412483571699,0.799136242563431,0.657270729832251,1,0.283680388462045,0.809115659897679
"fish",0.173038760793326,0.205564824062419,0.122414844441129,0.177423917386293,0.243951514279763,0.119489018872074,0.128004147358259,0.191293330031448,0.198616243873436,0.183940488647886,0.124268487400599,0.585554486207858,0.206566340062175,0.283680388462045,1,0.302252310871096
"saucer_bugs__Ilyocoris",0.34917166943719,0.828477464392478,0.582572043753916,0.721691646488512,0.619779260408885,0.463110160848691,0.658841933430532,0.551343499576733,0.178119830730245,0.568294059610381,0.652820886011114,0.743545542278763,0.633552369272977,0.809115659897679,0.302252310871096,1
