"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.138260055803369,0.245516491388112,0.138767082814713,0.0440035145562214,0.166718932854485,0.130902199890074,0.132625409864496,0.0561673313733897,0.305210549318719,0.296191205616167,-0.209407054912048,0.0710869715309772,0.298895154298887,-0.0610884494119807,-0.0440622340882332
"Culex_modestus",0.138260055803369,1,0.175180768787299,0.559240942327465,0.165220114430664,0.149944761242364,0.31818777399261,0.238560796867604,-0.315471888986768,0.428470458762532,0.51154973135357,-0.0127752953850256,0.134520616369332,0.3737497761642,-0.201167417726906,0.319183755903972
"Culiseta_annulata",0.245516491388112,0.175180768787299,1,-0.0305653743778931,0.0124776060774711,0.522302295321185,0.185572481890486,0.272589658443652,0.561921827116483,0.768964233050848,0.649005265088998,-0.831880483459106,0.150242994009828,0.797808419980291,-0.0272587014738202,-0.518485092405934
"Anopheles_maculipennis_sl",0.138767082814713,0.559240942327465,-0.0305653743778931,1,0.283091268896214,0.0517463809364424,0.474475154222178,0.301843570530314,-0.775481627362896,0.433428338918258,0.631909585187929,0.310834251397978,0.170899829453143,0.333203307590852,-0.337256841014966,0.759535599562119
"waterboatmen__Corixidae",0.0440035145562214,0.165220114430664,0.0124776060774711,0.283091268896214,1,0.0272950414492232,0.142883249540986,0.0934406075357407,-0.211937490321185,0.140890730407323,0.194467403561387,0.0735595893045411,0.055623308315748,0.112872080151698,-0.0952923237972387,0.210284846309525
"diving_beetles__Dysticidae",0.166718932854485,0.149944761242364,0.522302295321185,0.0517463809364424,0.0272950414492232,1,0.156917946652856,0.208347650860947,0.317191623084381,0.545741263376518,0.476876848611855,-0.531695126084598,0.11036443566586,0.547479314271583,-0.0471361601497324,-0.289237871116353
"damselflies__Zygoptera",0.130902199890074,0.31818777399261,0.185572481890486,0.474475154222178,0.142883249540986,0.156917946652856,1,0.221049576584501,-0.237422429311346,0.410179163529657,0.474088312920244,-0.057948012193799,0.119936429959725,0.365408164204354,-0.176833672698,0.23945834323305
"swimming_beetles__Haliplidae",0.132625409864496,0.238560796867604,0.272589658443652,0.301843570530314,0.0934406075357407,0.208347650860947,0.221049576584501,1,-0.0396999887700416,0.424912948555153,0.440617362919791,-0.209409215550628,0.107698940187671,0.394173431283936,-0.122175254399879,0.0518106453908861
"opossum_shrimps__Mysidae",0.0561673313733897,-0.315471888986768,0.561921827116483,-0.775481627362896,-0.211937490321185,0.317191623084381,-0.237422429311346,-0.0396999887700416,1,0.200257057595862,-0.0381804532094134,-0.817065627626385,-0.0305373230107644,0.288725851424769,0.235472743332347,-0.943971377933108
"ditch_shrimp__Gammarus",0.305210549318719,0.428470458762532,0.768964233050848,0.433428338918258,0.140890730407323,0.545741263376518,0.410179163529657,0.424912948555153,0.200257057595862,1,0.952403662324021,-0.696079079764922,0.225265206037015,0.953768378209332,-0.194709501461886,-0.1653212768571
"beetle_larvae__Coleoptera",0.296191205616167,0.51154973135357,0.649005265088998,0.631909585187929,0.194467403561387,0.476876848611855,0.474088312920244,0.440617362919791,-0.0381804532094134,0.952403662324021,1,-0.50451177629475,0.235146458552492,0.897708156557934,-0.256121167928181,0.0603920444604143
"dragonflies__Anisoptera",-0.209407054912048,-0.0127752953850256,-0.831880483459106,0.310834251397978,0.0735595893045411,-0.531695126084598,-0.057948012193799,-0.209409215550628,-0.817065627626385,-0.696079079764922,-0.50451177629475,1,-0.103152502497257,-0.737102169359634,-0.0594529658969572,0.768260765573027
"mayflies__Ephemeroptera",0.0710869715309772,0.134520616369332,0.150242994009828,0.170899829453143,0.055623308315748,0.11036443566586,0.119936429959725,0.107698940187671,-0.0305373230107644,0.225265206037015,0.235146458552492,-0.103152502497257,1,0.209906750600774,-0.0651300108624932,0.0377933769211538
"newts__Pleurodelinae",0.298895154298887,0.3737497761642,0.797808419980291,0.333203307590852,0.112872080151698,0.547479314271583,0.365408164204354,0.394173431283936,0.288725851424769,0.953768378209332,0.897708156557934,-0.737102169359634,0.209906750600774,1,-0.159961709647751,-0.254743976203054
"fish",-0.0610884494119807,-0.201167417726906,-0.0272587014738202,-0.337256841014966,-0.0952923237972387,-0.0471361601497324,-0.176833672698,-0.122175254399879,0.235472743332347,-0.194709501461886,-0.256121167928181,-0.0594529658969572,-0.0651300108624932,-0.159961709647751,1,-0.230240955931816
"saucer_bugs__Ilyocoris",-0.0440622340882332,0.319183755903972,-0.518485092405934,0.759535599562119,0.210284846309525,-0.289237871116353,0.23945834323305,0.0518106453908861,-0.943971377933108,-0.1653212768571,0.0603920444604143,0.768260765573027,0.0377933769211538,-0.254743976203054,-0.230240955931816,1
