"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-1.07649130352713","-1.54648681716409","-0.583382795500394","0.249343390605059","-0.231626014802056","-0.162062577087418","-0.452189193149174","-0.130866804205417","Clark","antser"
"2","diam","0.179337114052354","0.0999496710152655","0.260226568842925","0.0422103231628826","0.225163187893489","0.146636369296499","0.44499575510801","0.126219374512626","Clark","antser"
"3","dc1","0.0839683208568788","-0.329611719687971","0.555341386608364","0.218465828033566","2.60176487756536","1.65772796989739","3.92041116424642","1.45448593328484","Clark","antser"
"4","dc2","0.343758200044436","-0.109627973969457","0.810148577808595","0.232777675259183","0.677155265617207","0.432051170304794","1.3129900059146","0.37932001562144","Clark","antser"
"5","dc3","0.484103649566492","-0.00157102783416028","0.954755066014552","0.239156047319804","0.494018269711382","0.320662211031154","1.00329637881297","0.277146173991141","Clark","antser"
"6","dc4","0.219664210754209","-0.299230508599829","0.735714486904255","0.264212626056061","1.20280233702567","0.763860903213652","2.3710950388705","0.67380561023595","Clark","antser"
"7","dc5","0.119690043987536","-0.663461546358306","0.945019335988235","0.422564821013289","3.53049265365206","2.35625999558874","5.71279126910565","2.0012344060715","Clark","antser"
"8","quality3","-0.343732572234176","-0.649482461395809","-0.0563802596542591","0.15346193040677","-0.446457341558601","-0.296574524852795","-0.840251488078629","-0.251730579752583","Clark","antser"
"9","quality4","-0.153502983877213","-0.420561667833702","0.0796401589982902","0.128376443647832","-0.836312366087427","-0.565479353016547","-1.46720524774363","-0.471490287186659","Clark","antser"
"10","ground3","-0.0568489817562074","-0.291568150315344","0.187883545448656","0.124243869589244","-2.18550738731002","-1.41290744949524","-4.62413582402565","-1.23239947268269","Clark","antser"
"11","ground4","0.117626745684414","-0.167472646930292","0.427223492171867","0.147180540549359","1.25125063770986","0.84498276932493","2.28948682938481","0.70787383643506","Clark","antser"
"12","epi","-0.207739307411976","-0.295828658014551","-0.119650449364238","0.0370259668980062","-0.212728982611793","-0.140464802935965","-0.424036264450939","-0.119875407726737","Clark","antser"
"13","bark","-0.150685549040215","-0.239578539823337","-0.0564122477553814","0.0538583187682947","-0.316069920144347","-0.219073932726335","-0.618824300466591","-0.177701442632486","Clark","antser"
"14","intercept","-1.63571290295469","-1.93499144924487","-1.28823347752008","0.159737093515138","-0.0976559475850529","-0.0647143094811392","-0.200655550394344","-0.0546878350525623","Clark","antsin"
"15","diam","0.0591209598094863","0.009830065575661","0.111944717560518","0.0274804173302119","0.444662736287201","0.302250807719231","0.838553347047751","0.251764614818485","Clark","antsin"
"16","dc1","0.0602674276991122","-0.228341315210748","0.326234677817081","0.137736667136042","2.28542468783798","1.48572903687123","5.66510311080015","1.28403786787836","Clark","antsin"
"17","dc2","0.129578607595053","-0.170027951116035","0.410796876802451","0.144549845999416","1.11553788609266","0.690306366852999","2.41237454651839","0.623780431173208","Clark","antsin"
"18","dc3","0.157007733707506","-0.145104712762361","0.455567934012362","0.148263080700903","0.9443043167358","0.624891094423447","1.93476265676903","0.530286133522424","Clark","antsin"
"19","dc4","0.105180692868982","-0.235290495985615","0.427176578893037","0.168641439419263","1.60334976714149","1.0527629923185","3.45239771869369","0.900771178280447","Clark","antsin"
"20","dc5","0.0660276473805828","-0.462345385076527","0.624150762122102","0.282792705930906","4.28294384473358","3.12537211326354","6.71483338216008","2.4210044385099","Clark","antsin"
"21","quality3","-0.0257048957821915","-0.229868292336569","0.150075131813874","0.0962782411507588","-3.74552155225858","-2.61742427262091","-4.76160389764705","-2.08219791138256","Clark","antsin"
"22","quality4","-0.0553038915633045","-0.214942376060736","0.100013684196804","0.0821346729495737","-1.48515177915747","-0.943302032203227","-2.7404476214732","-0.825572468092072","Clark","antsin"
"23","ground3","0.0470545573662427","-0.10384214990493","0.197670763132913","0.0768195644496904","1.63256374620158","0.981509614129121","3.21344313493401","0.917648632545677","Clark","antsin"
"24","ground4","0.055175924817416","-0.127979245772742","0.245747894112686","0.0937069910203139","1.69833113500865","1.11228574162631","3.17340094459308","0.948537628019333","Clark","antsin"
"25","epi","-0.0242548045512937","-0.0803520831707438","0.0309293299839598","0.0240594753211071","-1.18393349297243","-0.774177677098251","-2.25162310837149","-0.667662780227996","Clark","antsin"
"26","bark","0.00398075556428137","-0.0584921775963847","0.0629921647254109","0.0346862310410171","7.70537147527437","4.40880350097967","26.9965977320663","4.32740484815661","Clark","antsin"
"27","intercept","-1.44376460015622","-1.84888472141962","-1.02498542941327","0.213737108489304","-0.148041521773132","-0.0958564800316765","-0.286686331937288","-0.0831648035600187","Clark","astfer"
"28","diam","0.0420898297203512","-0.0193131149642912","0.105008869450838","0.0336824354357288","0.76555289932043","0.514750487562892","1.4507367974063","0.432066161720686","Clark","astfer"
"29","dc1","0.02025662121301","-0.333237896045866","0.369090349862475","0.182553699691184","9.01205081397965","5.67772011445334","19.5894052189809","5.09688134457089","Clark","astfer"
"30","dc2","0.104369743247838","-0.272564042559003","0.48775632608462","0.194976219568999","1.86812972324753","1.2469391243069","3.53321390612554","1.05661980363097","Clark","astfer"
"31","dc3","0.177809920897889","-0.210624700531087","0.572588834516416","0.199814994853237","1.12375616525911","0.744399545591258","2.16378768366936","0.636233887050968","Clark","astfer"
"32","dc4","0.203727438966242","-0.229879099168658","0.646557266050043","0.223154445664602","1.09535783101646","0.713480113629623","2.10338922189843","0.618664215715049","Clark","astfer"
"33","dc5","0.0645787567850333","-0.609478945720989","0.769557823686378","0.359025681686906","5.55950129052522","4.05876005092088","8.61473285504624","3.11806889388846","Clark","astfer"
"34","quality3","-0.0300530766702824","-0.271360582446071","0.192934839025125","0.125108986341511","-4.16293438818608","-3.02812225829367","-5.92019152409071","-2.35856924494505","Clark","astfer"
"35","quality4","0.00193431631755414","-0.223893100866245","0.20894887551482","0.110127270562202","56.9334340835493","13.5193342807602","-28.9638282481985","32.1038456731341","Clark","astfer"
"36","ground3","0.0470800329084256","-0.165438156956234","0.239086210529979","0.10160737237362","2.15818397092574","1.31527712060543","5.49266881956573","1.21207308788396","Clark","astfer"
"37","ground4","0.0321001555987418","-0.202783853329392","0.258649041458216","0.123284066031755","3.8406064934024","2.3634939843623","8.25975728791171","2.16390192086175","Clark","astfer"
"38","epi","-0.0154862548895702","-0.0884985485193022","0.0550472954505219","0.0314108952919518","-2.42087767770105","-1.73960522003399","-4.29119482234865","-1.36667545812303","Clark","astfer"
"39","bark","0.00667054992962305","-0.0679439856391819","0.0838461102965964","0.044565438688017","5.90797332577035","4.17074348369937","9.5452714153517","3.33744427346221","Clark","astfer"
"40","intercept","-1.38766226170311","-1.82392184729936","-0.914344481181245","0.244650698629366","-0.176304209879643","-0.12183241784055","-0.332172716969724","-0.0993536623001307","Clark","fompin"
"41","diam","0.270854751087968","0.192795745131295","0.35115602119029","0.0418581459842583","0.147840158229961","0.0966715382201849","0.291129261570173","0.083211915577732","Clark","fompin"
"42","dc1","0.629826384559033","0.174462223156097","1.05744235019569","0.220776653010956","0.350535732423358","0.220091844704279","0.716760166444683","0.196599645469038","Clark","fompin"
"43","dc2","0.63047965603428","0.165307256446985","1.08757547903144","0.234607564584129","0.372109650705959","0.246025166586208","0.736116953700601","0.208726856940049","Clark","fompin"
"44","dc3","0.576074491858911","0.099072945998135","1.04469188277649","0.243847452834","0.42329152961996","0.273368812396868","0.826759936123797","0.237545866918042","Clark","fompin"
"45","dc4","0.318646978775573","-0.212477064653933","0.832819786121071","0.267876412224764","0.840668294593911","0.574274184520985","1.68503121678099","0.473299931395971","Clark","fompin"
"46","dc5","0.290078735122013","-0.482490024763788","1.08778115603722","0.407258565157439","1.40395870447428","0.95715708019785","2.59424118357297","0.795423577036293","Clark","fompin"
"47","quality3","-0.191468443299497","-0.48219702733757","0.107464788511968","0.150748005713967","-0.787325593273693","-0.53627073046233","-1.57355507414446","-0.444240963751883","Clark","fompin"
"48","quality4","-0.155723373887666","-0.400543483624611","0.102424990348132","0.130838480668272","-0.840198085886936","-0.563492601187561","-1.68714281507616","-0.4747068355422","Clark","fompin"
"49","ground3","0.169967004826756","-0.0899188589380577","0.397093106321514","0.126161186635838","0.742268693646933","0.490887187091234","1.58545831692595","0.417318292731478","Clark","fompin"
"50","ground4","0.182850245081073","-0.0991828107688887","0.478093288453155","0.15035864800927","0.822304875460265","0.548949822542206","1.52351579916739","0.461556870018746","Clark","fompin"
"51","epi","0.0028421011790511","-0.0873574811138278","0.0800102668045536","0.0353561478873265","14.8478763069467","7.34213822698031","-22.7797558194426","8.37953253594989","Clark","fompin"
"52","bark","0.164032932622941","0.0661587787529104","0.256318822469176","0.0543299361350746","0.292893763355357","0.194907259025991","0.589684502103774","0.164612544034083","Clark","fompin"
"53","intercept","-1.60803304015879","-2.02309281282506","-1.18231355144173","0.218540562780205","-0.135905517686766","-0.09060951815903","-0.262300365643546","-0.0768113231554463","Clark","hetpar"
"54","diam","0.0852724024648482","0.017684257742778","0.153869089426676","0.0363878780919487","0.408222671465825","0.273806894176575","0.793833719544858","0.230508149127045","Clark","hetpar"
"55","dc1","0.198312183348559","-0.183486836211706","0.567845482210512","0.195305907231184","0.984840688723138","0.672409554674193","1.95476887600585","0.558545986763356","Clark","hetpar"
"56","dc2","0.294073261165414","-0.110279553869576","0.687256172532054","0.206446774554139","0.702024977503868","0.470004334340314","1.38226697686718","0.395936220214959","Clark","hetpar"
"57","dc3","0.236648421556039","-0.20247728902656","0.62804396340962","0.2112671806889","0.892747051933626","0.626691305618492","1.95156552998464","0.504083203705833","Clark","hetpar"
"58","dc4","0.344564357962845","-0.118318166100143","0.809017231683511","0.237896377798376","0.690426540936742","0.466758267897315","1.3426041006736","0.38784588219862","Clark","hetpar"
"59","dc5","0.153566474777044","-0.57440546785133","0.908195283675941","0.39244567568298","2.55554264856802","1.71043387088042","4.44171955296053","1.44215004820856","Clark","hetpar"
"60","quality3","0.200927665182235","-0.0494813872748629","0.460994434134557","0.131293224495299","0.653435276701295","0.441721764635181","1.24048514452925","0.366933017964243","Clark","hetpar"
