bio2,bio3,bio5,bio8,bio9,bio15,bio16,bio18
138,31,271,156,-10,46,135,134
134,33,257,141,-67,65,166,152
137,34,251,136,-3,46,176,167
137,29,268,174,-28,52,145,145
139,30,264,170,-18,51,143,143
138,32,247,155,-17,53,172,172
133,34,215,103,-23,34,205,195
129,29,245,158,-100,56,182,182
134,32,236,150,-25,61,198,198
112,31,169,80,-70,21,211,211
126,27,245,160,-46,61,195,195
129,27,243,156,-48,60,192,192
134,33,223,142,-37,62,238,238
124,32,191,99,-54,42,244,244
121,26,231,155,-125,65,218,218
119,26,229,154,-50,66,225,225
121,28,228,151,-45,66,232,232
118,27,230,153,-37,64,249,249
143,32,225,142,-40,66,257,257
130,33,208,122,-34,51,237,237
121,26,229,152,-128,65,226,226
121,26,227,149,-57,63,230,230
134,30,228,144,-42,68,258,258
135,33,220,134,-39,67,300,300
122,28,216,136,-41,46,235,235
123,26,217,140,-63,62,245,245
125,26,220,143,-62,62,249,249
115,27,218,142,-39,43,212,212
119,26,224,144,-58,49,191,191
113,21,225,145,-120,44,144,144
112,21,223,145,-123,43,143,143
123,32,185,75,-49,28,215,197
127,35,200,39,67,19,212,184
141,29,268,171,-25,57,145,145
139,31,265,172,-11,48,139,139
139,33,243,131,-10,51,184,183
137,34,232,122,-14,51,195,194
135,28,257,165,-43,59,160,160
139,28,253,161,-46,65,168,168
125,28,239,155,-40,58,185,185
133,31,231,147,-31,61,209,209
132,32,223,140,-32,60,218,218
126,32,184,74,-54,39,228,220
136,31,222,141,-41,66,240,240
145,34,222,139,-42,66,254,254
107,31,166,84,-66,28,220,220
118,26,231,155,-44,65,218,218
118,27,230,155,-43,66,220,220
119,27,226,152,-40,66,232,232
118,25,231,155,-126,64,225,225
128,28,231,147,-54,67,240,240
116,27,228,151,-40,63,249,249
132,32,225,140,-32,58,275,275
119,32,172,61,-56,26,216,199
136,35,246,128,-60,42,183,167
129,34,213,56,27,19,208,182
137,31,263,151,-8,48,140,140
138,33,246,134,-12,53,177,176
135,34,225,115,-17,45,200,196
135,28,259,167,-132,58,157,157
132,27,247,158,-45,62,174,174
135,29,255,164,-31,55,161,161
135,32,236,150,-28,62,199,199
144,33,223,140,-41,66,250,250
112,32,161,80,-71,43,245,245
120,26,229,153,-121,65,225,225
126,29,231,153,-36,65,248,248
142,32,228,143,-36,68,265,265
136,30,224,140,-43,66,272,272
125,27,207,129,-62,62,275,275
137,31,269,154,-8,47,138,135
136,35,236,121,-10,43,186,175
137,29,269,175,-25,51,143,143
139,32,256,164,-14,53,164,164
138,33,249,137,-7,50,173,170
139,28,255,162,-43,61,164,164
139,28,255,163,-42,65,161,161
136,29,254,163,-32,57,160,160
130,32,219,135,-28,55,210,210
139,33,222,140,-40,65,250,250
121,28,225,151,-40,67,234,234
124,27,224,145,-46,64,254,254
136,34,218,101,-20,33,198,186
139,30,262,169,-89,54,153,153
139,28,257,163,-38,62,157,157
127,29,234,153,-36,62,212,212
143,32,225,142,-40,66,257,257
126,27,230,150,-55,64,233,233
141,31,276,155,-15,56,134,124
134,38,322,152,208,18,412,304
135,39,320,70,210,18,436,321
128,37,307,55,198,17,437,323
136,41,313,76,208,20,461,345
137,41,319,75,210,19,439,325
135,40,324,78,215,20,427,314
132,39,325,83,217,19,431,334
140,40,322,70,211,19,446,326
133,39,329,121,220,21,442,312
139,42,333,101,227,20,457,346
136,41,334,100,228,21,442,331
129,40,330,101,229,22,424,319
130,40,331,95,226,20,435,316
129,41,329,104,185,20,414,339
127,40,327,99,227,21,430,331
129,41,323,95,225,21,437,336
130,41,326,100,184,21,413,342
138,42,326,90,219,21,426,330
134,42,329,106,188,21,383,334
141,44,332,106,185,19,438,386
142,44,330,106,185,19,450,415
127,43,323,262,146,19,489,489
138,43,332,105,185,21,446,365
137,44,325,110,187,19,457,443
130,40,326,90,222,19,448,345
