Longitude,Latitude
-111.4102,49.87324
-112.39699,49.08995
-113.56982,49.81509
-110.25869,50.74668
-111.84916,50.56388
-113.02852,50.60147
-114.42456,50.48053
-112.64694,51.77818
-113.77234,51.21261
-116.22023,51.46021
-110.65127,52.46309
-111.07638,52.20111
-114.47782,52.02799
-116.39168,52.25872
-110.86644,53.49666
-111.52556,53.71555
-112.78208,53.33769
-113.88548,53.68701
-114.22008,53.16381
-117.71063,53.3741
-110.8863,54.0577
-111.2782,54.26763
-114.71491,54.12038
-116.21592,54.13311
-118.22621,54.75011
-113.44,55.486
-114.91416,55.49903
-119.21774,55.1415
-117.82119,56.27611
-111.83849,59.98857
-111.61484,59.86175
-115.07526,50.98545
-114.04528,49.0201
-111.11275,50.92139
-112.02041,50.30279
-113.82728,50.42635
-114.09345,50.54263
-110.38028,51.44533
-111.20079,51.57551
-112.13115,51.95441
-113.89621,51.56148
-114.21268,51.54794
-115.40694,51.66166
-113.98702,52.61069
-114.40959,52.5814
-117.51832,52.48771
-111.76012,53.10329
-112.14825,53.10505
-113.1229,53.11978
-110.30494,54.18052
-112.8288,54.43414
-113.91555,54.05083
-117.03659,54.36335
-115.13917,50.6917
-113.65683,49.26174
-114.48967,49.63589
-112.31428,50.16448
-113.39021,50.48464
-114.2469,50.51364
-110.19278,51.35788
-111.51697,51.76553
-112.33055,51.18333
-113.7321,51.4154
-114.19363,52.65721
-117.34166,52.98463
-111.24257,53.77624
-113.85339,53.3377
-114.78773,53.48311
-115.11754,54.03515
-115.25994,54.999
-111.51741,49.75642
-113.78431,49.74948
-110.32547,50.55749
-112.99408,50.60144
-113.39054,50.01932
-110.91913,51.44452
-111.47615,51.41613
-112.04431,51.32885
-114.25969,51.32922
-114.40958,52.40635
-113.19621,53.1343
-114.48941,54.34059
-114.079114,49.875772
-112.17449,50.92147
-111.19086,51.27059
-113.21913,52.20114
-114.17258,53.01772
-112.01798,54.91816
-110.56255,49.10149
-87.6041417,34.868688
-87.0592352,34.0297881
-86.2030371,34.8680404
-85.9258408,33.1913463
-85.7511714,33.6076572
-86.1153789,33.8116977
-86.6010915,33.4549551
-87.5888357,33.8481773
-88.1712189,33.4765537
-88.3172665,32.1307226
-87.8359539,32.2782397
-87.2158334,32.442715
-87.5153953,32.7846996
-86.2754989,32.1312407
-86.7017714,32.6594297
-86.1307777,32.5890245
-85.5530853,32.3116131
-85.2044589,32.8854647
-85.0626449,32.1473077
-86.250378,31.5859083
-86.6131969,31.4439507
-86.8858316,30.9977072
-87.2090516,31.7399574
-87.1203132,31.3180673
-87.1007539,33.1156047
-87.7621469,34.1311637
-86.4773569,34.3142387
-87.8205274,33.1379607
-88.1229309,32.6807827
-86.7118894,32.3276808
-85.7164607,32.5816871
-88.38516,31.2926075
-87.7767179,31.7097587
-85.6508719,31.6676037
-87.3907904,34.4236313
-85.565583,34.5810567
-88.0092154,33.2811827
-87.4241383,33.2638251
-86.4457647,33.718519
-87.5381089,32.4128107
-85.8711729,32.4341515
-87.0654001,31.2283931
-86.270046,31.4086552
-85.4115544,31.0322875
-87.7299991,30.3038647
-86.9887629,34.9292307
-86.0671689,34.9895137
-87.2543912,34.6030578
-86.4734413,34.2126918
-85.9323092,34.3086241
-85.7466579,33.6296357
-87.8350582,31.0706664
-88.1123348,30.248466
-87.5183917,30.2816323
-87.6024375,30.370222
-86.3312989,33.2905307
-85.450491,33.9413322
-86.1117753,32.822371
-86.6604516,34.8223669
-85.8594579,34.7575557
-88.1671198,33.6853138
-86.3813006,33.8564625
-86.1573541,33.3180161
-85.464604,33.1844368
-87.3792753,32.1930088
-86.5697685,32.4860839
-85.2532189,32.5033347
-87.6361759,31.7459607
-85.2558091,31.7296264
-87.6374375,30.803493
-141.2785932,64.552796
-144.0890949,65.7907167
-146.727508,65.2698047
-146.0769649,64.2556227
-148.417832,65.5631957
-143.8893879,62.7247807
-143.9862892,63.6152141
-141.8052529,63.0127307
-146.0607299,63.0531897
-147.944427,63.2771884
-148.86,63.3793062
-134.7660128,58.4423687
-133.0848056,55.5557449
-146.9948586,64.5464143
-145.870208,60.4971524
-145.9169019,61.0587623
-144.9583298,61.7342231
-147.1759823,61.937256
-149.4276,61.58697
-150.7868883,60.5957398
-151.7956533,59.7967661
-135.1551062,57.0173668
-152.45,57.5333333
-146.0599662,65.0544087
-158.5270562,59.0346173
-156.4585984,58.6704647
-146.515638,62.2317426
-132.7658694,56.7395445
-132.3798899,56.4599307
-152.6177,57.8128265
-150.2366378,62.3172987
-150.5656383,60.5259627
-151.560698,59.6464107
-149.71492,67.6695397
-149.842437,61.4001417
-165.3122783,64.4875219
-150.6324337,66.4417734
-150.29011,67.0166107
-145.7282965,64.0157146
-149.3473217,68.4265923
-148.8351789,68.8572136
-135.0455629,57.9218687
-150.6131749,65.0076556
-148.65472,65.4883997
-142.3235417,63.6093407
-165.9993285,64.7776327
-155.523896,64.4609377
-165.3015102,64.61589
-135.3507079,59.5294227
-163.1690916,62.0526113
-166.0880717,64.8314753
-132.7665559,56.3501108
-135.0598309,57.8376397
-155.6186013,62.9117822
-145.3482303,60.4652137
-112.0460509,36.7313947
-114.4831159,34.9859877
-113.9188229,34.7270747
-112.4327389,34.6437087
-114.2169649,33.6562037
-114.3988546,32.8332815
-113.5413359,32.9285617
-110.3031159,32.0343407
-110.7949529,31.5175977
-112.0319722,36.3131479
-111.4526999,36.9132282
-114.582156,35.1226722
-111.9475859,35.1634107
-112.6192267,34.7733727
-110.7666667,34.7
-114.668276,33.2314477
-112.9375459,33.2869987
-112.677217,33.3339864
-111.6398389,33.8177037
-114.4452209,32.8548017
-111.3291239,32.57312
-110.5053099,32.5434377
-111.0671459,31.7120327
-110.9446259,31.9576267
-113.4587859,36.6901017
-111.0768659,36.6095467
-113.3760172,35.5541565
-112.5859679,35.2307957
-111.4382855,34.8379964
-111.3789069,33.0385437
-110.9464649,33.5656117
-112.86988,32.4655
-111.3334729,32.9583127
-114.6620259,35.8663187
-91.3322519,33.1683737
-92.6974039,33.5907857
-93.4706879,33.3755757
-93.6694105,33.6627163
-94.1229479,33.6969877
-90.5065699,34.9269397
-91.4995419,34.0487397
-93.2513959,34.0344927
-94.0440279,34.9704407
-91.3426352,35.9114603
-92.7182699,35.6330837
-92.1956399,35.5702167
-93.6640897,35.4263985
-93.0696409,35.7806777
-94.3318236,35.3514159
-90.9236529,36.4436877
-91.7354059,36.0989147
-92.1148009,36.4061087
-93.2802279,36.1206137
-94.1100149,36.4053037
-94.303299,36.329802
-93.472462,36.394077
-91.22905,36.313763
-90.000225,35.901224
-91.658032,35.373736
-92.442323,35.939336
-93.68179,35.075027
-93.689266,34.65949
-92.001796,34.559183
-91.573969,34.13829
-94.006856,33.782848
-92.967494,33.454572
-91.220963,33.796907
-94.344402,35.615095
-92.5894309,33.9394687
-91.7077371,34.7008083
-92.8007333,34.7023815
-92.633333,34.35
-90.2867129,35.5182227
-91.3577331,35.3146835
-132.91063,60.23361
-135.29369,61.10043
-136.98192,61.19712
-140.56152,61.98868
-135.89342,63.59103
-136.61448,63.39463
-138.751,63.99044
-136.71056,66.44292
-133.29451,60.48948
-139.22398,61.43374
-138.363,64.73316
-137.05841,60.3721
-78.4653682,39.060195
-79.4594489,38.2891547
-79.1647743,38.1909534
-78.5051729,38.5758867
-78.1721466,38.4538015
-77.2184791,38.1740529
-77.5897828,38.6248921
-82.4750989,37.2138017
-81.9476239,37.0178877
-79.873929,37.4881381
-79.2990119,37.5332587
-78.5422838,37.9095168
-78.7872126,37.7014449
-78.9826802,37.3326887
-77.8218239,37.9811797
-77.6223439,37.2171627
-76.341428,37.6595013
-76.6789481,37.8800004
-76.9863819,37.0842847
-75.7320849,37.5482647
-81.9508764,36.8831551
-80.1918559,36.7674727
-79.7629019,36.6058887
-79.2532438,36.6309512
-78.5908119,36.8559727
-78.0088473,36.6079187
-77.1454409,36.6057147
-77.2865338,36.5960851
-76.0167249,36.7293227
-78.2602839,37.2315367
-79.076783,37.0463681
-78.7968679,37.3591367
-77.1604648,37.1015582
-82.7480769,36.7021737
-124.2718359,48.2533397
-123.3860549,48.1127527
-121.2122809,48.7004247
-120.2118449,48.3550687
-119.8061899,48.0936267
-124.2942279,47.3475467
-123.0994489,47.1305417
-119.2576519,47.0871717
-117.9280779,47.7305767
-123.1780619,46.2603987
-121.3902819,46.6387037
-119.9901579,46.0599687
-118.8255839,46.4294877
-117.0559849,46.3417127
-120.25,45.9666667
-122.1426999,48.9733887
-121.9026259,48.8336397
-120.1732639,48.5091787
-117.2723999,48.3856347
-121.0136489,47.2274587
-120.6802069,47.5534987
-119.8794779,47.3151767
-117.7335889,47.0760577
-121.5554509,46.4024557
-120.5699539,46.9554377
-118.3682399,46.2373387
-121.4705739,48.1711937
-120.1583639,48.2516757
-123.4988999,47.9693587
-121.7570189,47.4551907
-120.6971899,47.2433867
-118.1635439,47.1349527
-117.3798749,47.1741037
-121.9182969,46.7412427
-119.3451239,46.9700517
-122.4719929,48.5374977
-119.0483859,48.2241597
-118.1161269,48.6756907
-117.8829919,48.8504757
-122.3002169,47.9220717
-120.6677929,47.7443867
-119.6308899,47.6640047
-117.9899749,47.8873847
-123.4697269,46.5431147
-122.4157869,46.8066477
-121.9848029,47.7443857
-117.1882249,48.8474137
-118.6507939,46.8232937
-122.86911,46.726114
-80.7326693,37.9457139
-80.3143619,37.6627657
-81.1552555,37.3039582
-81.1148229,37.6168997
-81.7666849,37.5320007
-81.4097591,38.793062
-81.0222682,38.7133034
-81.7998809,38.5848407
-81.9661949,38.2174027
-81.7243649,38.2356237
-80.3742359,38.3420287
-80.7951792,38.8296121
-80.2288669,38.0801867
-80.8973158,38.566293
-79.8181159,38.3707667
-79.4290148,38.5618406
-81.5532319,39.0495129
-81.0341349,39.0904426
-80.7304852,39.9139422
-80.2029429,39.4199317
-80.5250999,39.0491547
-80.7730165,39.652653
-80.8687829,39.3782737
-80.5872959,39.5044097
-79.8489868,39.5730496
-79.935752,39.0940821
-78.5094379,39.1823897
-80.0991062,39.1928067
-92.1964109,46.3964397
-91.4282439,46.5232187
-91.8218079,46.0670957
-91.0900569,46.3087137
-90.9468609,46.7999037
-90.7900389,46.1105637
-90.1542219,46.3414537
-89.6003879,46.1709797
-92.7478269,45.0280407
-92.6673889,45.3718767
-92.4981849,45.9602047
-92.2379749,45.5969217
-91.8894659,45.5385417
-91.4793629,45.3129597
-91.2353139,45.8737727
-91.1942679,45.7114417
-90.7920749,45.1410957
-90.1872869,45.6572627
-90.0875099,45.3240447
-89.2840419,45.2325217
-89.6369409,45.3150927
-89.5094999,45.7693237
-89.1549899,45.9284757
-88.8778549,45.8427157
