Anhinga,Double-crested Cormorant,American White Pelican,Common Merganser,Hooded Merganser,American Black Duck,Mottled Duck,Gadwall,American Wigeon,Green-winged Teal,Blue-winged Teal,Cinnamon Teal,Northern Shoveler,Northern Pintail,Wood Duck,Redhead,Canvasback,Greater Scaup,Lesser Scaup,Ring-necked Duck,Common Goldeneye,Barrow's Goldeneye,Bufflehead,Ruddy Duck,Canada Goose,Black-bellied Whistling-Duck,Mute Swan,White Ibis,White-faced Ibis,Wood Stork,American Bittern,Great Egret,Snowy Egret,Tricolored Heron,Little Blue Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,Sandhill Crane,Virginia Rail,Sora,Common Gallinule,American Coot,Wilson's Phalarope,American Avocet,Black-necked Stilt,American Woodcock,Eurasian Collared-Dove,Wilson's Snipe,Marbled Godwit,Greater Yellowlegs,Lesser Yellowlegs,Willet,Upland Sandpiper,Spotted Sandpiper,Long-billed Curlew,Killdeer,Gray Partridge,Chukar,Northern Bobwhite,Mountain Quail,Scaled Quail,California Quail,Gambel's Quail,Sooty Grouse,Ruffed Grouse,Willow Ptarmigan,Greater Prairie-Chicken,Sharp-tailed Grouse,Ring-necked Pheasant,Wild Turkey,Band-tailed Pigeon,Rock Pigeon,Mourning Dove,White-winged Dove,Common Ground-Dove,Inca Dove,Turkey Vulture,Black Vulture,Swallow-tailed Kite,Mississippi Kite,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Northern Goshawk,Harris's Hawk,Red-shouldered Hawk,Swainson's Hawk,Broad-winged Hawk,Ferruginous Hawk,Golden Eagle,Bald Eagle,Prairie Falcon,Merlin,American Kestrel,Crested Caracara,Osprey,Short-eared Owl,Barred Owl,Eastern Screech-Owl,Great Horned Owl,Burrowing Owl,Greater Roadrunner,Yellow-billed Cuckoo,Black-billed Cuckoo,Belted Kingfisher,Hairy Woodpecker,Downy Woodpecker,Ladder-backed Woodpecker,Nuttall's Woodpecker,White-headed Woodpecker,Black-backed Woodpecker,American Three-toed Woodpecker,Yellow-bellied Sapsucker,Red-naped Sapsucker,Red-breasted Sapsucker,Williamson's Sapsucker,Pileated Woodpecker,Red-headed Woodpecker,Acorn Woodpecker,Red-bellied Woodpecker,Golden-fronted Woodpecker,Gila Woodpecker,Chuck-will's-widow,Eastern Whip-poor-will,Common Poorwill,Common Nighthawk,Lesser Nighthawk,Chimney Swift,Vaux's Swift,White-throated Swift,Ruby-throated Hummingbird,Black-chinned Hummingbird,Anna's Hummingbird,Broad-tailed Hummingbird,Rufous Hummingbird,Calliope Hummingbird,Scissor-tailed Flycatcher,Eastern Kingbird,Couch's Kingbird,Western Kingbird,Cassin's Kingbird,Great Kiskadee,Great Crested Flycatcher,Brown-crested Flycatcher,Ash-throated Flycatcher,Eastern Phoebe,Say's Phoebe,Black Phoebe,Olive-sided Flycatcher,Eastern Wood-Pewee,Western Wood-Pewee,Yellow-bellied Flycatcher,Cordilleran Flycatcher,Pacific-slope Flycatcher,Acadian Flycatcher,Willow Flycatcher,Alder Flycatcher,Least Flycatcher,Hammond's Flycatcher,Dusky Flycatcher,Gray Flycatcher,Vermilion Flycatcher,Horned Lark,Black-billed Magpie,Blue Jay,Steller's Jay,Western Scrub-Jay,Green Jay,Gray Jay,Common Raven,Chihuahuan Raven,American Crow,Northwestern Crow,Fish Crow,Clark's Nutcracker,Pinyon Jay,European Starling,Bobolink,Brown-headed Cowbird,Bronzed Cowbird,Yellow-headed Blackbird,Red-winged Blackbird,Eastern Meadowlark,Western Meadowlark,Scott's Oriole,Hooded Oriole,Orchard Oriole,Baltimore Oriole,Bullock's Oriole,Rusty Blackbird,Brewer's Blackbird,Common Grackle,Great-tailed Grackle,Boat-tailed Grackle,Evening Grosbeak,Pine Grosbeak,Purple Finch,Cassin's Finch,House Finch,Red Crossbill,White-winged Crossbill,Common Redpoll,American Goldfinch,Lesser Goldfinch,Pine Siskin,Chestnut-collared Longspur,Vesper Sparrow,Savannah Sparrow,Baird's Sparrow,Grasshopper Sparrow,Henslow's Sparrow,Le Conte's Sparrow,Nelson's Sparrow,Lark Sparrow,White-crowned Sparrow,White-throated Sparrow,American Tree Sparrow,Chipping Sparrow,Clay-colored Sparrow,Brewer's Sparrow,Field Sparrow,Black-chinned Sparrow,Black-throated Sparrow,Sagebrush Sparrow,Bachman's Sparrow,Cassin's Sparrow,Rufous-crowned Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,Fox Sparrow,Olive Sparrow,Eastern Towhee,Spotted Towhee,Green-tailed Towhee,Canyon Towhee,California Towhee,Northern Cardinal,Pyrrhuloxia,Rose-breasted Grosbeak,Black-headed Grosbeak,Blue Grosbeak,Indigo Bunting,Lazuli Bunting,Painted Bunting,Dickcissel,Lark Bunting,Western Tanager,Scarlet Tanager,Hepatic Tanager,Summer Tanager,Purple Martin,Cliff Swallow,Cave Swallow,Barn Swallow,Tree Swallow,Violet-green Swallow,Bank Swallow,Northern Rough-winged Swallow,Cedar Waxwing,Phainopepla,Loggerhead Shrike,Red-eyed Vireo,Philadelphia Vireo,Warbling Vireo,Yellow-throated Vireo,Blue-headed Vireo,Cassin's Vireo,Plumbeous Vireo,White-eyed Vireo,Hutton's Vireo,Bell's Vireo,Gray Vireo,Black-and-white Warbler,Prothonotary Warbler,Swainson's Warbler,Worm-eating Warbler,Blue-winged Warbler,Golden-winged Warbler,Lucy's Warbler,Virginia's Warbler,Nashville Warbler,Orange-crowned Warbler,Tennessee Warbler,Northern Parula,Cape May Warbler,Yellow Warbler,Black-throated Blue Warbler,Magnolia Warbler,Cerulean Warbler,Chestnut-sided Warbler,Bay-breasted Warbler,Blackpoll Warbler,Blackburnian Warbler,Yellow-throated Warbler,Grace's Warbler,Black-throated Gray Warbler,Black-throated Green Warbler,Townsend's Warbler,Hermit Warbler,Pine Warbler,Palm Warbler,Prairie Warbler,Ovenbird,Northern Waterthrush,Louisiana Waterthrush,Kentucky Warbler,Connecticut Warbler,Mourning Warbler,MacGillivray's Warbler,Common Yellowthroat,Yellow-breasted Chat,Hooded Warbler,Wilson's Warbler,Canada Warbler,American Redstart,House Sparrow,Eurasian Tree Sparrow,Sprague's Pipit,American Dipper,Sage Thrasher,Northern Mockingbird,Gray Catbird,Brown Thrasher,Long-billed Thrasher,Curve-billed Thrasher,Cactus Wren,Rock Wren,Canyon Wren,Carolina Wren,Bewick's Wren,House Wren,Pacific Wren,Winter Wren,Sedge Wren,Marsh Wren,Brown Creeper,White-breasted Nuthatch,Red-breasted Nuthatch,Brown-headed Nuthatch,Pygmy Nuthatch,Tufted Titmouse,Black-crested Titmouse,Oak Titmouse,Juniper Titmouse,Black-capped Chickadee,Carolina Chickadee,Mountain Chickadee,Boreal Chickadee,Chestnut-backed Chickadee,Wrentit,Bushtit,Verdin,Golden-crowned Kinglet,Ruby-crowned Kinglet,Blue-gray Gnatcatcher,Black-tailed Gnatcatcher,Townsend's Solitaire,Wood Thrush,Veery,Gray-cheeked Thrush,Swainson's Thrush,Hermit Thrush,American Robin,Varied Thrush,Eastern Bluebird,Western Bluebird,Mountain Bluebird
0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0
