intercept,climate,blwood,conwood,chalk_limestone
1,0.481488656,0.04588125,0.024775,0.05
1,0.176569878,0.02299375,0.0006375,0
1,0.079581281,0.0297125,0.024475,0
1,-1.213007422,0.008875,0.5691,0
1,-0.730875066,0.025,0.01041875,0
1,-0.361368167,0.1121062,0.053275,0
1,-0.801497588,0.0181,0.047725,0
1,0.577838758,0.03048125,0.00058125,0
1,-0.01680638,0.0093,0.00325625,0
1,-0.022778183,0.03943125,0.0457625,0
1,-1.470295748,0.00975,0.07390625,0
1,0.803653051,0.1251625,0.0138125,0.01
1,0.792078769,0.05129375,0.00770625,0
1,-0.204167016,0.07435,0.1992375,0
1,1.429421676,0.05390625,0.0002625,0
1,1.342648994,0.08855625,0.01066875,0
1,-0.942072838,0.11795,0.13305,0
1,0.77524421,0.0097625,0.00106875,0
1,-0.081813904,0.0688375,0.01120625,0
1,1.573583763,0.04194375,0.0032,0.16
1,-0.414895306,0.00015625,0.0091125,0
1,-1.274866291,0.0125375,0.41155,0
1,-0.263772374,0.06375,0.03464375,0
1,-1.119036026,0.01485625,0.034775,0.2
1,1.358223257,0.0419,0.00189375,0
1,1.319431574,0.2204938,0.0443875,0.14
1,-0.749128503,0.015275,0.054875,0
1,0.730964811,0.03990625,0.00231875,0
1,0.07504922,0.0773875,0.1049125,0.24
1,0.291060741,0.106325,0.0455625,0
1,-0.87084938,0.067225,0.316475,0
1,1.605846525,0.00800625,0.00510625,0.4
1,-1.510790083,0,0,0
1,0.700667611,0.0598875,0.00239375,0
1,0.455579543,0.00433125,0.01010625,0
1,-0.742518205,0.02749375,0.00786875,0.04
1,-1.129921735,0,0,0
1,0.721506326,0.06315625,0.0213125,0.01
1,-2.22889005,0.00035625,0.0314,0
1,-1.548354855,0.00223125,0.009425,0
1,0.501156797,0.1449625,0.030875,0.77
1,-0.453474158,0,0,0
1,0.690307722,0.1288062,0.01836875,0
1,0.920140775,0.1054187,0.01825,0
1,0.861299107,0.0959125,0.0348125,0.61
1,0.446258772,0.07560625,0.00294375,0
1,-0.558775705,0.0061,0.1275187,0
1,0.891627605,0.1844625,0.09356875,0.08
1,0.928303492,0.07669375,0.0085,0.33
1,-1.00182843,0.02055,0.07684375,0
1,0.724880332,0.06105,0.00609375,0.12
1,-0.255772411,0.05970625,0.08534375,0
1,0.672573844,0.0646,0.01023125,0.01
1,0.906663529,0.02405625,0.00048125,0.75
1,-0.341186727,0.0427125,0.0174625,0
1,-1.106378807,0,0.00015625,0
1,-1.122535227,0.06363125,0.0783,0
1,-0.947975784,0,0.000125,0
1,0.79080178,0.0795,0.0083625,0.24
1,-0.361969103,0.00910625,0.01064375,0.4
1,1.256859093,0.1205437,0.02275,0.09
1,1.272783902,0.2335312,0.0922625,0.04
1,-0.376216299,0.05194375,0.00700625,0
1,-1.268512643,0.02310625,0.015825,0
1,0.771139899,0.1625937,0.014725,0.04
1,-1.130203423,0.0062375,0.02485625,0
1,-2.075196446,0,0,0
1,0.875145678,0.107,0.02508125,0
1,-0.797597762,0,0.01998125,0
1,-1.288412395,0.0031625,0.2283063,0
1,0.953761903,0.09470625,0.012975,0.26
1,-0.301449821,0.02226875,0.02563125,0
1,1.106330838,0.2682562,0.0448375,0
1,-1.090241167,0.01728125,0.5789125,0
1,-0.495389457,0,0.00183125,0
1,-0.114927992,0.05204375,0.0993625,0
1,0.566790296,0.05963125,0.0115125,0.2
1,0.612730616,0.03355625,0.01401875,0
1,0.767296411,0.061975,0.00341875,0.71
1,-0.224523729,0.05341875,0.2728812,0
1,-1.844541279,0,0,0
1,-0.543677184,0,0.0003625,0
1,0.6913531,0.0892875,0.01775,0
1,0.817912766,0.0990125,0.01790625,0.27
1,0.996603645,0.066025,0.0055875,0
1,1.223709533,0.07505625,0.00801875,0.05
1,0.865726838,0.00193125,0.0010875,0
1,0.909211248,0.0601,0.00165,0
1,-0.951224595,0.05646875,0.06815625,0
1,-0.588396852,0.00996875,0.027525,0
1,0.395686236,0.0627375,0.03785,0
1,-0.313318311,0.1157063,0.087225,0
1,0.648868164,0.1182312,0.01955,0
1,0.880504026,0.01759375,0.00058125,0.44
1,-0.572885186,0.03729375,0.2575438,0.02
1,0.850438437,0.1136938,0.0333375,0.02
1,0.973548979,0.0882875,0.02705,0
1,0.924159536,0.093125,0.021375,0
1,-0.845466086,0.01129375,0.00158125,0.01
1,0.671797635,0.1077188,0.0410875,0
1,0.446246252,0.0406,0.00388125,0
1,-1.037120912,0,0,0
1,-1.116594723,0,0.01200625,0
1,1.5803902,0.05114375,0.001225,0
1,-2.029078767,0.0005625,0.00179375,0
1,-0.946248092,0.0932125,0.2720062,0
1,0.950926235,0.1476625,0.02070625,0.2
1,-1.482439667,0.0388625,0.038375,0
1,-0.32697709,0.08840625,0.03535,0
1,0.184244334,0.094325,0.0372875,0.01
1,0.660899407,0.057775,0.00161875,0.35
1,-0.895406387,0.03844375,0.02981875,0
1,0.92505468,0.0428125,0.0013375,0
1,0.053058712,0.05553125,0.00243125,0
1,-0.047504204,0.003675,0.1320313,0
1,0.620924631,0.14305,0.0233625,0
1,-0.217312495,0.082225,0.0248375,0
1,-1.289927255,0.00235,0.03576875,0
1,-0.25277399,0.00136875,0.00963125,0
1,0.712504802,0.020225,0.00143125,0
1,-0.026026995,0.07195,0.02093125,0
1,0.870169175,0.05333125,0.00038125,0.11
1,0.796228985,0.02016875,0.00095,0.78
1,0.844598088,0.00071875,0,0
1,1.06285686,0.02673125,0.00171875,0
1,0.604017041,0.0542625,0.00719375,0.65
1,1.258117303,0.1273063,0.06904375,0.35
1,-0.766718406,0.0103375,0.0124375,0
1,0.831283596,0.06180625,0.01533125,0
1,0.475441736,0.0640875,0.0297125,0
1,-0.801998368,0.071725,0.2556812,0
1,0.625344016,0.0425375,0.00530625,0
1,-0.384397795,0.1053375,0.00974375,0
1,0.061565715,0.0735875,0.040625,0
1,-1.021809558,0.04856875,0.1757313,0
1,1.520538625,0.1481312,0.0250375,0.08
1,1.094769076,0.0527,0.00049375,0
1,0.645663171,0.1073687,0.00379375,0
1,1.147494967,0.02595625,0.00096875,0
