x,y
0.515,0.395
0.445,0.545
0.215,0.665
0.355,0.585
0.405,0.405
0.235,0.685
0.375,0.775
0.345,0.455
0.425,0.625
0.245,0.345
0.245,0.725
0.475,0.235
0.305,0.115
0.245,0.565
0.145,0.025
0.495,0.105
0.295,0.725
0.335,0.425
0.425,0.535
0.595,0.165
0.205,0.895
0.245,0.575
0.265,0.675
0.375,0.485
0.625,0.235
0.505,0.155
0.385,0.625
0.375,0.365
0.495,0.485
0.325,0.305
0.265,0.835
0.565,0.105
0.445,1.165
0.545,0.365
0.195,0.655
0.385,0.465
0.145,0.945
0.465,0.385
0.245,0.875
0.205,0.805
0.405,0.225
0.095,0.925
0.425,0.285
0.235,0.065
0.405,0.115
0.535,0.375
0.275,0.285
0.365,0.205
0.205,0.205
0.295,0.625
0.505,0.335
0.275,0.695
0.455,0.265
0.455,0.185
0.285,0.695
0.365,1.035
0.325,0.635
0.355,1.005
0.395,0.175
0.185,0.745
0.255,0.055
0.495,0.155
0.405,0.355
0.195,0.875
0.485,0.295
0.185,0.785
0.455,1.205
0.405,0.255
0.335,0.975
0.235,0.905
0.575,0.315
0.135,0.665
0.495,0.145
0.365,0.585
0.135,0.805
0.285,0.295
0.385,0.135
0.195,0.225
0.425,0.185
0.295,0.565
0.445,1.185
0.085,0.875
0.225,0.065
0.515,0.225
0.225,0.105
0.345,0.175
0.535,0.405
0.565,0.225
0.325,0.735
0.285,0.885
0.415,0.325
0.395,0.565
0.415,0.265
0.575,0.345
0.185,0.705
0.275,0.065
0.645,0.275
0.375,0.225
0.375,0.475
0.245,0.075
0.445,0.305
0.145,0.925
0.225,0.945
0.245,0.135
0.195,0.855
0.315,0.855
0.525,0.215
0.345,0.645
0.295,0.255
0.345,0.285
0.545,0.375
0.355,0.765
0.605,0.305
0.365,0.475
0.185,0.645
0.425,0.295
0.305,0.265
0.185,0.755
0.125,0.865
0.485,0.425
0.275,0.565
0.475,0.215
0.505,0.355
0.535,0.415
0.525,0.265
0.535,0.385
0.385,0.085
0.405,0.835
0.355,0.225
0.355,0.325
0.275,0.845
0.435,0.305
0.405,0.435
0.445,0.485
0.375,0.805
0.615,0.165
0.565,0.295
0.455,0.395
0.655,0.285
0.275,0.125
0.215,0.095
0.635,0.325
0.355,0.685
0.085,0.835
0.395,0.595
0.505,0.295
0.165,0.035
0.255,0.655
0.325,0.185
0.325,0.265
0.355,0.745
0.385,0.475
0.205,0.075
0.365,0.455
0.475,0.465
0.455,0.405
0.485,0.405
0.285,0.245
0.075,0.825
0.585,0.125
0.405,0.425
0.535,0.305
0.555,0.265
0.225,0.885
0.535,0.145
0.225,0.695
0.445,1.135
0.585,0.295
0.275,0.925
0.165,0.765
0.325,0.535
0.245,0.215
0.385,0.555
0.115,0.855
0.325,0.955
0.365,0.675
0.325,0.495
0.075,0.815
0.375,0.355
0.265,0.755
0.385,0.515
0.445,1.115
0.405,0.615
0.465,0.165
0.545,0.285
0.245,0.245
0.175,0.815
0.455,0.255
0.255,0.215
0.145,0.955
0.225,0.955
0.465,0.125
0.475,0.135
0.425,0.365
0.115,0.915
0.235,0.955
0.485,0.095
0.425,0.135
0.445,0.495
0.475,0.095
0.335,0.765
0.445,1.175
0.405,0.585
0.245,0.355
0.195,0.805
0.365,0.855
0.185,0.885
0.595,0.315
0.465,0.205
0.315,0.965
0.295,0.705
0.625,0.315
0.175,0.625
0.155,0.825
0.215,0.555
0.185,0.225
0.445,0.145
0.205,0.775
0.285,0.685
0.375,0.545
0.415,0.215
0.345,0.355
0.435,0.515
0.545,0.385
0.405,0.635
0.495,0.095
0.595,0.345
0.315,0.305
0.345,0.435
0.205,0.565
0.535,0.335
0.215,0.875
0.385,0.385
0.265,0.825
0.155,0.735
0.435,0.095
0.385,0.305
0.085,0.825
0.415,0.575
0.355,0.515
0.325,0.345
0.215,0.735
0.495,0.195
0.325,0.395
0.075,0.845
0.435,0.135
0.385,0.325
0.385,0.265
0.305,0.085
0.315,0.825
0.455,1.215
0.275,0.115
0.335,0.155
0.335,0.735
0.385,0.155
0.525,0.345
0.335,0.385
0.195,0.745
0.245,0.545
0.575,0.125
0.485,0.285
0.475,0.295
0.325,0.285
0.375,0.295
0.225,0.235
0.275,0.045
0.325,0.145
0.395,0.405
0.285,0.385
0.555,0.105
0.215,0.805
0.255,0.185
0.295,0.265
0.375,0.405
0.395,0.475
0.155,0.025
0.135,0.025
0.445,0.555
0.525,0.465
0.425,0.525
0.395,0.315
0.335,0.545
0.345,1.035
0.575,0.205
0.385,0.845
0.355,0.235
0.195,0.635
0.295,0.865
0.415,0.345
0.215,0.085
0.365,0.225
0.335,0.775
0.425,0.445
0.255,0.595
0.405,0.125
0.385,0.355
0.335,0.445
0.565,0.345
0.095,0.895
0.175,0.835
0.105,0.745
0.105,0.885
0.105,0.895
0.105,0.905
0.105,0.915
0.105,0.925
0.105,0.935
0.115,0.755
0.115,0.895
0.115,0.905
0.115,0.925
0.115,0.935
0.115,0.945
0.125,0.655
0.125,0.665
0.125,0.675
0.125,0.725
0.125,0.755
0.125,0.765
0.125,0.845
0.125,0.855
0.125,0.895
0.125,0.905
0.125,0.915
0.125,0.925
0.125,0.935
0.125,0.945
0.135,0.035
0.135,0.645
0.135,0.655
0.135,0.675
0.135,0.695
0.135,0.715
0.135,0.725
0.135,0.745
0.135,0.755
0.135,0.795
0.135,0.825
0.135,0.835
0.135,0.845
0.135,0.855
0.135,0.865
0.135,0.905
0.135,0.915
0.135,0.925
0.135,0.935
0.135,0.945
0.135,0.955
0.145,0.035
0.145,0.645
0.145,0.655
0.145,0.665
0.145,0.675
0.145,0.695
0.145,0.725
0.145,0.735
0.145,0.745
0.145,0.755
0.145,0.765
0.145,0.785
0.145,0.795
0.145,0.815
0.145,0.825
0.145,0.835
0.145,0.845
0.145,0.855
0.145,0.865
0.145,0.875
0.145,0.915
0.145,0.935
