Rockiness,Sandiness,VallyBotFlat,PPTann,Loaminess,cvTemp,T0
60,1,0,785,0,142,6124.01
75,1,0,785,0,142,6124.01
70,1,0,780,0,142,3252.96
40,1,0,778,0,142,1636.63
15,1,0,772,0,142,1352.08
80,1,0,841,0,142,5018.48
80,1,0,846,0,143,4874.83
40,1,0,848,0,143,10145.4
20,1,0,845,0,142,8773.88
10,1,0,830,0,142,672.69
90,1,0,846,0,145,2816.11
60,1,0,805,0,145,6905.14
40,1,0,807,0,145,1543.46
90,1,0,840,0,145,4329.83
70,1,0,834,0,145,4093.07
60,1,0,855,0,145,2840.64
20,1,0,846,0,145,2816.11
90,1,0,794,0,140,3054.85
85,1,0,782,0,139,3679.44
60,1,0,786,0,139,10762.99
70,1,0,786,0,139,10762.99
90,1,0,779,0,136,9846.55
95,1,0,771,0,136,9374.69
70,1,0.91,766,0,136,10465.01
50,1,0,760,0,136,9008.95
15,1,0,760,0,136,8507.52
10,1,0,750,0,136,6995.59
10,1,0,746,0,136,2882.16
10,1,0,747,0,136,2606.12
40,1,0,919,0,136,4441.8
80,1,0,913,0,136,4500.27
80,1,0,908,0,136,4996.32
80,1,0,908,0,136,4996.32
90,1,0,917,0,151,2394.71
95,1,0,956,0,151,2859.09
30,1,0,956,0,151,542.64
20,1,0,951,0,151,701.32
80,1,0,1288,0,148,3315.06
85,1,0,1296,0,148,1221.63
90,1,0,1335,0,148,2183
80,1,0,1297,0,148,2149.21
10,0,0,1315,1,149,210.84
30,0,0,1344,1,149,1484.1
50,1,0,1345,0,149,1954.84
10,1,0,1348,0,149,411.64
60,1,0,937,0,154,3769.8
95,1,1.44,965,0,154,9100.04
20,1,0,991,0,154,124.43
10,1,0,981,0,153,863.68
0,1,0,834,0,151,1315.89
10,1,0,838,0,151,1278.31
0,1,0,805,0,150,1445.16
90,1,0,755,0,149,3926.05
85,0,0,746,0,149,10322.29
0,1,0,750,0,149,10390.1
95,1,0,653,0,158,821.05
85,1,0,621,0,158,976.64
80,1,0,621,0,158,976.64
30,1,0,607,0,158,1044.92
5,0,0,619,0,158,8433.85
5,1,0,751,0,146,3758.07
10,1,0,747,0,146,2860.29
5,1,0,745,0,146,4676.91
10,1,0,740,0,146,4484.38
5,1,0,752,0,146,1449
5,1,0,756,0,146,1402.43
0,1,0,748,0,146,1554.77
0,1,0,747,0,146,1760.41
95,1,0,904,0,148,1178.41
85,1,0,890,0,148,1880.3
90,1,0,880,0,148,1946.38
90,1,0,864,0,148,3002.08
80,1,0,850,0,147,9083.51
70,1,0,833,0,147,10622.16
60,1,0,801,0,147,6681.62
50,1,0,784,0,147,6922.16
0,1,1.68,764,0,149,10364.01
0,1,2.84,762,0,149,10768.69
0,1,3.8,762,0,149,10883.29
0,1,3.95,761,0,149,10689.72
0,1,3.98,761,0,149,10259.81
0,0,3.98,760,0,149,10535.03
0,0,3.97,760,0,149,10504.89
0,1,3.98,759,0,149,10198.14
0,1,3.99,759,0,149,9105.58
0,1,3.99,759,0,149,10249.67
0,0,2.74,754,0,148,1389.36
0,0,2.68,752,0,148,1503.21
