antser,antsin,astfer,fompin,hetpar,junlut,phefer,phenig,phevit,poscae,triabi,diam,dc1,dc2,dc3,dc4,dc5,quality3,quality4,ground3,ground4,epi,bark
0,0,0,0,0,0,1,0,0,0,0,1.369942641,1,0,0,0,0,0,1,0,1,-0.662658438,0.529727232
0,0,0,0,0,0,0,0,0,0,0,-0.208383484,0,0,0,0,0,1,0,0,0,-0.662658438,1.251194894
0,0,0,0,0,0,0,0,1,0,0,0.243543354,0,0,0,0,0,0,1,0,1,-0.356856741,-1.033452703
0,0,0,0,0,0,0,0,1,0,0,0.804088886,1,0,0,0,0,0,1,0,0,-0.662658438,-0.913208093
0,0,0,0,0,0,0,0,0,0,0,-0.592751986,0,0,0,0,0,0,1,0,0,-0.662658438,1.251194894
0,0,0,0,0,0,0,0,0,0,0,-0.822762045,0,0,1,0,0,0,0,0,1,-0.356856741,1.251194894
0,0,0,0,0,0,0,0,0,0,0,-1.402341105,0,0,0,0,0,0,1,0,0,-0.662658438,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-1.402341105,1,0,0,0,0,0,1,1,0,-0.662658438,-0.913208093
0,0,0,0,0,0,0,0,0,0,1,0.601205636,0,1,0,0,0,0,1,1,0,-0.662658438,1.010705674
0,0,0,0,0,0,0,0,1,0,0,-0.592751986,0,0,1,0,0,0,1,1,0,-0.051055045,-1.153697314
1,0,0,0,0,0,0,0,1,0,0,-0.208383484,0,0,1,0,0,1,0,0,1,2.08955683,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,1.299626072,1,0,0,0,0,1,0,1,0,-0.662658438,1.251194894
0,0,0,1,0,0,0,0,0,0,1,1.625598584,1,0,0,0,0,1,0,1,0,-0.662658438,1.251194894
0,0,0,0,0,0,0,0,0,0,0,-0.389868736,1,0,0,0,0,0,1,0,0,-0.662658438,1.251194894
0,0,1,0,0,0,0,1,1,0,0,0.89722058,0,0,1,0,0,1,0,1,0,-0.662658438,-1.153697314
1,0,1,0,0,0,0,0,1,0,0,0.490036953,0,1,0,0,0,0,1,1,0,-0.662658438,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,0.804088886,1,0,0,0,0,1,0,1,0,-0.662658438,-0.913208093
0,0,0,0,0,0,0,0,0,0,0,1.069616013,0,1,0,0,0,0,1,1,0,-0.662658438,-1.153697314
1,1,1,1,1,0,0,0,0,0,0,2.0452417,0,0,1,0,0,1,0,0,1,-0.051055045,-1.153697314
1,0,1,0,0,0,1,0,1,1,0,1.740475593,0,0,1,0,0,0,1,0,1,-0.051055045,-0.672718872
1,0,0,0,0,0,0,0,1,0,0,0.10566845,0,1,0,0,0,0,1,0,1,-0.356856741,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,1.683994574,0,0,0,0,0,1,0,1,0,-0.662658438,1.251194894
0,0,0,0,0,0,0,0,0,0,0,1.149747518,0,0,0,0,0,1,0,0,0,-0.662658438,1.251194894
0,0,0,0,0,0,0,0,0,0,0,-0.208383484,0,0,1,0,0,1,0,0,1,2.395358526,-1.153697314
1,0,0,0,0,0,0,0,1,0,0,-0.389868736,0,0,1,0,0,0,1,0,1,0.254746651,-1.153697314
0,0,0,0,0,0,0,0,0,1,0,0.985574138,1,0,0,0,0,0,1,1,0,-0.662658438,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-0.389868736,0,1,0,0,0,0,1,1,0,-0.662658438,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,0.10566845,1,0,0,0,0,0,1,1,0,-0.662658438,0.529727232
0,0,0,0,1,0,0,0,0,0,0,0.601205636,0,1,0,0,0,0,1,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,0.243543354,0,0,1,0,0,0,0,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,0.89722058,1,0,0,0,0,0,1,1,0,-0.662658438,0.529727232
0,0,0,0,0,0,0,0,0,0,0,1.149747518,1,0,0,0,0,0,1,0,0,-0.662658438,-0.913208093
1,0,0,1,0,0,0,0,0,0,1,1.565153198,0,1,0,0,0,0,1,1,0,-0.356856741,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,0.243543354,0,1,0,0,0,0,1,1,0,-0.662658438,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-0.044210103,1,0,0,0,0,0,1,0,1,-0.662658438,0.289238011
0,0,0,1,0,1,0,0,0,0,0,1.069616013,0,1,0,0,0,1,0,1,0,-0.051055045,-1.153697314
1,1,1,0,0,0,0,0,0,0,0,-0.044210103,0,0,1,0,0,0,1,1,0,0.254746651,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-0.822762045,0,1,0,0,0,1,0,0,1,2.395358526,-1.153697314
0,0,0,0,0,1,0,0,1,1,0,-0.389868736,0,1,0,0,0,1,0,0,1,0.254746651,-1.153697314
1,0,0,0,0,0,0,0,0,0,0,-0.208383484,0,1,0,0,0,1,0,1,0,-0.356856741,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-0.822762045,0,1,0,0,0,0,1,0,1,-0.051055045,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-0.208383484,0,0,1,0,0,1,0,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-0.389868736,0,0,1,0,0,0,0,0,1,0.866350044,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-1.402341105,0,0,1,0,0,0,1,0,1,2.395358526,-1.153697314
1,0,0,0,0,0,0,0,1,0,0,-0.592751986,0,1,0,0,0,0,1,1,0,-0.356856741,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-0.822762045,0,0,1,0,0,0,0,0,1,1.477953437,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,0.705632562,0,1,0,0,0,0,1,0,0,-0.662658438,-0.913208093
0,0,0,0,0,0,0,0,1,0,0,-0.208383484,1,0,0,0,0,0,1,0,0,-0.662658438,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-1.402341105,1,0,0,0,0,0,1,1,0,-0.662658438,-0.432229651
0,1,0,1,1,0,0,0,0,0,0,1.149747518,0,1,0,0,0,0,1,1,0,-0.356856741,0.04874879
0,0,0,0,0,0,0,1,1,0,0,0.601205636,0,0,1,0,0,1,0,1,0,-0.662658438,-0.672718872
0,0,0,0,0,0,0,0,1,0,0,-0.822762045,0,0,1,0,0,0,1,0,1,0.254746651,-1.153697314
0,0,0,0,1,1,0,0,1,0,0,0.490036953,0,1,0,0,0,1,0,1,0,-0.356856741,-0.672718872
0,0,0,0,0,0,0,1,1,0,0,-0.044210103,0,1,0,0,0,0,1,0,1,1.172151741,-1.153697314
0,0,0,0,1,1,0,0,1,0,0,0.10566845,0,1,0,0,0,0,1,0,1,0.560548348,-0.432229651
1,0,0,0,0,0,0,0,1,0,0,-0.208383484,0,0,1,0,0,0,1,0,1,0.254746651,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,1.069616013,0,0,0,0,0,1,0,1,0,-0.662658438,1.251194894
0,0,0,0,0,0,0,0,0,0,0,-1.088289172,1,0,0,0,0,1,0,0,0,-0.662658438,1.251194894
0,0,0,0,0,0,0,1,1,0,0,0.243543354,0,0,1,0,0,0,1,1,0,-0.356856741,-0.913208093
0,0,0,0,0,1,0,1,1,0,0,-0.044210103,0,1,0,0,0,0,1,1,0,1.477953437,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-0.044210103,0,0,1,0,0,0,1,1,0,-0.051055045,-0.191740431
0,0,0,0,0,0,0,0,1,0,0,-0.822762045,1,0,0,0,0,0,1,1,0,-0.662658438,-1.153697314
1,0,0,0,0,0,0,1,0,0,0,0.243543354,0,0,1,0,0,0,1,0,1,2.395358526,-0.432229651
0,0,0,0,0,0,0,0,0,0,0,-1.402341105,0,0,1,0,0,0,1,0,1,0.866350044,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-1.088289172,0,0,1,0,0,0,1,1,0,-0.356856741,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,0.10566845,0,0,0,1,0,0,1,0,1,1.477953437,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-1.088289172,0,0,1,0,0,0,1,0,1,1.783755134,-0.913208093
0,0,0,0,0,0,0,0,0,0,0,0.10566845,0,0,1,0,0,0,1,0,1,1.477953437,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-0.389868736,1,0,0,0,0,0,1,1,0,-0.662658438,1.251194894
1,0,0,0,0,1,0,0,1,0,0,0.10566845,0,0,1,0,0,0,1,1,0,-0.662658438,-0.432229651
0,0,0,0,0,0,0,0,1,0,0,-1.402341105,0,0,1,0,0,0,1,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-0.592751986,0,0,1,0,0,0,1,0,1,1.783755134,-0.913208093
0,0,0,0,0,0,0,0,1,0,0,-0.822762045,0,0,1,0,0,0,1,1,0,-0.356856741,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-1.088289172,0,0,1,0,0,0,1,0,1,-0.356856741,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-0.389868736,1,0,0,0,0,0,1,1,0,-0.356856741,-0.191740431
0,0,0,0,0,0,0,0,0,0,0,-0.389868736,0,0,1,0,0,0,1,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,0.243543354,0,0,1,0,0,0,1,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,0.243543354,0,0,1,0,0,0,1,1,0,-0.051055045,-0.913208093
0,0,0,0,0,0,0,0,1,0,0,-0.822762045,1,0,0,0,0,0,1,1,0,-0.051055045,-1.153697314
0,0,0,0,0,0,0,0,0,0,1,-0.208383484,1,0,0,0,0,0,1,1,0,-0.662658438,1.251194894
0,0,0,0,1,0,0,0,1,0,0,0.89722058,0,1,0,0,0,1,0,0,1,1.783755134,-1.153697314
0,0,0,1,0,0,0,0,1,0,0,1.069616013,1,0,0,0,0,0,1,1,0,-0.662658438,0.04874879
0,0,0,0,0,0,0,0,1,0,0,-0.389868736,0,0,1,0,0,0,1,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-0.822762045,0,1,0,0,0,0,1,0,1,-0.051055045,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-0.208383484,0,0,1,0,0,0,1,0,1,1.172151741,1.010705674
1,0,0,0,0,0,0,0,1,0,0,-0.389868736,0,1,0,0,0,0,1,0,1,-0.051055045,-1.153697314
0,0,0,0,0,0,0,0,0,0,0,-1.402341105,0,0,1,0,0,0,1,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,-0.592751986,0,0,1,0,0,0,1,0,1,2.08955683,-0.913208093
0,0,0,0,0,0,0,0,1,0,0,-0.822762045,0,0,1,0,0,0,1,0,1,2.395358526,-1.153697314
1,0,0,0,0,1,0,0,1,0,0,-0.389868736,0,0,0,1,0,0,1,0,1,1.783755134,-1.153697314
0,0,0,0,0,0,0,0,0,1,0,-0.592751986,0,0,1,0,0,0,1,0,1,2.395358526,-1.153697314
0,0,0,1,0,0,0,0,0,0,0,-1.786709608,0,1,0,0,0,0,1,1,0,-0.662658438,1.010705674
0,0,0,0,0,0,0,0,0,0,1,-0.044210103,0,1,0,0,0,0,1,1,0,0.866350044,0.770216453
0,0,0,0,0,0,0,0,0,0,0,-0.592751986,0,0,1,0,0,1,0,0,1,2.395358526,-1.153697314
0,0,0,0,0,0,0,0,1,0,0,0.490036953,0,1,0,0,0,0,1,1,0,0.254746651,-1.153697314
0,0,0,0,0,0,0,1,1,0,0,0.243543354,0,0,1,0,0,0,1,0,1,1.172151741,-1.153697314
0,0,0,1,0,0,0,0,1,0,1,0.804088886,1,0,0,0,0,1,0,1,0,-0.662658438,-0.191740431
1,0,0,0,0,0,0,0,1,0,0,0.985574138,0,0,0,1,0,0,1,0,1,-0.051055045,-0.913208093
0,1,0,1,0,0,0,0,0,0,1,1.437500976,0,0,1,0,0,1,0,0,1,-0.662658438,-1.153697314
