depth__cm,temperature__C,oxidation_reduction_potential__Mv,salinity__ppt,water_crowfoot__Ranunculus,rushes__Juncus_or_Scirpus,filamentous_algae,emergent_grass,ivy_leafed_duckweed__Lemna_trisulca,bulrushes__Typha,reeds_Phragmites,marestail__Hippuris,common_duckweed__Lemna_minor
13.33333333,22.55,-26,0.833333333,0,1,1,1,0,0,0,1,0
34.375,19.75,-2.5,4.89,1,1,1,0,0,0,0,0,0
18.75,18.3725,-36.5,4.175,1,1,1,0,0,0,0,0,0
36.875,19.9475,-19.25,3.1025,0,1,1,0,0,0,0,1,0
11.875,21.005,-74.5,7.105,0,1,1,0,0,0,1,0,0
17.5,17.8925,-28.75,2.625,0,1,1,0,0,0,0,0,1
7.5,19.96,6,4.27,0,1,0,0,0,0,0,0,0
12.5,21.89,-9,5.52,0,1,1,0,0,0,0,1,0
45.625,18.455,-19.25,3.31,0,1,0,0,0,0,0,0,0
10.75,22.4,-2.5,1.545,0,1,1,0,0,0,0,0,0
31.25,20.425,-26,5.095,0,1,0,0,0,0,0,0,0
20.625,21.2675,-130.75,4.7475,0,1,1,0,0,0,0,1,0
57.5,18.7875,-22.5,3.0325,0,1,0,0,0,0,0,0,0
20.83333333,21.05,-41.66666667,2.796666667,1,1,1,1,0,0,0,0,0
15.625,19.78,-29.5,3.25,0,1,1,0,1,0,0,0,0
21.875,18.6725,-45.25,5.105,0,1,1,0,0,0,0,0,0
13.125,20.8625,-68.5,5.66,0,1,1,0,0,0,0,1,0
18.75,20.985,-21,2.775,1,1,1,0,0,0,0,1,0
24.375,21.5775,-10.75,7.6175,1,1,1,0,0,0,0,1,0
24.375,21.7625,-9.5,2.7925,1,1,1,1,0,0,0,1,0
12.5,20.17333333,-74.66666667,3.95,0,1,1,0,0,1,0,0,0
51.25,19.3375,-19.5,3.0975,0,1,0,0,0,0,0,1,0
64.375,19.1775,-9.5,2.9825,0,1,0,1,0,0,0,1,0
11.66666667,19,-111.6666667,2.683333333,0,1,1,0,0,0,0,0,1
51.875,18.5775,-24.25,7.075,0,1,0,0,0,1,1,0,0
29.375,19.835,-69.75,3.1775,1,1,1,0,0,0,0,0,0
26.25,18.025,-32.5,4.6125,0,1,1,0,0,0,0,1,1
12.5,17.39,-143,2.47,0,1,1,0,0,0,0,0,0
12.5,21.1,17,1.13,0,1,1,0,0,0,0,0,0
15,21.19,-20,1.935,0,1,1,0,0,1,0,0,0
14.375,17.7775,-43.25,4.2625,0,1,1,0,0,0,0,1,0
8.25,20.365,-92,4.645,0,1,0,0,0,0,0,0,0
53.125,18.4425,-18.5,2.9275,0,1,1,0,0,0,0,0,0
15,22.495,-17,6.02,1,1,0,0,0,0,0,1,0
46.875,18.625,-26.25,5.89,0,1,0,0,0,1,1,0,0
28.33333333,20.75,-44,2.64,1,1,1,0,0,0,0,1,0
28.125,20.56,-41.25,2.5125,1,1,1,0,0,0,0,0,0
36.875,20.425,-42,2.545,1,1,1,0,0,0,0,0,0
15.625,17.3875,-47.5,3.925,0,1,0,0,0,1,0,0,1
11.66666667,20.74333333,-25.33333333,5.813333333,0,1,1,0,0,0,0,0,0
60,19.1825,-8.25,2.985,0,1,0,0,0,0,0,1,0
18.75,20.3525,-123.25,4.915,0,1,1,0,0,0,0,1,0
15,19.05,3,6.02,1,1,1,0,0,0,0,0,0
20.625,17.2775,-25,5.2025,0,1,0,0,0,1,0,0,1
24.375,18.45,-57.75,4.2225,1,1,1,0,0,0,0,0,0
50.625,19.045,-21.25,2.315,0,1,0,0,0,0,0,0,0
21.25,21.32,-9,4.5375,1,1,1,0,0,0,0,1,0
26.875,19.4375,-29.5,3.3225,0,1,1,0,0,0,0,0,0
12.5,20.18,-6,4.4,0,1,1,0,0,0,0,0,0
45.625,18.6675,-22.5,7.88,0,1,0,0,0,0,1,0,0
7.75,24.315,-100,1.515,0,1,1,0,0,0,0,0,0
15,23.0825,-57,7.6425,0,1,1,0,0,0,0,0,0
15,19.16,-65.5,4.815,0,1,1,0,0,0,0,0,0
25.625,19.6775,-24.75,4.47,0,1,1,0,0,0,0,0,0
42.5,19.3125,-21,5.725,0,1,1,0,0,0,0,0,0
30,20.2375,-19.75,8.375,1,1,1,0,0,0,1,0,0
8.75,24.405,-41.5,10.67,0,1,1,0,0,0,0,0,0
13.75,22.135,-4.5,6.5275,0,1,0,0,0,0,0,0,0
42.5,21.7025,-9.5,7.745,1,1,1,0,0,0,0,0,0
20.625,21.035,-41.75,4.4325,0,0,0,0,0,0,1,0,0
21.875,21.0325,-40,4.7675,1,1,0,0,0,0,1,0,0
10,21.29666667,-18,5.516666667,0,1,0,0,0,0,0,0,0
25.83333333,18.07333333,-61,0.966666667,0,1,1,0,1,1,0,0,1
14.375,21.23,-33.75,4.45,0,0,0,0,0,0,1,0,0
30,20.09,-17.5,2.7725,1,1,0,0,0,1,0,0,0
12.5,17.86666667,-163.3333333,1.24,0,0,1,0,0,1,0,0,1
22.5,20.365,-25,4.4425,0,1,0,0,0,0,0,0,0
17.875,20.5675,-32.25,2.83,1,1,0,0,0,0,0,0,1
23.125,17.655,-244,1.7075,0,0,0,0,0,1,0,0,1
