,Culex_pipiens_sl,Culex_modestus,Culiseta_annulata,Anopheles_maculipennis_sl,waterboatmen__Corixidae,diving_beetles__Dysticidae,damselflies__Zygoptera,swimming_beetles__Haliplidae,opossum_shrimps__Mysidae,ditch_shrimp__Gammarus,beetle_larvae__Coleoptera,dragonflies__Anisoptera,mayflies__Ephemeroptera,newts__Pleurodelinae,fish,saucer_bugs__Ilyocoris,,,,
Culex_pipiens_sl,1,0.596976117,0.739096188,0.402652877,0.006737591,-0.073060173,0.261982189,-0.047411684,-0.047741411,-0.143056854,0.540427624,-0.282653338,-0.250467127,-0.238234153,-0.332522837,-0.327995962,,,,
Culex_modestus,0.596976117,1,0.630454286,0.612500807,0.121359306,0.106170596,0.298054125,-0.118746176,-0.251837257,-0.107689032,0.384435764,-0.10581189,0.280338234,0.130146941,-0.148831111,-0.260873656,,,,Ovaskainen 2010 (Mathematica)
Culiseta_annulata,0.739096188,0.630454286,1,0.506712486,0.055471518,-0.145113598,0.283085942,-0.08699194,-0.248462074,-0.284394839,0.673255339,-0.270950281,-0.062288841,0.117107738,-0.086189597,-0.356170881,,,,
Anopheles_maculipennis_sl,0.402652877,0.612500807,0.506712486,1,0.224587182,0.277203336,0.405065509,-0.264763188,-0.30013431,0.129251944,0.311540383,-0.036179976,0.271950278,0.096728716,-0.153426149,-0.125832029,,,,
waterboatmen__Corixidae,0.006737591,0.121359306,0.055471518,0.224587182,1,0.019372794,0.118964642,0.131875262,-0.07833444,-0.145899101,-0.088165193,0.286360773,0.212190531,0.111540716,-0.207198663,0.076687739,,,,
diving_beetles__Dysticidae,-0.073060173,0.106170596,-0.145113598,0.277203336,0.019372794,1,0.212159592,-0.298443494,0.153536349,0.311505796,0.200792434,0.055680846,0.29449373,-0.217245647,-0.178035005,-0.29337395,,,,
damselflies__Zygoptera,0.261982189,0.298054125,0.283085942,0.405065509,0.118964642,0.212159592,1,0.096552813,-0.122209684,0.234001903,0.284856347,0.013723375,0.197394938,-0.079533102,0.131581593,-0.064943336,,,,
swimming_beetles__Haliplidae,-0.047411684,-0.118746176,-0.08699194,-0.264763188,0.131875262,-0.298443494,0.096552813,1,0.136088886,0.336706735,-0.215338548,-0.073541151,-0.259639161,-0.247193648,-0.060529915,0.511133464,,,,
opossum_shrimps__Mysidae,-0.047741411,-0.251837257,-0.248462074,-0.30013431,-0.07833444,0.153536349,-0.122209684,0.136088886,1,0.188374822,-0.072053309,0.027880478,-0.079129191,-0.504245925,-0.453264912,-0.188528341,,,,
ditch_shrimp__Gammarus,-0.143056854,-0.107689032,-0.284394839,0.129251944,-0.145899101,0.311505796,0.234001903,0.336706735,0.188374822,1,-0.052538555,-0.219971239,-0.128542983,-0.477003719,-0.133768231,0.133322397,,,,
beetle_larvae__Coleoptera,0.540427624,0.384435764,0.673255339,0.311540383,-0.088165193,0.200792434,0.284856347,-0.215338548,-0.072053309,-0.052538555,1,-0.465808758,-0.112131569,-0.175587944,-0.255822334,-0.599654603,,,,
dragonflies__Anisoptera,-0.282653338,-0.10581189,-0.270950281,-0.036179976,0.286360773,0.055680846,0.013723375,-0.073541151,0.027880478,-0.219971239,-0.465808758,1,0.392183972,0.223044916,0.439250662,0.235484342,,,,
mayflies__Ephemeroptera,-0.250467127,0.280338234,-0.062288841,0.271950278,0.212190531,0.29449373,0.197394938,-0.259639161,-0.079129191,-0.128542983,-0.112131569,0.392183972,1,0.327959631,0.235414768,0.03173832,,,,
newts__Pleurodelinae,-0.238234153,0.130146941,0.117107738,0.096728716,0.111540716,-0.217245647,-0.079533102,-0.247193648,-0.504245925,-0.477003719,-0.175587944,0.223044916,0.327959631,1,0.485580934,0.107706457,,,,
fish,-0.332522837,-0.148831111,-0.086189597,-0.153426149,-0.207198663,-0.178035005,0.131581593,-0.060529915,-0.453264912,-0.133768231,-0.255822334,0.439250662,0.235414768,0.485580934,1,0.26440404,,,,
saucer_bugs__Ilyocoris,-0.327995962,-0.260873656,-0.356170881,-0.125832029,0.076687739,-0.29337395,-0.064943336,0.511133464,-0.188528341,0.133322397,-0.599654603,0.235484342,0.03173832,0.107706457,0.26440404,1,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Culex_pipiens_sl,Culex_modestus,Culiseta_annulata,Anopheles_maculipennis_sl,waterboatmen__Corixidae,diving_beetles__Dysticidae,damselflies__Zygoptera,swimming_beetles__Haliplidae,opossum_shrimps__Mysidae,ditch_shrimp__Gammarus,beetle_larvae__Coleoptera,dragonflies__Anisoptera,mayflies__Ephemeroptera,newts__Pleurodelinae,fish,saucer_bugs__Ilyocoris,,,,
