,intercept,depth__cm,temperature__C,oxidation_reduction_potential__Mv,salinity__ppt,water_crowfoot__Ranunculus,rushes__Juncus_or_Scirpus,filamentous_algae,emergent_grass,ivy_leafed_duckweed__Lemna_trisulca,bulrushes__Typha,reeds_Phragmites,marestail__Hippuris,common_duckweed__Lemna_minor,,,,,
Culex_pipiens_sl,0.528510899,-0.048702706,-0.136088177,-0.013485419,0.115752151,0.073318815,-0.93066796,1.356320867,0.425534159,1.507739973,-0.207943595,0.177622139,-1.318680219,1.317180263,,,,,
Culex_modestus,-1.882918094,-0.051601203,0.002771793,-0.003708194,0.081729831,0.70408178,0.128611231,1.285786496,-0.064884082,2.117604111,0.731966162,-0.627525176,2.168171551,0.159245013,,,,,
Culiseta_annulata,3.36140378,-0.110438806,-0.294116199,-0.028106174,-0.227607368,-2.449708175,-2.514624758,-5.101595636,-12.94272935,-0.054821053,0.911953382,-5.117679435,-12.88640466,-2.211755811,,,,,
Anopheles_maculipennis_sl,0.080481229,-0.021041567,-0.034772279,0.008055218,-0.272595543,0.592169059,-0.162792493,1.758793072,-0.913652835,0.434100166,0.31655435,-0.105442551,0.447320665,-0.594830009,,,,,Ovaskainen 2010 (Mathematica)
waterboatmen__Corixidae,-2.147132326,-0.022625487,0.0958421,-0.003795052,-0.16937858,1.368849141,0.266797709,1.374343033,0.401056741,3.805894738,-2.901790035,0.656650152,0.035006255,0.337793176,,,,,
diving_beetles__Dysticidae,-3.836251855,-0.008186476,0.089208798,-0.010972951,-0.122031086,-0.952601608,-0.163970161,-0.542063474,-12.1797468,-1.410907105,-0.29779902,-0.249791319,-1.054070237,-1.16323152,,,,,
damselflies__Zygoptera,-2.473772537,-0.006379004,0.032620651,0.002872164,-0.005984069,0.865163766,0.746282234,1.422725636,-4.271423895,-1.670876577,0.062493402,-0.147592251,0.993780048,0.525104206,,,,,
swimming_beetles__Haliplidae,-0.2423151,-0.010954016,-0.106230305,0.006462862,-0.120443565,0.728229685,0.642461021,0.518747112,-1.900081727,-20.36500502,-0.792454653,2.101994351,0.184819535,1.774013464,,,,,
opossum_shrimps__Mysidae,-1.195999063,-0.006810772,0.001450524,0.000319536,0.150140331,-2.694551443,-0.255274602,-2.206538897,-0.490409257,-15.074229,-4.930594124,0.133963621,-2.033932939,-1.995188638,,,,,
ditch_shrimp__Gammarus,-4.486952705,-0.030137649,0.159642552,0.015990527,-0.016380158,0.422611649,0.746779816,-1.255118464,1.244799712,-1.600628722,-7.292308105,1.377922003,-15.94994681,1.080081269,,,,,
beetle_larvae__Coleoptera,-12.84466301,-0.074030628,0.430688589,0.007474914,0.025182013,-3.45649504,1.758641097,1.415546274,3.548755057,-9.142621234,1.444618238,-2.229953248,3.091302867,1.928818476,,,,,
dragonflies__Anisoptera,6.107067951,-0.078225726,-0.452244628,-0.008018366,-0.105804589,-5.026872367,-0.422193508,0.650063189,-3.566049315,-0.454589652,-1.830923595,-6.474769719,-10.56052817,1.627533647,,,,,
mayflies__Ephemeroptera,-0.58400358,-0.072764591,-0.004603294,-0.001913953,-0.485096424,0.137697035,1.084069062,1.027001991,-5.552629731,0.864156194,-0.078728139,-0.125052125,0.703644989,-0.396305788,,,,,
newts__Pleurodelinae,-11.72939931,-0.025688184,-0.217097102,-0.007325942,-1.023745528,-13.79715423,12.0558219,3.404507257,1.734184729,-15.23277568,3.131859031,-8.465995361,6.224341928,2.909387726,,,,,
fish,2.571621551,-0.048302554,-0.236205308,0.002513909,-0.292099996,1.062243628,0.762894001,-0.081690642,-5.402012856,-18.4910317,-0.715284882,0.553201938,-0.361236022,-2.998974386,,,,,
