"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","log10","0.556546877875","0.155615","0.986125","0.754528816394486","-3.47800838424204","-2.40522291017978","-7.61712514529252","-1.95632985801647","Ovaskainen 2016","Crinia_sig"
"2","p_area","-5.92096153500001","-17.434","-1.89545","0.158018148493391","0.635993271461","0.422173104937962","1.23398833336695","0.357573547385345","Ovaskainen 2016","Crinia_sig"
"3","vertical","-14.852623025","-23.132","-7.23365","4.14902819585518","-0.676290051728777","-0.410564381889887","-0.832288183409809","-0.342017279868289","Ovaskainen 2016","Crinia_sig"
"4","log10","0.19992773753625","-0.14268","0.551835","0.204874036234243","0.36809143427037","0.239107390149174","0.726578009058495","0.206090521236818","Ovaskainen 2016","Lim_dumer"
"5","p_area","-3.1900367875","-8.57995","-0.98769","0.398837003278067","-0.379867089825415","-0.244096989886056","-0.711790018957623","-0.210298830998538","Ovaskainen 2016","Lim_dumer"
"6","vertical","-6.72861004852501","-13.5455","-1.1501","5.74285854872076","-0.362756219887894","-0.23816263510036","-0.652060429144672","-0.202692547559168","Ovaskainen 2016","Lim_dumer"
"7","log10","0.248412149175","-0.0583785","0.556665","3.96023247149456","-0.668769169714916","-0.359039422650175","-0.803709134965593","-0.328592327713477","Ovaskainen 2016","Lim_peron"
"8","p_area","-1.0500370069","-1.90085","-0.31838","2.37133702588691","-1.07651727128511","-0.703152932023008","-1.85592336222456","-0.600758267860998","Ovaskainen 2016","Lim_peron"
"9","vertical","-2.20221518","-7.2135","2.1617","0.763836678769125","-0.424514015757462","-0.279183398388138","-0.781892126627176","-0.236974436594339","Ovaskainen 2016","Lim_peron"
"10","log10","0.474956684335","0.11071","0.877645","4.0646097551506","-0.273676548835349","-0.183920313055852","-0.523179997130228","-0.153546447548408","Ovaskainen 2016","Lim_tas"
"11","p_area","-5.28658963500001","-13.615","-1.6028","0.682857861486389","-0.746965033332225","-0.494177468866689","-1.42044944606767","-0.418759763384999","Ovaskainen 2016","Lim_tas"
"12","vertical","-12.820630425","-20.2835","-6.18315","0.178286596157384","0.376054030879554","0.242411523114769","0.717922107624839","0.209301423459662","Ovaskainen 2016","Lim_tas"
"13","log10","-0.1060332765775","-0.65047","0.34124","0.683487005631617","-0.575328345003255","-0.379890296810198","-1.05743659373191","-0.321994015562933","Ovaskainen 2016","Para_has"
"14","p_area","-6.13452808750001","-17.6725","-1.6158","0.193056106389382","0.406473872990816","0.263454461209077","0.775506869466727","0.227047393681503","Ovaskainen 2016","Para_has"
"15","vertical","-15.831881175","-28.3865","-5.96015","0.398177841972678","2.220054365332","1.39726435859347","5.35183689536517","1.23901799256482","Ovaskainen 2016","Para_has"
"16","log10","0.474148737025001","0.13925","0.848855","0.175733048175444","0.879455001865552","0.582753489725916","1.70135310545569","0.49415263519208","Ovaskainen 2016","Lit_ewing"
"17","p_area","0.1792639198225","-0.64124","0.93594","3.16299667849229","-0.598258387495193","-0.365166439412684","-0.789275988602551","-0.314423635783224","Ovaskainen 2016","Lit_ewing"
"18","vertical","1.9693417711325","-2.77875","8.3222","2.88011612643714","1.46267993463317","0.97478342287309","2.00150380823423","0.794401892612594","Ovaskainen 2016","Lit_ewing"
"19","log10","0.180892751707","-0.207615","0.56134","2.04666116992377","-0.641562224895876","-0.330755748923315","-0.793279510278544","-0.308282344445851","Ovaskainen 2016","Lit_verr"
"20","p_area","-3.0355977975","-7.48225","-1.0472","3.59105628424035","-0.280138775805451","-0.192254821098936","-0.532125240171009","-0.157498562393366","Ovaskainen 2016","Lit_verr"
"21","vertical","-6.05158488607501","-12.5425","0.0198105","0.734684204809106","-0.519925670976732","-0.332119971728195","-0.975650210259417","-0.289023322805003","Ovaskainen 2016","Lit_verr"
"22","log10","0.10645567264525","-0.30012","0.551385","3.14776989949652","-0.46770694089795","-0.314262942815145","-0.843344472637701","-0.261629236277938","Ovaskainen 2016","Lit_peron"
"23","p_area","-1.625039399725","-5.1605","0.0776515","0.949034632775571","14.112815143938","21.033750314835","9.33236891528351","7.91376644439687","Ovaskainen 2016","Lit_peron"
"24","vertical","-1.1101624778475","-7.82505","6.30855","0.195517045843077","1.08107383068132","0.698695037818968","2.16980226056524","0.602890818481098","Ovaskainen 2016","Lit_peron"
"25","log10","0.17593059889475","-0.22588","0.684705","0.666267188531512","-0.607555063777243","-0.398386283408976","-1.1890134249947","-0.341110499494874","Ovaskainen 2016","Lit_rani"
"26","p_area","-1.482171983225","-4.75305","0.14884","0.253776855229002","-2.39245568023086","-1.72770116809428","-3.20826362845059","-1.33155521475194","Ovaskainen 2016","Lit_rani"
"27","vertical","-0.2050911375175","-7.4984","9.2173","1.6084492442232","-0.529853580173208","-0.3047321100424","-0.754181592017907","-0.275685651818444","Ovaskainen 2016","Lit_rani"
