"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-1.52350587369258","-1.89536243102842","-1.09079412880978","0.204155053191759","-0.134003456578044","-0.0931158798149076","-0.269432726012946","-0.0756091418589366","Clark","Anhinga"
"2","bio2","-0.00284818241928093","-0.00645690920288037","0.000618562498993007","8.22556921020957e-05","-0.632804923901943","-0.420942377072208","-1.21189645985948","-0.357601288651704","Clark","Anhinga"
"3","bio3","0.0138858007633723","0.00148612967846818","0.0255062302684064","0.000867896454532199","0.443344171842238","0.300241140260726","0.88988516147583","0.250785926717437","Clark","Anhinga"
"4","bio5","-4.27497646995733e-05","-0.00157606320580233","0.00145311849778469","1.69124745506387e-05","-17.5693572923595","-11.6167730435179","-24.6385692595448","-9.84108987413661","Clark","Anhinga"
"5","bio8","-4.57762405360445e-05","-0.000786997970709798","0.00071437119450981","4.74546455987215e-06","-8.36100942657389","-4.63731874582205","-20.6723916959411","-4.73558965911145","Clark","Anhinga"
"6","bio9","0.000122956036938593","-0.000516529354832895","0.000786617158059182","2.93380791668391e-06","2.71436174361109","1.96343500084206","4.8248995227684","1.52465226093118","Clark","Anhinga"
"7","bio15","0.00240944133719213","0.000292228119252991","0.0045793226708712","5.51556336416175e-05","0.462022244093012","0.310428602072822","0.880026656051536","0.26079761835943","Clark","Anhinga"
"8","bio16","-0.000415920007987698","-0.00088787386906913","5.00321296037284e-05","1.76442969944252e-06","-0.568017642173411","-0.370591716926349","-1.11943097901915","-0.319119476788486","Clark","Anhinga"
"9","bio18","0.0010662659778902","0.000480886527374526","0.00167095507767716","2.83105854200143e-06","0.28466797024143","0.197014270981709","0.553046538141477","0.160792784156167","Clark","Anhinga"
"10","intercept","-0.79267721560291","-1.22513385898672","-0.377510728066318","0.213013624078202","-0.268726815764704","-0.168124541148729","-0.528890271597286","-0.1516438833007","Clark","Double.crested.Cormorant"
"11","bio2","-0.00496595323311164","-0.00836231036894346","-0.00171932634384383","8.05290977678602e-05","-0.355321836714474","-0.244617551872285","-0.658919202739555","-0.200453620237923","Clark","Double.crested.Cormorant"
"12","bio3","-0.00275900235286058","-0.0136561747629004","0.00863425204364403","0.000840042231104555","-2.15969820791232","-1.37028794708633","-4.43862401965539","-1.21756788463519","Clark","Double.crested.Cormorant"
"13","bio5","0.00165789745960341","0.000201261903408119","0.00307887904858143","1.68027750760544e-05","0.450096665147807","0.289336746700257","0.877284600659588","0.253189762425063","Clark","Double.crested.Cormorant"
"14","bio8","-0.000908284076347212","-0.00168590331320184","-0.000151886230432302","4.85368356599337e-06","-0.430992646231728","-0.284356372020593","-0.8347076998469","-0.243529248456834","Clark","Double.crested.Cormorant"
"15","bio9","1.90072533900934e-05","-0.000592932129884047","0.00062773355332045","2.88182706919987e-06","17.2478298121825","10.5514976746154","35.0751654004947","9.79025887670305","Clark","Double.crested.Cormorant"
"16","bio15","0.00470260073933915","0.00254823575197254","0.00692847213088289","5.60613884973044e-05","0.240610793891927","0.173766889621974","0.462210762751773","0.136553961638335","Clark","Double.crested.Cormorant"
"17","bio16","-0.000395423644638191","-0.000857138496502684","4.63437402992613e-05","1.79847922203755e-06","-0.608989869476426","-0.429393307921867","-1.11431682295595","-0.343562474861538","Clark","Double.crested.Cormorant"
"18","bio18","0.000318225090537209","-0.0002752877275665","0.000924798672812818","2.86368860028658e-06","0.964820847048253","0.64815653571054","1.84767694703621","0.546525982618828","Clark","Double.crested.Cormorant"
"19","intercept","-1.3435181636427","-1.77704740395774","-0.942199882400899","0.213465796003069","-0.158885679241058","-0.103820979541165","-0.307014196812821","-0.0886827668105343","Clark","American.White.Pelican"
"20","bio2","0.00198930750159068","-0.00152569865074086","0.00561702222352879","8.33773976693521e-05","0.918370883064458","0.627556282958883","1.74582155314654","0.51707381827339","Clark","American.White.Pelican"
"21","bio3","-0.0118879226900512","-0.0238404943283986","4.41651871477181e-05","0.000872969551305297","-0.520879353067303","-0.362453702630849","-1.00371193278472","-0.295952475935322","Clark","American.White.Pelican"
"22","bio5","0.0010833651265511","-0.00040114435046855","0.00250139077275683","1.69628542617983e-05","0.695354911567815","0.48667278560312","1.38199741345731","0.393394925480296","Clark","American.White.Pelican"
"23","bio8","-0.000572693450535099","-0.00131873463238968","0.000186013750401714","4.778039788743e-06","-0.67289553536573","-0.444289032367384","-1.32843704633617","-0.378608536915973","Clark","American.White.Pelican"
"24","bio9","-0.000228878860289132","-0.000902613556366802","0.000393896695287464","3.02875046534796e-06","-1.50537159817208","-1.04006138791881","-2.54858910888756","-0.850796540963419","Clark","American.White.Pelican"
"25","bio15","0.00408252942106462","0.00183820301164703","0.00655638723058506","5.88169311983466e-05","0.290778573712554","0.197511067449304","0.562050568615184","0.16349674420062","Clark","American.White.Pelican"
"26","bio16","-0.000152777571826814","-0.000602263553438806","0.000306457945375314","1.77468031242244e-06","-1.55534882821611","-1.02514761820748","-3.0720225514422","-0.877933485760541","Clark","American.White.Pelican"
"27","bio18","0.000137527612010592","-0.000474654014817234","0.000732532181097471","2.91665200527018e-06","2.27378826054611","1.49906961279651","4.68122684959243","1.28602465308515","Clark","American.White.Pelican"
"28","intercept","-0.699856116175128","-1.14384376386755","-0.281016929714072","0.215284994548873","-0.307613221593968","-0.213559643882409","-0.605551713258805","-0.17350183157352","Clark","Common.Merganser"
"29","bio2","-0.000826328867724495","-0.00428011363918027","0.00272573983116725","8.06453872633783e-05","-2.13844604451108","-1.39472497208445","-4.50718703199407","-1.2035948772159","Clark","Common.Merganser"
"30","bio3","0.0103786793349473","-0.00134468888067049","0.0223286032050118","0.00085412153021496","0.583742877400643","0.373108191998882","1.12816377915827","0.326818978978687","Clark","Common.Merganser"
"31","bio5","-0.00195685292512974","-0.00345635395349939","-0.000549667186243841","1.68157573483373e-05","-0.381628406033438","-0.261853166421347","-0.725579487940959","-0.214987579860106","Clark","Common.Merganser"
"32","bio8","-0.00016580653597924","-0.00093593410615092","0.000536864333755934","4.67640597266328e-06","-2.27473422337318","-1.67306191400685","-3.69057879545216","-1.28567802309805","Clark","Common.Merganser"
"33","bio9","-0.000441100146972948","-0.00104188000186704","0.000223688258917996","2.96102630628449e-06","-0.763644045254688","-0.540764161277901","-1.54678688912637","-0.430185277248787","Clark","Common.Merganser"
"34","bio15","-0.00193633292483462","-0.00417213224710037","0.000397289461576196","5.93396322100128e-05","-0.618520622082346","-0.422135227074812","-1.21049324920218","-0.35010632984","Clark","Common.Merganser"
"35","bio16","0.00044908721252755","-1.6547227123035e-05","0.000889717158038957","1.73265588829312e-06","0.516593465063842","0.340940692387007","1.03790150470637","0.290952324775569","Clark","Common.Merganser"
"36","bio18","-0.000643399479603035","-0.00122374056141898","-5.63026970249478e-05","2.79930542860843e-06","-0.46647125624352","-0.310630157264046","-0.912030008902368","-0.262477600775179","Clark","Common.Merganser"
"37","intercept","-1.2625078439553","-1.66236167197088","-0.811551396682795","0.220026969584973","-0.174277704996788","-0.122163742507477","-0.343912761555161","-0.0986772232844588","Clark","Hooded.Merganser"
"38","bio2","0.000133657940076796","-0.00326897497884069","0.00355857451101624","7.90358546777935e-05","12.9568992191768","8.0908975042317","23.5758305221234","7.30940551931568","Clark","Hooded.Merganser"
"39","bio3","-0.00377465630343585","-0.0150334290159423","0.00729151225732357","0.000825224878811233","-1.55073974538277","-1.05864116669914","-2.88364522240729","-0.875961731499804","Clark","Hooded.Merganser"
"40","bio5","0.000520207119624477","-0.00107126340163704","0.00206458038290512","1.80749055070742e-05","1.54305778923479","0.959220801484171","3.1569416849583","0.867627023351205","Clark","Hooded.Merganser"
"41","bio8","-0.00023603083710092","-0.00098088355962697","0.000518367422150787","4.77723566518109e-06","-1.63240539167068","-1.03353348526674","-3.24151064211237","-0.915370104028771","Clark","Hooded.Merganser"
"42","bio9","-0.000309576740658817","-0.000990383662487327","0.000343751190487399","2.99248850793603e-06","-1.09963884763585","-0.741449403629286","-2.06320423230288","-0.618301447032528","Clark","Hooded.Merganser"
"43","bio15","0.000207844773052864","-0.00215143318579637","0.00241802326801481","5.70996587287026e-05","5.54477297753748","3.13156253237607","17.1403842775628","3.11360037079838","Clark","Hooded.Merganser"
"44","bio16","0.000160552218445299","-0.000277050258428069","0.000593609393541259","1.66705499845464e-06","1.39027558275582","0.96429252687592","2.75038549008548","0.787051974084848","Clark","Hooded.Merganser"
"45","bio18","2.38438289504377e-05","-0.000608627494551182","0.000592522085793082","2.78638949448096e-06","12.5291362824131","7.82551811128721","-74.580508845526","7.09226957501923","Clark","Hooded.Merganser"
"46","intercept","-0.856054021189684","-1.26560443088532","-0.433801381574038","0.207440614827752","-0.242321874196053","-0.1569538432827","-0.489466990881658","-0.136181976098042","Clark","American.Black.Duck"
"47","bio2","-0.000865433703715731","-0.00428484869830123","0.00267067754847815","8.12941215567844e-05","-2.05824480692445","-1.37347850153929","-4.30903888199325","-1.16077172366551","Clark","American.Black.Duck"
