"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","2.8312495","2.32075","3.4195","0.280269597444252","0.0989914867779232","0.0652729713802104","0.191294594729976","0.055560704553767","Ovaskainen 2016 NS","small_tortoiseshell"
"2","climate","1.27384532","0.981985","1.6235","0.0576670453641572","-0.0922233746246823","-0.0611912405960995","-0.183340279627951","-0.0520396663819608","Ovaskainen 2016 NS","small_tortoiseshell"
"3","blwood","19.972005425","13.743","26.952","3.05822763257754","-0.109740824083478","-0.0708096001073762","-0.215578813849163","-0.0615292525287404","Ovaskainen 2016 NS","small_tortoiseshell"
"4","conwood","0.33667286248","-1.1791","1.88835","6.32839646659482","-0.126455350399173","-0.0859462171975086","-0.235556648648866","-0.0714665166503689","Ovaskainen 2016 NS","small_tortoiseshell"
"5","chalk_limestone","2.57802356912501","0.079262","5.47965","1.18924120962227","-0.455398884364663","-0.308316809902762","-0.879454220584019","-0.256853414588812","Ovaskainen 2016 NS","small_tortoiseshell"
"6","intercept","0.798982124999999","0.56688","1.05375","0.163189126764381","0.128107490134187","0.0836174447707072","0.246022869311162","0.0716424916370538","Ovaskainen 2016 NS","orange_tip"
"7","climate","0.975543612500001","0.80913","1.16685","0.0395120725891466","0.103857455717054","0.0692223388744994","0.201877415142066","0.0584279927344073","Ovaskainen 2016 NS","orange_tip"
"8","blwood","31.5680455000001","26.6405","36.6615","3.42498175603751","0.0668875454656127","0.0448588065640801","0.129204403793026","0.0375248951447438","Ovaskainen 2016 NS","orange_tip"
"9","conwood","2.01138440075","0.75126","3.3041","4.15419455788057","0.214903775432896","0.146541116045155","0.417883475629688","0.121421595354748","Ovaskainen 2016 NS","orange_tip"
"10","chalk_limestone","5.377830285","2.53615","8.57465","2.10064486332599","0.0985515054663909","0.065541437233754","0.188528714508542","0.0549022998304733","Ovaskainen 2016 NS","orange_tip"
"11","intercept","-5.25050092499999","-6.15275","-4.45015","3.35089249179169","0.167779470337876","0.11118359563671","0.323733850763865","0.0944355495421537","Ovaskainen 2016 NS","purple_emperor"
"12","climate","1.78531075","1.30725","2.28345","0.805748642858992","0.078807777391931","0.0537239640698044","0.152385049686911","0.0445151473174017","Ovaskainen 2016 NS","purple_emperor"
"13","blwood","14.7004605","11.9925","17.641","36.8654771063417","0.0988982823697047","0.0665272333337508","0.191860211339184","0.0557609714239497","Ovaskainen 2016 NS","purple_emperor"
