"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","1.10009728474138","0.942204483463583","1.26940647927144","0.0831330669666608","0.0755688320657975","0.0484675347147471","0.147947356619726","0.0425214717304268","boral","small_tortoiseshell"
"2","climate","0.445376871458971","0.333293879040042","0.556686648944798","0.0544928780873938","0.122352285399477","0.0836403097452939","0.251008603986628","0.068890034734241","boral","small_tortoiseshell"
"3","blwood","21.9710720755162","17.4102012152947","27.1968219673292","47.1607369192871","0.114914602092982","0.0776109744012099","0.219396410111643","0.064797040850739","boral","small_tortoiseshell"
"4","conwood","0.264532079925854","-0.694100775181294","1.27619452888021","5.67057494414979","1.82101678516016","1.22483737326389","3.38484186016643","1.02318955646517","boral","small_tortoiseshell"
"5","chalk_limestone","1.8015202596436","-0.146181024577263","4.30580396394036","7.40755789685694","0.661260740829072","0.480025340098233","1.07028570940598","0.373067823851263","boral","small_tortoiseshell"
"6","intercept","0.723628881504342","0.530594246919323","0.932784306276751","0.102291455050457","0.141358999986022","0.0922161810839057","0.274836650078703","0.0793288510289553","boral","orange_tip"
"7","climate","0.930296228157303","0.781947305088493","1.08104628187154","0.0772357303254635","0.083022727586455","0.0589099577855557","0.160547507450689","0.0470121099790863","boral","orange_tip"
"8","blwood","28.518611312126","24.0141913047834","32.8881210005273","43.1757281673967","0.0810507765869811","0.0567164659879006","0.155950247647769","0.0457343644160958","boral","orange_tip"
"9","conwood","1.75271638618325","0.55997116845822","2.96677135012722","7.45853624510271","0.361499048564746","0.239950232952502","0.682442840379046","0.203550898717311","boral","orange_tip"
"10","chalk_limestone","5.42747868839571","2.39529225714388","9.09592419540655","10.4896689786891","0.310813942283133","0.212169593346213","0.583109017738108","0.174267262189408","boral","orange_tip"
"11","intercept","-5.23613438123067","-5.99351358977188","-4.49737863284646","0.398109560815375","-0.0760311962661671","-0.057430599468883","-0.142612746864348","-0.043339818502473","boral","purple_emperor"
"12","climate","1.83730383589717","1.39099976268458","2.29871248376327","0.247000493104721","0.134436388950693","0.0957218246925544","0.246011791828092","0.0766786680953583","boral","purple_emperor"
"13","blwood","15.0246828414747","12.232611644493","18.0469243966839","27.3155796919736","0.0973309566769367","0.0653941449014349","0.192021196899584","0.0551031744583122","boral","purple_emperor"
"14","conwood","-3.69341969572592","-9.83644314193565","1.85959521579135","35.2857809981679","-0.81158922870844","-0.519780723001436","-1.46624813034143","-0.45726647934669","boral","purple_emperor"
"15","chalk_limestone","2.20951960128788","1.63460043627127","2.79995047497683","1.91621185285336","0.139470545259999","0.0979091502851833","0.262788738257505","0.0791402571812014","boral","purple_emperor"
"16","intercept","0.421877993152451","0.2899997165739","0.555736382389723","0.067751851413061","0.160595841719049","0.109704979591342","0.31420754788812","0.0908653096440919","boral","ringlet"
"17","climate","0.887882578716166","0.792329455561821","0.985733292541404","0.051456099462512","0.0579537212416231","0.0415540033914944","0.108772222569704","0.032774973420135","boral","ringlet"
"18","blwood","7.74810304602282","5.95452480596407","9.57298755824768","17.6097466616488","0.121675630091037","0.0808850376627302","0.233035573722906","0.0688407798277729","boral","ringlet"
"19","conwood","1.17994167470229","0.388756649820664","2.01319265311809","4.80300489923333","0.345794188571953","0.233586710034556","0.676299038164523","0.194029489910304","boral","ringlet"
"20","chalk_limestone","1.43552811614017","0.723429657843159","2.19636997306578","2.37928938094002","0.266546140564723","0.178936736213194","0.504466231048907","0.150280240524782","boral","ringlet"
"21","intercept","-2.99392881948124","-3.3999777445392","-2.65238582629175","0.196039061909089","-0.0654788653068436","-0.0459644123757247","-0.123520655938521","-0.0370132279608301","boral","high_brown_fritillary"
"22","climate","0.22346148939596","0.0572532062522974","0.401145774523601","0.0887529435849826","0.39717332872152","0.261550370812468","0.750203605796029","0.223927415059284","boral","high_brown_fritillary"
"23","blwood","8.10975718502331","5.82935228865225","10.6318896282295","23.1863745393592","0.153063232035984","0.107530456358888","0.291748178164617","0.0863617517075118","boral","high_brown_fritillary"
"24","conwood","-1.72804296037476","-4.30970139014862","0.652473065543608","14.9851686317484","-0.736668840211419","-0.522447487495344","-1.35681286899914","-0.415971275783704","boral","high_brown_fritillary"
"25","chalk_limestone","-2.50730368362101","-3.82769946901734","-1.38188963482435","3.89057945393834","-0.249542306833023","-0.163565461149088","-0.469482292257826","-0.140516994139962","boral","high_brown_fritillary"
"26","intercept","-0.583458264540282","-0.707482222935554","-0.466787756925653","0.0608405735525912","-0.10427579357459","-0.069554684519136","-0.204973702928478","-0.0588461706110041","boral","dark.green_fritillary"
"27","climate","-0.066075290199082","-0.160694822215009","0.0164897960535527","0.0445383250166693","-0.674054171872964","-0.470057049637027","-1.22869932473907","-0.381032234146087","boral","dark.green_fritillary"
"28","blwood","6.50372324346551","4.93484311771289","7.99818665947459","14.4003576405031","0.118537867418173","0.0786122763638336","0.236862018764166","0.066715705713518","boral","dark.green_fritillary"
"29","conwood","0.995221828828251","0.119697049983019","1.87961667100167","5.14563699915554","0.439222372359565","0.286454776594935","0.880261863131649","0.247096879164852","boral","dark.green_fritillary"
"30","chalk_limestone","1.44792770876986","0.905704366315748","1.96058798686876","1.66071966809687","0.184453238696747","0.123731456981158","0.368030713748029","0.104293804302337","boral","dark.green_fritillary"
"31","intercept","-2.80148585812423","-3.11589211437679","-2.51970536232981","0.15042852889093","-0.0536959801009493","-0.0370385383104993","-0.105789449035559","-0.0303035607223532","boral","silver.washed_fritillary"
"32","climate","1.33129212738326","1.13883860570092","1.53716566660647","0.100796080808322","0.0757129699293364","0.0531421358727198","0.148851429359674","0.0427078686218047","boral","silver.washed_fritillary"
"33","blwood","17.0554264197873","14.7916135001917","19.5739665409471","23.4640299271038","0.0736522308191192","0.0493000468640068","0.13916113259344","0.0415687151470495","boral","silver.washed_fritillary"
