"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","Intercept","-7.80047013999999","-13.6175","-2.33805","2.89103642318707","-0.370623356195178","-0.255037818807321","-0.706614678250333","-0.209301811393335","Ovaskainen 2016","ALA"
"2","Rockiness","0.00369916450323501","-0.00126175","0.0086879","3.70584235381811e-05","5.03484668893943","2.62155362798645","-197.374292185739","2.76874429662731","Ovaskainen 2016","ALA"
"3","Sandiness","-0.130206153670175","-0.57107","0.321505","4.26084420654305","2.84272690341748","1.84259748708982","6.60970865942346","1.59781477519438","Ovaskainen 2016","ALA"
"4","VallyBotFlat","-0.37587570125","-0.65316","-0.15137","0.000882786054029012","-0.419488713614497","-0.270992611871697","-0.744684418521943","-0.232266561668348","Ovaskainen 2016","ALA"
"5","PPTann","0.000758977786715002","-0.000617985","0.00210515","0.0191116449996999","0.161467833185026","0.0988101916587821","0.303701648370819","0.0874686724872845","Ovaskainen 2016","ALA"
"6","Loaminess","-1.741387467475","-3.268","-0.53346","0.00160402506566375","5.17836707725561","3.16450496796563","16.588712708093","2.92508922042847","Ovaskainen 2016","ALA"
"7","cvTemp","0.03778267689075","0.00237175","0.074455","1.32935242160505","1.20091465238669","0.636852325528234","1.63987141849979","0.614711316680049","Ovaskainen 2016","ALA"
"8","T0","9.14430092750001e-05","3.7158e-05","0.000143305","4.97676660544418e-07","-2.37764214959661","-1.54662069260584","-3.36976065335491","-1.29632777170623","Ovaskainen 2016","ALA"
"9","Intercept","-42.4828080000001","-67.805","-27.4065","0.0025240680381313","0.682334628785486","0.46860108659362","1.33565080224605","0.385531784514704","Ovaskainen 2016","ARE"
"10","Rockiness","-0.002710939774555","-0.0114695","0.00521825","0.0503060047011496","-0.377856196965616","-0.247598371777476","-0.673406524274228","-0.209565559865005","Ovaskainen 2016","ARE"
"11","Sandiness","0.450866938785752","-0.36279","1.3283","0.00672007028584603","-1.08016883417085","-0.726948908511364","-1.8335201712363","-0.60456258660887","Ovaskainen 2016","ARE"
"12","VallyBotFlat","-0.49933708954","-1.15775","-0.077948","0.926717650545225","-0.378134714676182","-0.248499701713936","-0.674712047050296","-0.210052308312052","Ovaskainen 2016","ARE"
"13","PPTann","0.000260176579445","-0.00263065","0.00260625","2.34950508573206e-05","-0.226090793974023","-0.150515659902096","-0.420857364155892","-0.125903310682546","Ovaskainen 2016","ARE"
"14","Loaminess","-4.70609606216751","-8.7274","-1.7005","0.437360649916064","-0.365489212568036","-0.254376412022126","-0.675099654265801","-0.206136064031961","Ovaskainen 2016","ARE"
"15","cvTemp","0.267163005","0.174785","0.42361","0.00792696362794939","0.733677105875807","0.363772787318362","0.755404754452443","0.351333986102087","Ovaskainen 2016","ARE"
"16","T0","2.995949892975e-05","-6.86565e-05","0.00012779","0.000148751533619597","-0.415004149153722","-0.27025566572699","-0.752337457753863","-0.229856340599518","Ovaskainen 2016","ARE"
"17","Intercept","15.500364175","8.2937","26.723","0.22766823567147","-1.74852131987691","-1.1888221367185","-3.58653142750769","-0.986637513541915","Ovaskainen 2016","BAX"
"18","Rockiness","-0.015290558825","-0.029043","-0.00722995","0.00185896203905871","0.245958429696685","0.147260454949437","0.41568489971039","0.131069543559184","Ovaskainen 2016","BAX"
"19","Sandiness","0.851023530250002","0.32812","1.64265","0.218575823232796","-0.228831083908743","-0.154883462236728","-0.441828530470739","-0.128912712329673","Ovaskainen 2016","BAX"
"20","VallyBotFlat","-0.4889369825","-0.881305","-0.26267","0.027871302677268","0.194404750698375","0.124183439265537","0.361118494226177","0.107306788767182","Ovaskainen 2016","BAX"
"21","PPTann","-0.000350808313188251","-0.00238725","0.00159435","0.00132483111677979","-0.950940698883348","-0.652119078123261","-1.91844724071504","-0.536529865790351","Ovaskainen 2016","BAX"
"22","Loaminess","-0.0697369429900001","-0.95275","0.937035","0.0251176004171514","2.03463420544857","1.40396311794473","3.86573010928053","1.14740659499005","Ovaskainen 2016","BAX"
"23","cvTemp","-0.1068235205","-0.1825","-0.0583475","0.0934622763889012","1.55694995166821","1.02754116713781","2.67048386903296","0.866235776441854","Ovaskainen 2016","BAX"
"24","T0","1.8926794502125e-05","-4.65405e-05","9.6602e-05","7.33674679295727e-06","-1.77296981481704","-1.08882836699608","-3.29787717813283","-0.97247967934898","Ovaskainen 2016","BAX"
"25","Intercept","1.498858086375","-7.121","9.66445","0.126974484352805","-0.337809770438851","-0.225106331431033","-0.623319751865146","-0.189214386484799","Ovaskainen 2016","CAM"
"26","Rockiness","-0.0062213147364175","-0.020803","0.00610945","1.39871378641693e-06","1.65029589719702","1.02514532718837","3.31699696871448","0.91722224005455","Ovaskainen 2016","CAM"
"27","Sandiness","-0.955184144999998","-1.39235","-0.538475","0.0615915443268468","0.185324643860049","0.121330775695405","0.362386205411374","0.104055781355795","Ovaskainen 2016","CAM"
"28","VallyBotFlat","0.33234405875","0.215385","0.46048","3.01057166773188e-05","4.23552302551105","2.62132807749565","9.81056726152588","2.37404578380805","Ovaskainen 2016","CAM"
"29","PPTann","-0.002278250416175","-0.00656165","0.0014333","0.000419266830861448","-0.261004116039021","-0.168136361397113","-0.496889601373939","-0.144177780842212","Ovaskainen 2016","CAM"
"30","Loaminess","-0.813559400353324","-1.62775","-0.0352165","3.15275934017234e-05","3.12162352033212","2.09712636009656","8.51864383666719","1.75947231946639","Ovaskainen 2016","CAM"
"31","cvTemp","-0.00785405898674998","-0.0592895","0.0456225","0.0667384960298123","-0.87288853322662","-0.572277508507786","-1.55288342945196","-0.488372685280311","Ovaskainen 2016","CAM"
"32","T0","-1.614982563545e-05","-8.24805e-05","4.95205e-05","1.06004469550676e-08","0.985650009896162","0.589415626663512","1.63575652643177","0.528591917077295","Ovaskainen 2016","CAM"
"33","Intercept","-33.9816734999999","-49.948","-21.9435","0.000697546992437007","0.919061143351932","0.615901940411489","1.83173738063594","0.518904824647863","Ovaskainen 2016","GON"
"34","Rockiness","0.01483519116","0.00676235","0.0262155","0.134700162822293","0.307180560722005","0.200928250528541","0.525558179114352","0.167773205057213","Ovaskainen 2016","GON"
"35","Sandiness","0.2031752132825","-0.543765","0.955285","0.00201356047186314","-0.883818766175735","-0.598982948909565","-1.55742576332074","-0.496230204545013","Ovaskainen 2016","GON"
"36","VallyBotFlat","-0.7842155765","-1.50385","-0.260875","1.87559779155749","-0.613601438904301","-0.432136005006823","-1.18610914559573","-0.347035679388279","Ovaskainen 2016","GON"
"37","PPTann","-0.003373755751165","-0.00658475","-0.000962025","6.37276700439369e-06","-0.772845316162529","-0.514400519718005","-1.44321172789138","-0.434033877993895","Ovaskainen 2016","GON"
"38","Loaminess","-3.9289756745","-7.1618","-1.38655","2.84347640602409","0.114993876318989","0.0773452411691146","0.226446324325333","0.0648400548539698","Ovaskainen 2016","GON"
"39","cvTemp","0.2298417125","0.156235","0.332945","0.0012351074015538","0.667984558933098","0.286789334301652","0.731375374855633","0.315438307912935","Ovaskainen 2016","GON"
"40","T0","1.1395158699725e-05","-8.54815e-05","0.000104875","0.000917091514187054","0.178626692342521","0.11651014120859","0.348572181031424","0.100024344562242","Ovaskainen 2016","GON"
