"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-0.2167879367925","-1.6704","1.281","0.754498031477072","-3.4803506257788","-2.4060275541925","-7.6192364834313","-1.95766411348407","Ovaskainen 2016","Crinia_sig"
"2","log10","0.556546877875","0.155615","0.986125","0.14171829172733","0.636144327564879","0.422318243480882","1.23397007311806","0.357669186547994","Ovaskainen 2016","Crinia_sig"
"3","p_area","-5.92096153500001","-17.434","-1.89545","4.14860931881548","-0.676271957621138","-0.410546954744604","-0.832278745239832","-0.341991395286463","Ovaskainen 2016","Crinia_sig"
"4","vertical","-14.852623025","-23.132","-7.23365","51.1557227452556","-0.53039071763586","-0.348768423515257","-1.00296883759523","-0.296118680070077","Ovaskainen 2016","Crinia_sig"
"5","intercept","-1.1884172683225","-2.5854","0.0763195","0.204862336378014","0.368095383375821","0.239136123292368","0.72653192635715","0.206092475894578","Ovaskainen 2016","Lim_dumer"
"6","log10","0.19992773753625","-0.14268","0.551835","0.357677623759867","-0.379830424373948","-0.244085126047589","-0.711718779058562","-0.210285909548463","Ovaskainen 2016","Lim_dumer"
"7","p_area","-3.1900367875","-8.57995","-0.98769","5.74231233186182","-0.362705623443502","-0.238066134843026","-0.652011497870437","-0.202664622005587","Ovaskainen 2016","Lim_dumer"
"8","vertical","-6.72861004852501","-13.5455","-1.1501","13.3561151118361","-0.385759732864377","-0.248990041337843","-0.691225927555064","-0.213027890637213","Ovaskainen 2016","Lim_dumer"
"9","intercept","-1.09643640952","-2.4391","0.211935","3.95999309022052","-0.668809122777136","-0.359244427289395","-0.803699662520205","-0.328598401764064","Ovaskainen 2016","Lim_peron"
"10","log10","0.248412149175","-0.0583785","0.556665","2.1266043855371","-1.07678633553594","-0.703860416441041","-1.85592946333819","-0.600913256855672","Ovaskainen 2016","Lim_peron"
"11","p_area","-1.0500370069","-1.90085","-0.31838","0.76374204582328","-0.424457106290248","-0.279141276571846","-0.781858557806572","-0.236937965029837","Ovaskainen 2016","Lim_peron"
"12","vertical","-2.20221518","-7.2135","2.1617","3.48773193643165","2.05563076700982","1.37750240675372","3.38696832218642","1.13847114192581","Ovaskainen 2016","Lim_peron"
"13","intercept","-0.91408062137175","-2.317","0.40275","4.06437724167098","-0.273647101581303","-0.183979402572984","-0.523158673111363","-0.153531352994381","Ovaskainen 2016","Lim_tas"
"14","log10","0.474956684335","0.11071","0.877645","0.612337056947608","-0.746979396465557","-0.494068159073827","-1.42043044652878","-0.418764080720844","Ovaskainen 2016","Lim_tas"
"15","p_area","-5.28658963500001","-13.615","-1.6028","0.178292783403238","0.376027118667274","0.242442916795053","0.717909593985312","0.209294837415409","Ovaskainen 2016","Lim_tas"
"16","vertical","-12.820630425","-20.2835","-6.18315","20.5183795695153","-0.792227628312932","-0.457524676329068","-1.03028420656899","-0.408666648824085","Ovaskainen 2016","Lim_tas"
"17","intercept","0.067185928175","-1.6421","2.0372","0.683923999131898","-0.575491468663431","-0.379830196631748","-1.05715582286248","-0.322075583402386","Ovaskainen 2016","Para_has"
"18","log10","-0.1060332765775","-0.65047","0.34124","0.173111899065184","0.406420400080464","0.263411010009826","0.775481075305969","0.227012466670018","Ovaskainen 2016","Para_has"
"19","p_area","-6.13452808750001","-17.6725","-1.6158","0.39816972142608","2.22113697960154","1.39767612126471","5.35183808932371","1.23964740230163","Ovaskainen 2016","Para_has"
"20","vertical","-15.831881175","-28.3865","-5.96015","56.0165618933932","-3.16592574631616","-1.82121877867955","-9.35448739406675","-1.75918027759012","Ovaskainen 2016","Para_has"
"21","intercept","-1.79933857745575","-3.4266","-0.41812","0.175842171225787","0.8795286406615","0.582863276909842","1.70044741040283","0.494178791532489","Ovaskainen 2016","Lit_ewing"
"22","log10","0.474148737025001","0.13925","0.848855","2.8363317131689","-0.598251785145114","-0.365062400791823","-0.789271768801807","-0.314404660877135","Ovaskainen 2016","Lit_ewing"
"23","p_area","0.1792639198225","-0.64124","0.93594","2.87980808541657","1.4623201150913","0.974621403821584","2.00144653699404","0.794206859319922","Ovaskainen 2016","Lit_ewing"
"24","vertical","1.9693417711325","-2.77875","8.3222","15.5889588946205","-0.406070133298445","-0.25253356269399","-0.685718894725366","-0.220027079133601","Ovaskainen 2016","Lit_ewing"
"25","intercept","-1.413199008825","-2.96825","-0.0350105","2.04641219938075","-0.641501128576169","-0.330641432666523","-0.793265287762258","-0.308240959115624","Ovaskainen 2016","Lit_verr"
