"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-0.355093715107418","-2.78719571944187","1.8230125823048","1.15427949651601","-3.25063341705959","-2.35924324244766","-4.78146539197486","-1.81358686788048","boral","Crinia.sig"
"2","log10.p_area","0.776366495811121","0.170141854838409","1.61359262628434","0.33015774067918","0.474195339500569","0.294555992768548","0.809229617256358","0.261057273844143","boral","Crinia.sig"
"3","vertical.wall","-11.8666417004659","-25.0623160486538","-2.54260048929607","6.38051624367775","-0.537685084350971","-0.432034739394181","-0.815786402701082","-0.305418988277049","boral","Crinia.sig"
"4","road.density","-18.3442708619104","-28.5003086997932","-9.39080052688438","78.2299109834853","-0.26757356270966","-0.177129586280588","-0.504326966481483","-0.149401472998896","boral","Crinia.sig"
"5","intercept","-3.01137612932133","-10.8413458908376","0.200778367164694","2.78504437988542","-0.92484108935043","-0.481710800947506","-1.03773828166928","-0.457968297974877","boral","Lim.dumer"
"6","log10.p_area","0.65181588524554","-0.214580098989655","2.53739308822021","0.606289671391419","1.03718878438571","0.525575437880916","1.18475882473925","0.515020838563767","boral","Lim.dumer"
"7","vertical.wall","-9.6526692642919","-18.7491015027961","-1.94787693632532","4.51431029766037","-0.467674813469488","-0.359164699795363","-0.811771854325997","-0.267032757180638","boral","Lim.dumer"
"8","road.density","-6.68322448010658","-17.0497126308344","2.70054569985223","75.6389155363598","-0.710117253000544","-0.433266728160958","-1.37640452757175","-0.389206539958263","boral","Lim.dumer"
"9","intercept","-1.93675671427062","-10.908613047632","4.79156434495511","3.92864669659993","-2.0284668010455","-1.1998882662198","-2.56662618784065","-1.08440817631097","boral","Lim.peron"
"10","log10.p_area","0.460682281988534","-1.57622173028454","2.9256387562719","1.0295363097583","2.49196960573166","1.26832808758166","3.33615213077845","1.29862257927758","boral","Lim.peron"
"11","vertical.wall","-6.38704182420705","-17.0405724366972","-0.458988936016113","4.53914894498351","-0.710680949008354","-0.549213971485039","-0.947542806789226","-0.393004327446574","boral","Lim.peron"
"12","road.density","-7.04483038026585","-23.215485884809","8.89423912787245","129.607035974498","-1.154327008562","-0.692298395167578","-2.24210402611273","-0.644237998205756","boral","Lim.peron"
"13","intercept","-1.88715410900291","-4.14464987941564","0.156377581818461","1.05625074938192","-0.559705614047595","-0.349435710365856","-1.07841870872893","-0.314331036136733","boral","Lim.tas"
"14","log10.p_area","0.81447831653122","0.248439676131709","1.48883284459373","0.280152342725496","0.383545873155713","0.250393657289282","0.713988826545225","0.21479624349512","boral","Lim.tas"
"15","vertical.wall","-11.7043475494257","-29.6279497386678","-1.14410516999718","7.83088943359968","-0.669058176932205","-0.517079852208685","-0.925639989048959","-0.373595331858015","boral","Lim.tas"
"16","road.density","-17.2756741078055","-26.9155086263691","-9.24334307697717","71.599820068169","-0.260044544811408","-0.182549582857202","-0.488736912731011","-0.146670161256092","boral","Lim.tas"
"17","intercept","1.0978501496792","-1.66871830092226","3.63931395608688","1.34068882849107","1.22119474035944","0.770269310467759","2.69361816722656","0.684190194231132","boral","Para.has"
"18","log10.p_area","-0.413095252706689","-1.22000769161552","0.389498765062979","0.359762655328159","-0.971110071769094","-0.610863260969054","-1.93797610744486","-0.542575153094199","boral","Para.has"
"19","vertical.wall","-8.45789423005135","-17.7161648343267","-0.911314516205237","4.84541581334206","-0.572886782637461","-0.507145334366126","-0.902153748335336","-0.328899628686189","boral","Para.has"
"20","road.density","-20.2040711438378","-31.9450200477133","-10.1085310880665","88.3697132734197","-0.274432395333018","-0.184797040561371","-0.519254340475136","-0.154474860930386","boral","Para.has"
"21","intercept","-6.3286456244584","-14.9699607013982","0.897512138470165","4.01371164741372","-0.634213366585399","-0.426170603670733","-1.12755593093224","-0.353843568124713","boral","Lit.ewing"
"22","log10.p_area","2.35319480175901","0.288511311973458","4.97399132474312","1.09584880332297","0.519272519494458","0.331629117946714","0.890352050387392","0.286742298212698","boral","Lit.ewing"
"23","vertical.wall","1.59865841705609","-3.3683025604977","7.19688888677792","2.65234910026886","1.65910933315769","1.01624518373194","2.75955419230172","0.919890558112293","boral","Lit.ewing"
"24","road.density","-1.58872481204899","-18.9938931596904","17.3671057986672","144.043141200823","-5.68872218342824","-3.81847953563959","-22.35141471439","-3.19725791856565","boral","Lit.ewing"
"25","intercept","-6.44215376180954","-14.4449354968343","0.0534736193292761","3.58114944382718","-0.555893196007988","-0.356990158478578","-1.00743129777703","-0.310651318778999","boral","Lit.verr"
"26","log10.p_area","1.09876974497984","-0.860986486700013","2.92653596442731","0.856284545808656","0.868988433664166","0.544898484298265","1.83366338689436","0.484990659556632","boral","Lit.verr"
"27","vertical.wall","-11.0322479798453","-22.3031222603432","-2.63549018909818","5.36280255646018","-0.486102430461809","-0.360230307373823","-0.788641794370784","-0.274082104927347","boral","Lit.verr"
"28","road.density","-10.0568974150083","-26.5799499155678","5.34436219441621","128.286405294078","-0.800363795997871","-0.526039343633643","-1.50334017260026","-0.448320291774178","boral","Lit.verr"
"29","intercept","-17.2367682806105","-34.2244293719098","-5.48190587724933","6.97892488232957","-0.404885925755589","-0.253006837496591","-0.723877520156413","-0.22380083293655","boral","Lit.peron"
"30","log10.p_area","1.84712273509614","-2.47694745553629","6.27953581260684","2.01565359946642","1.21680987926719","0.860009198971313","2.30276917875197","0.687844767554386","boral","Lit.peron"
"31","vertical.wall","-7.78117405804069","-21.5796148709569","2.4109822899351","6.29023698970021","-0.808391759749954","-0.642120922804099","-1.25155495883646","-0.45603033824765","boral","Lit.peron"
"32","road.density","1.77339176445195","-14.3184896747766","19.4753354117017","141.316267998615","4.99986515774036","3.57424520815782","6.55319682039364","2.83082787195388","boral","Lit.peron"
"33","intercept","-14.2712030204952","-29.0637145627576","-4.08814696672848","6.30839106849031","-0.442036390305056","-0.29099232282127","-0.753368482002594","-0.24493720570578","boral","Lit.rani"
"34","log10.p_area","1.12682181826807","-1.65011610161969","4.07279822480279","1.28172061448995","1.26835464669355","0.806342440728853","2.3622225432131","0.714213721814618","boral","Lit.rani"
"35","vertical.wall","-7.6414788836461","-24.7406948144581","2.04509331062574","6.54616277941409","-0.856661763919003","-0.529623425053092","-1.18021935310068","-0.461760763684458","boral","Lit.rani"
"36","road.density","2.14890290244988","-17.1085332610079","20.2247205780155","150.257164096346","4.38721799963291","2.99000687838271","11.9804267334204","2.47716496137662","boral","Lit.rani"
