"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-2.72334604548795","-7.19742316359699","1.63300844806091","2.31070155192885","-0.848478861420211","-0.601378615243876","-1.58694706686814","-0.481483550634073","BayesComm","ALA"
"2","Rockiness","0.00414297510808474","-0.00119285714154076","0.00936515848256106","7.71451208706676e-05","0.658208747721215","0.442259914047481","1.29192686166705","0.371626593216568","BayesComm","ALA"
"3","Sandiness","-0.229852044101479","-0.754908749390112","0.320477526663457","0.278585331798066","-1.21202024931774","-0.829465392977622","-2.47538901394802","-0.683693899595019","BayesComm","ALA"
"4","VallyBotFlat","-0.42700291633952","-0.7833902545292","-0.152824482568021","0.0998099197893731","-0.37473246525623","-0.230386193603151","-0.673526859784624","-0.207306426311902","BayesComm","ALA"
"5","PPTann","0.000309940295840492","-0.00124533880552666","0.00178483807487859","6.05121052968148e-06","2.4729587761435","1.59292051723307","5.61664686598225","1.39301768153376","BayesComm","ALA"
"6","Loaminess","-2.71207403545385","-7.13120408386417","-0.0446101851722215","1.89971713673052","-0.70046654770345","-0.52459344159543","-0.987566516216922","-0.381675960829958","BayesComm","ALA"
"7","cvTemp","0.00726867850499216","-0.0218759055140921","0.0367656718516461","0.00289877291205245","2.0546946674696","1.35668526815119","3.93838130406629","1.16124919847095","BayesComm","ALA"
"8","T0","7.21874505832645e-05","1.64126098577375e-05","0.000130869104423699","9.09259294597344e-09","0.411754941898698","0.288437461552245","0.777126306034501","0.233127725657976","BayesComm","ALA"
"9","intercept","-13.8884052265329","-19.2609684617892","-8.99152639865626","2.68581754899131","-0.193385597927415","-0.129223899455416","-0.363487972083857","-0.108785464213052","BayesComm","ARE"
"10","Rockiness","0.000469086469598194","-0.00646738848392873","0.006962995245545","9.55711925122567e-05","7.201809158592","4.02144759567204","27.0988710599399","4.03385381562794","BayesComm","ARE"
"11","Sandiness","0.518604395052532","-0.155047508080107","1.31391684963629","0.375676778028522","0.724399526136811","0.481123187505123","1.26758410550736","0.40856376847235","BayesComm","ARE"
"12","VallyBotFlat","-0.410698594537157","-0.81373987908226","-0.110692313184208","0.111360869935428","-0.434698211210009","-0.294834536136686","-0.76051826383757","-0.242493042990798","BayesComm","ARE"
"13","PPTann","-0.00206654730801034","-0.00377025716801693","-0.000377568380641393","6.91366183897868e-06","-0.423755588702179","-0.272521182438122","-0.817943943778675","-0.238426614646222","BayesComm","ARE"
"14","Loaminess","-2.11180420650103","-6.58331152590039","0.932981932661997","2.00427126872965","-0.949080062706406","-0.714171301621155","-1.33023982663895","-0.530582616690998","BayesComm","ARE"
"15","cvTemp","0.0926797101206105","0.0626204155986897","0.125641541238795","0.00317756290224076","0.176643657957536","0.119806921742808","0.334752313737541","0.0994926596016503","BayesComm","ARE"
"16","T0","-5.57340029579327e-06","-8.84834906511772e-05","7.47778740525519e-05","1.26336914016294e-08","-7.41007840845631","-5.07122582290476","-11.9120043617815","-4.17788216518121","BayesComm","ARE"
"17","intercept","8.33038409548933","4.96874955306268","12.0209479297751","1.78151009881268","0.213856897640209","0.146496937265613","0.415086753830445","0.120765043790974","BayesComm","BAX"
"18","Rockiness","-0.0101575848999566","-0.0148036808199735","-0.00533659283680641","6.81458077606867e-05","-0.237146212468731","-0.158929333539031","-0.470057564484986","-0.132941859922071","BayesComm","BAX"
"19","Sandiness","0.55611735298744","0.190527716630204","0.94950314165379","0.195015999334309","0.35067418466029","0.244401857654058","0.665749895723013","0.198019124339394","BayesComm","BAX"
"20","VallyBotFlat","-0.310314041596972","-0.429514702174658","-0.192054243157066","0.0370596913010621","-0.191460339427786","-0.126141271856886","-0.382033981589704","-0.10770319479032","BayesComm","BAX"
"21","PPTann","-0.000107858348858057","-0.00134409077651375","0.00110016063670992","5.0766297415062e-06","-5.96175849601901","-3.93349312281654","-10.0202927575466","-3.35828845836373","BayesComm","BAX"
"22","Loaminess","-0.401820831810745","-1.32721743921231","0.422484533521295","0.440108200620635","-1.09528467859009","-0.773985218044774","-1.93394311373833","-0.615294832025682","BayesComm","BAX"
"23","cvTemp","-0.0582848125582372","-0.0827883963415111","-0.034810982695508","0.00233224743141167","-0.206161601451311","-0.140029511935611","-0.407973358693504","-0.116530842357057","BayesComm","BAX"
"24","T0","1.64229869239628e-05","-2.51674061918319e-05","5.7298630939606e-05","6.66806863733239e-09","1.32727431410086","0.886807964816207","2.56653886612743","0.750229492406533","BayesComm","BAX"
"25","intercept","-3.97200910475586","-10.4911015552262","2.88266995553221","3.50929412437523","-0.88350606250459","-0.579665260859677","-1.75775668552981","-0.498223246130608","BayesComm","CAM"
"26","Rockiness","-0.00787083707311299","-0.0236965665496599","0.00490126957868328","0.000212599117865253","-0.954790404165602","-0.668893936547265","-1.52154212686841","-0.537332501712936","BayesComm","CAM"
"27","Sandiness","-1.07949133313533","-1.60181199857907","-0.579344733467616","0.266502299433965","-0.246877664742265","-0.172813289080109","-0.468772945148249","-0.140038464050842","BayesComm","CAM"
"28","VallyBotFlat","0.344214653518939","0.214617663265286","0.472639461067759","0.0411333342915441","0.191576844308363","0.1350461293837","0.375437065207396","0.107979837301933","BayesComm","CAM"
"29","PPTann","-0.00158598928491492","-0.00631377725211785","0.00218668635336439","1.73117641409373e-05","-1.3825910297308","-1.03584737615702","-2.05967443267356","-0.782747612742155","BayesComm","CAM"
"30","Loaminess","-0.903390409449508","-2.0989490117516","0.117006759209171","0.576292399452103","-0.637921759434299","-0.444335279041144","-1.1180728238263","-0.359446926160861","BayesComm","CAM"
"31","cvTemp","0.0259487596121665","-0.0164266210655183","0.0692331538234436","0.00435792822396449","0.865270764351134","0.599519714203239","1.62214351928088","0.489149852462035","BayesComm","CAM"
