"","coefficient","posterior.mean","lower","upper","sd","coefVar","qcd","qcd2","gini","model","species"
"1","intercept","-0.594107171827158","-2.13960835180769","0.953365823355084","0.816802706335933","-1.37484067701772","-0.958936238103048","-2.6073708377303","-0.773250259774977","BayesComm","Crinia.sig"
"2","log10.p_area","0.551662191388244","0.108453134964763","1.00990232201275","0.217178341922512","0.438981153489804","0.294514690657256","0.806048901021378","0.246331122460961","BayesComm","Crinia.sig"
"3","vertical.wall","-4.27880574347407","-9.1906186265158","-1.61908003030544","1.91360685016983","-0.447229195456796","-0.310816196614286","-0.700439377320893","-0.245404320063876","BayesComm","Crinia.sig"
"4","road.density","-8.92571406589095","-13.5218298347533","-3.98150983701611","38.2333556758179","-0.26876348653332","-0.177682324098716","-0.545057124905396","-0.151072276848096","BayesComm","Crinia.sig"
"5","intercept","-1.08729022505082","-2.79038484958884","0.56762964597577","0.834460220438826","-0.767467784785633","-0.519309357820806","-1.51074418366277","-0.434267690375063","BayesComm","Lim.dumer"
"6","log10.p_area","0.230768448954486","-0.242237864101143","0.70853495938037","0.217260912543955","1.04980285792246","0.69387288526588","2.03898508720534","0.593193430182825","BayesComm","Lim.dumer"
"7","vertical.wall","-3.08971338103253","-7.16621630816865","-0.428760302667053","1.75721974489834","-0.568732282963769","-0.423746048495841","-0.887093713480212","-0.318075044776091","BayesComm","Lim.dumer"
"8","road.density","-5.54659490776948","-10.417670674303","-0.958396529961575","37.7075240569092","-0.426552397897704","-0.288073435786973","-0.831506528090429","-0.240562062971658","BayesComm","Lim.dumer"
"9","intercept","-0.0447085827688312","-1.14788492071755","1.0368578258283","0.561393882733811","-12.5567362677662","-7.80254277183924","-19.6775638300294","-7.06858524241064","BayesComm","Lim.peron"
"10","log10.p_area","0.0533685016140609","-0.246806018115633","0.383818619607829","0.145739748850025","3.04505814346709","2.03850236135651","4.60267618347051","1.71289272669201","BayesComm","Lim.peron"
"11","vertical.wall","-0.848388728941524","-1.6152738967547","-0.150566014585982","0.39293132784867","-0.463150103772481","-0.324212357043019","-0.829468103400531","-0.261649656496649","BayesComm","Lim.peron"
"12","road.density","-4.32786504127563","-8.66581199973953","-0.274412461041163","33.9170889360779","-0.491717517442241","-0.349362526121049","-0.938611728990706","-0.277383229137391","BayesComm","Lim.peron"
"13","intercept","-1.77350459790108","-3.51048031577161","-0.0637102879402314","0.856800838619131","-0.483111709793784","-0.310111002344475","-0.964349809507043","-0.271281005100349","BayesComm","Lim.tas"
"14","log10.p_area","0.64469025692514","0.144161523789456","1.15774045823727","0.231922736807208","0.40113892183906","0.259678707612615","0.778537054586807","0.224760286327999","BayesComm","Lim.tas"
"15","vertical.wall","-3.42284796084207","-6.48595723687806","-0.946583335923758","1.50238896298663","-0.43892950553872","-0.331315919754186","-0.74528673563179","-0.248480480552558","BayesComm","Lim.tas"
"16","road.density","-7.59515079968532","-12.2557071434657","-2.87673464443262","37.9324505709083","-0.313361270252133","-0.209881521457943","-0.619792405646895","-0.176580073001805","BayesComm","Lim.tas"
