"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,0.433842968408916,0.412032849412504,0.33313799969179,0.0549132421727046,0.247873889158073,0.260469112272622,0.450947595194245,0.0833886439783288,0.0840404952998396,-0.00350608610041981,0.252393557018129,-0.417739484937215,0.375338411354784,0.388959497930422,-0.119074855620571,0.322748518688133,0.19503937281802,-0.274561660979086,-0.311370005653204,0.42612230505068,-0.0209443403329574,0.422215607249473,0.385367629117165,0.461372725854689,0.0568020793879854,0.440086329906861,0.243200969362615,0.19323286456244,0.43270544987995,0.473549021223392,0.501682811087731,0.381217521582967,0.259635334235946,-0.0608816376198484,0.322964992793035,0.410695357964323,0.422378107072562,-0.063876715178261,0.227636727951811,0.489103469805765,0.486689186811933,0.50817600235169,0.124184256896509,0.417565859546041,0.407874571556028,0.499397590008059,0.466397564252708,0.261589785922816,0.11332382244018,-0.0875160581827728,0.242107012322115,0.385142242399147,0.524216277803562,0.421963921939523
"orange_tip",0.433842968408916,1,0.263445060797441,0.369264196499844,0.161955187740507,0.0812033998692343,0.255249024492231,0.352776263372567,0.0989903924605509,0.0925299201090909,0.0750365488091143,0.226472417939805,-0.282161570604474,0.489040464981452,0.439442565356227,-0.123651199634207,0.267552592451347,-0.0806601108219651,-0.29530211772081,-0.0512435131254528,0.358314930638857,-0.061254577914351,0.452847718781757,0.170970707643452,0.294469682129034,-0.0676647296684237,0.540089307621479,0.462166042448805,-0.0757002098456753,0.267334195648061,0.267084697642092,0.324268280508032,0.306818890247341,0.251735557340509,0.0376395574098971,0.405694985888508,0.248538887666593,0.561306251139836,0.0697818828127702,0.152540973834962,0.446150666608713,0.380425187463558,0.559013936560782,0.0505306848702475,0.524068844891947,0.252531260912284,0.41042245785025,0.463608412157966,0.243437184644485,0.0870770784881029,-0.257081584838833,0.170616141662985,0.472617940535651,0.44361512108652,0.379110951113971
"purple_emperor",0.412032849412504,0.263445060797441,1,0.229255707800328,-0.0422185952466809,0.134238007928807,0.241689424431827,0.413769633408875,-0.13691120304796,0.0499568256715004,-0.0855788910374403,0.155363991370352,-0.378627147090541,0.293371429146066,0.174532100712168,-0.290973131641758,0.241481351524277,0.259832480484053,-0.33917037264246,-0.442672617071278,0.29268467814725,-0.0343035288801437,0.350926268874652,0.350141833284497,0.424421829067114,-0.0514129941943443,0.238472494464033,0.0650200347045332,0.265629402799779,0.351098363810143,0.464634738578241,0.350942844640563,0.407402405974899,0.156606169096476,-0.0247996883439132,0.263526732198993,0.156737463712955,0.259048923900066,-0.0489282779560301,0.226342576408883,0.354449277725986,0.286248610062648,0.354894672211301,0.113124169714466,0.306199805597313,0.16192159881304,0.469350758862191,0.394535792763259,0.334186486897948,0.195810081851023,-0.121336343412633,0.266962249339472,0.315873015985811,0.393681387637573,0.283616553452622
"ringlet",0.33313799969179,0.369264196499844,0.229255707800328,1,-0.137522254464269,0.119073677082874,0.194602677458415,0.338496557583396,-0.02488797313964,-0.0642520984636337,0.0362359418011001,0.0381491551557656,-0.433416204620817,0.21877437085649,0.312241343882204,-0.145586476847772,0.199730931376953,0.157331157168871,-0.373524066983691,-0.158783635441706,0.310753275131776,0.0439178830576826,0.209237574657815,0.146029018243461,0.310992197787454,-0.014071053088965,0.446397100776479,0.202717089940773,0.162035425680139,0.301255620476717,0.319892623284095,0.334024174620032,0.380497038801332,0.167145978730534,-0.139760995821875,0.255358115686611,0.182301782616403,0.364656301629934,-0.0395161173197154,-0.174744331381605,0.403835708746757,0.274364779664713,0.429816583548532,0.0138559379732294,0.287001872965335,0.179675078698392,0.304410028517713,0.246481692234467,0.198648373239409,0.112893226362152,-0.13827190322252,0.158228227045055,0.28232122627978,0.372175196130191,0.334571272061975
"high_brown_fritillary",0.0549132421727046,0.161955187740507,-0.0422185952466809,-0.137522254464269,1,0.2417496177715,0.408530580293694,-0.120403908529011,-0.00395681592906767,0.356832382568216,0.427096890374905,0.230421702988166,0.173807560791817,0.127327261728905,0.264447937899142,0.0653860757340086,0.144755701015706,-0.22226783851746,0.14136249364107,0.110639700746223,0.0647482374212476,0.282769744487097,0.070046041071958,0.0228669883865728,-0.065857273595346,0.236731649377221,0.0492362980092489,0.123661138745706,-0.217283671145421,-0.0113212751609321,-0.131172509487626,-0.0277104350040597,0.0838835418089101,0.169009880629871,0.245157224260751,0.135052539708834,0.00497824740101885,0.114081334940987,-0.13224727533851,0.238060188243439,-0.128106139326702,0.192177650974762,0.0707437294384124,0.10827950956794,0.0307081104375208,0.0118135344088581,0.0744631543927285,0.17852362582261,-0.199303690173144,0.290996669734972,-0.110452861304374,-0.367495992225777,0.00458281524847766,0.0359923845556809,-0.0121644681646237
"dark.green_fritillary",0.247873889158073,0.0812033998692343,0.134238007928807,0.119073677082874,0.2417496177715,1,0.404506552332425,0.0193818676172918,0.127057060162334,0.352233898007993,0.372698135759787,0.243594502721687,-0.0882631722444877,-0.0498554141689272,0.333849857770073,0.124104974507371,0.268583140334764,0.312050435990338,0.214352663422252,-0.171755661757272,0.322822135153674,0.310870030287932,-0.0128657568307186,0.325923098599217,0.20561099296747,0.397246831531334,0.0236992866479589,-0.129570519630529,0.311588490655151,0.296970387788032,0.231565585236601,0.290482326926468,0.214809283905895,0.131989217635186,-0.0990714421981571,0.0571468563902185,0.367528365591581,-0.00474574090790125,-0.323846243348602,0.159195962887715,0.021676212385658,0.371855593959605,0.117584149019073,0.295346385957632,-0.0772204986759864,0.363110321911974,0.204796398527739,0.0966849042127369,-0.167116147135175,0.239099247230273,0.295178869911408,-0.260729911641191,-0.135708122741199,0.152997815608165,0.0953635010761748
"silver.washed_fritillary",0.260469112272622,0.255249024492231,0.241689424431827,0.194602677458415,0.408530580293694,0.404506552332425,1,0.0759383476829779,-0.134858096145415,0.43938979603655,0.435920809667618,0.288136642162859,0.0472682881657347,0.242012794131596,0.322495930527927,-0.091533093800987,0.286547219683166,0.193347710756403,-0.0116959790831901,-0.127265745454114,0.29563767086977,0.460861727142443,0.197728576110848,0.235101447289782,0.218540827868674,0.21937719599108,0.160294689430253,0.0750843383763468,0.199013300604661,0.286473330081503,0.19705845238441,0.194404661787076,0.473365611876486,0.293750965093561,0.240000711750722,0.240901034607572,0.126049892499952,0.207401259270131,-0.185037041550464,0.355115942808211,0.0881834015294803,0.351776028241724,0.224475582512204,0.15998965457881,0.163523304186575,0.133935656205099,0.358808695201368,0.361588160007655,0.0121764626010027,0.525686219757415,0.0404380439205967,-0.217083141328852,0.181318185205603,0.211808109141675,0.136410235714133
"brown_argus",0.450947595194245,0.352776263372567,0.413769633408875,0.338496557583396,-0.120403908529011,0.0193818676172918,0.0759383476829779,1,-0.063842040129314,-0.157373499780156,-0.201816938431647,0.15149520259215,-0.494453500513782,0.402169879802262,0.203003413784995,-0.270070508795356,0.224077088290809,0.170921067556728,-0.453588718184253,-0.43074445124797,0.280637962025468,-0.183498506511172,0.458841114691206,0.278707545141588,0.424442145659708,-0.0773985552604472,0.401525147279158,0.209672536613788,0.169611477352965,0.349524101551823,0.471119533170678,0.370928214073267,0.315479804048588,0.093052187255444,-0.068988714755741,0.312758718918608,0.194170160527389,0.385029927966249,0.125762195817791,0.153370090153698,0.509278081418494,0.24284472433392,0.452373089751265,0.104744736430382,0.435625759447633,0.18581613815108,0.458998291433693,0.45038948956184,0.421239641127132,0.0351341239428372,-0.24937183865102,0.547369563590815,0.450272139085893,0.473988143687935,0.386539695922004
"northern_brown_argus",0.0833886439783288,0.0989903924605509,-0.13691120304796,-0.02488797313964,-0.00395681592906767,0.127057060162334,-0.134858096145415,-0.063842040129314,1,-0.0125962017282995,0.0101054383431199,0.00427206977724165,-0.327989356945259,-0.122536869922977,0.216865652379836,0.0768499662568612,-0.0401188217085662,-0.0883139298973778,0.0646778643652362,-0.089340059555797,0.169576407564066,-0.317403262046976,-0.0837600437545949,0.060621045611998,-0.0147539426003498,0.108400049315677,0.0531761871596204,0.0604299775261377,-0.0878170582474721,-0.0157032894556536,-0.00836869307071532,0.152440840609577,-0.161974922049126,-0.0612399043465095,-0.389102788149135,-0.117115605241191,0.281181090610732,0.0109017582936877,-0.280546018676317,-0.243038610222844,0.0654429420410111,0.13139190391385,0.0954298549071288,0.0103574113119038,-0.0306980522485555,0.290537241034228,-0.0226930418856868,-0.14239092190944,-0.238521690202915,-0.342241862851594,0.00311950424880788,-0.158006832133724,-0.123161877326657,0.0158842976741074,0.0341137456333431
"pearl_bordered_fritillary",0.0840404952998396,0.0925299201090909,0.0499568256715004,-0.0642520984636337,0.356832382568216,0.352233898007993,0.43938979603655,-0.157373499780156,-0.0125962017282995,1,0.436751673982307,0.267019072522047,0.249403288772589,-0.0231175531950524,0.261780915985321,0.0306896733284186,0.160529378312979,0.118384830573114,0.260909379156555,-0.0064029625532277,0.214847557990876,0.327932637507965,-0.0124069324618323,0.177863642057027,0.0494433494749097,0.216645300904593,-0.075980792254111,-0.131324781439158,0.117778495077881,0.122236340478147,0.0317705763344783,0.0436443029460982,0.207009990695248,0.105109633352684,0.123107251887482,0.0880429157667302,0.159985301396493,-0.0570780384988424,-0.309917821302243,0.284679888507903,-0.117747937665276,0.232864374798274,0.0486340226181053,0.134508628473482,-0.109078820750537,0.153928050913988,0.193266817014422,0.103928576335659,-0.227295228604222,0.262766871140848,0.0726362039898875,-0.337332841995847,-0.115468470091859,0.0284490594832066,-0.0155930453223837
