"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.43607871635142,-0.0814900894645965,-0.373700977935417,-0.503058025850927,-0.125884459469298,-0.110450497210701,-0.430031157829719,-0.278119878790278,-0.313046397293142,-0.225659384640126,-0.276912543650334
"ARE",-0.43607871635142,1,-0.536153939045959,-0.319281561455741,0.278253527923881,-0.453982442452521,-0.238538717855683,-0.315122461195727,-0.23635316687718,-0.254002245345039,-0.42813604364344,-0.253431747853788
"BAX",-0.0814900894645965,-0.536153939045959,1,-0.421529874878105,-0.469866690700507,-0.227271940624792,-0.131709394605642,-0.40157572064608,-0.171506251667368,-0.565259236515398,-0.0857005445827818,-0.398731104718222
"CAM",-0.373700977935417,-0.319281561455741,-0.421529874878105,1,-0.329342647741806,0.0478770477429487,-0.482274888048159,-0.289800468636035,-0.484719162984042,-0.197301979232476,-0.224382745744448,-0.279725719366872
"GON",-0.503058025850927,0.278253527923881,-0.469866690700507,-0.329342647741806,1,-0.47865751287881,-0.39765085588918,-0.355579596681011,-0.224170997066393,-0.31150051008944,-0.494343177274254,-0.291182481429751
"MEL",-0.125884459469298,-0.453982442452521,-0.227271940624792,0.0478770477429487,-0.47865751287881,1,-0.393258316081355,-0.294963181995219,-0.506470635193431,-0.256349850481838,-0.278003853147171,-0.232065905468359
"OBL",-0.110450497210701,-0.238538717855683,-0.131709394605642,-0.482274888048159,-0.39765085588918,-0.393258316081355,1,-0.192157432431527,-0.122013323717482,-0.365507274166474,0.0892248228428112,-0.117071200618263
"OVA",-0.430031157829719,-0.315122461195727,-0.40157572064608,-0.289800468636035,-0.355579596681011,-0.294963181995219,-0.192157432431527,1,-0.196213618556926,-0.228948680552354,-0.0111702899775573,-0.280135467616998
"WIL",-0.278119878790278,-0.23635316687718,-0.171506251667368,-0.484719162984042,-0.224170997066393,-0.506470635193431,-0.122013323717482,-0.196213618556926,1,-0.264568370063424,-0.376385652900019,0.0569054929486859
"ALP",-0.313046397293142,-0.254002245345039,-0.565259236515398,-0.197301979232476,-0.31150051008944,-0.256349850481838,-0.365507274166474,-0.228948680552354,-0.264568370063424,1,-0.426842150149864,-0.176079196346885
"VIM",-0.225659384640126,-0.42813604364344,-0.0857005445827818,-0.224382745744448,-0.494343177274254,-0.278003853147171,0.0892248228428112,-0.0111702899775573,-0.376385652900019,-0.426842150149864,1,-0.450384961376019
"ARO.SAB",-0.276912543650334,-0.253431747853788,-0.398731104718222,-0.279725719366872,-0.291182481429751,-0.232065905468359,-0.117071200618263,-0.280135467616998,0.0569054929486859,-0.176079196346885,-0.450384961376019,1
