"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.512034583316507,-0.0877121950827214,-0.553774649588362,-0.727726313482223,-0.0632293524214594,-0.0579065533063937,-0.656815344564382,-0.331550616479659,-0.36448222104175,-0.424101379673635,-0.357535971006799
"ARE",-0.512034583316507,1,-0.70737989006172,-0.407630048055416,0.380160011927212,-0.683175739006854,-0.292450624788717,-0.543440548376001,-0.301557006884419,-0.351001956999601,-0.6659126878346,-0.350677582035259
"BAX",-0.0877121950827214,-0.70737989006172,1,-0.55031253292018,-0.492595472204658,-0.306169309781808,-0.167738076008076,-0.568680777015947,-0.19116079055591,-0.801716143272253,-0.106068331259648,-0.500156916844989
"CAM",-0.553774649588362,-0.407630048055417,-0.55031253292018,1,-0.42227942297492,0.137116431065564,-0.687759253643584,-0.348891467690142,-0.757841776102471,-0.286282337246679,-0.26516302483421,-0.353598663186435
"GON",-0.727726313482223,0.380160011927212,-0.492595472204658,-0.42227942297492,1,-0.694742106020219,-0.628236141404535,-0.625737619770662,-0.210570656751822,-0.475210273620884,-0.713844100476037,-0.468401416914094
"MEL",-0.0632293524214595,-0.683175739006854,-0.306169309781808,0.137116431065564,-0.694742106020219,1,-0.480536960521895,-0.353557859668304,-0.788364910225357,-0.266013938184036,-0.347728527983655,-0.205094968814819
"OBL",-0.0579065533063934,-0.292450624788718,-0.167738076008076,-0.687759253643584,-0.628236141404536,-0.480536960521894,1,-0.233569730803096,-0.148799548691168,-0.478209291141051,0.166482764892346,-0.139945005244865
"OVA",-0.656815344564382,-0.543440548376001,-0.568680777015946,-0.348891467690142,-0.625737619770662,-0.353557859668304,-0.233569730803096,1,-0.209599296365267,-0.138819514648266,0.0745730753701308,-0.337260947225346
"WIL",-0.331550616479659,-0.301557006884419,-0.19116079055591,-0.757841776102471,-0.210570656751822,-0.788364910225357,-0.148799548691168,-0.209599296365267,1,-0.295333490619907,-0.548477670753474,0.0465053516405315
"ALP",-0.364482221041749,-0.351001956999601,-0.801716143272253,-0.286282337246679,-0.475210273620884,-0.266013938184036,-0.478209291141051,-0.138819514648266,-0.295333490619906,1,-0.524548367933475,-0.27664377310529
"VIM",-0.424101379673635,-0.665912687834601,-0.106068331259648,-0.26516302483421,-0.713844100476036,-0.347728527983655,0.166482764892344,0.0745730753701309,-0.548477670753474,-0.524548367933475,1,-0.577497305583966
"ARO.SAB",-0.357535971006799,-0.350677582035259,-0.500156916844988,-0.353598663186435,-0.468401416914094,-0.205094968814819,-0.139945005244865,-0.337260947225346,0.0465053516405316,-0.27664377310529,-0.577497305583966,1
