"","ALA","ARE","BAX","CAM","GON","MEL","OBL","OVA","WIL","ALP","VIM","ARO.SAB"
"ALA",1,-0.375439948520988,-0.118686734027748,-0.0292463319824328,-0.411768428790534,-0.00884726592365787,-0.0600208903129534,-0.0155400026699939,-0.263674185351682,-0.0474401799549135,0.00499504824755022,-0.185250374331456
"ARE",-0.375439948520988,1,-0.729659312737909,-0.699027550825183,0.493637288876299,-0.466292471732462,-0.361668945983565,-0.450161455676203,0.0204512165552247,-0.48388978394862,-0.91879464609424,0.168929168179872
"BAX",-0.118686734027748,-0.729659312737909,1,-0.859218709437082,-0.596883103391578,-0.32538145767801,-0.0237819247386095,-0.138936857781176,-0.204769198577595,-0.829692499888063,0.0885957758915369,-0.437340177901207
"CAM",-0.0292463319824328,-0.699027550825183,-0.859218709437082,1,-0.810965115593264,-0.0022263240747386,-0.529751518062826,-0.288229790919421,-0.632567614345252,0.49144454628691,-0.146042833210884,-0.272014943731588
"GON",-0.411768428790534,0.493637288876299,-0.596883103391578,-0.810965115593264,1,-0.538628724379271,-0.372945942910843,-0.49078426906471,0.059888909145455,-0.625306183392021,-0.965561318602971,0.121997965484637
"MEL",-0.00884726592365787,-0.466292471732462,-0.32538145767801,-0.0022263240747386,-0.538628724379271,1,-0.361379900331517,-0.18319653922076,-0.410878214423284,-0.00378838452820489,-0.192992697702396,-0.167474353859158
"OBL",-0.0600208903129534,-0.361668945983565,-0.0237819247386095,-0.529751518062827,-0.372945942910843,-0.361379900331517,1,-0.00658800667646643,-0.152554828606719,-0.677996877546615,0.0513018775740749,-0.235349973856023
"OVA",-0.0155400026699939,-0.450161455676203,-0.138936857781176,-0.288229790919421,-0.49078426906471,-0.18319653922076,-0.00658800667646643,1,-0.233936238205911,-0.449841079610055,0.0451711107657863,-0.267929517916229
"WIL",-0.263674185351682,0.0204512165552247,-0.204769198577595,-0.632567614345252,0.059888909145455,-0.410878214423284,-0.152554828606719,-0.233936238205912,1,-0.476542129240504,-0.552426689860269,-0.00543426357770905
"ALP",-0.0474401799549135,-0.48388978394862,-0.829692499888063,0.49144454628691,-0.625306183392021,-0.00378838452820489,-0.677996877546615,-0.449841079610055,-0.476542129240504,1,-0.82434071758658,-0.196785237254203
"VIM",0.00499504824755023,-0.918794646094239,0.0885957758915369,-0.146042833210884,-0.965561318602971,-0.192992697702396,0.0513018775740749,0.0451711107657863,-0.552426689860269,-0.82434071758658,1,-0.589682967415461
"ARO.SAB",-0.185250374331456,0.168929168179872,-0.437340177901207,-0.272014943731588,0.121997965484637,-0.167474353859158,-0.235349973856023,-0.267929517916229,-0.00543426357770905,-0.196785237254203,-0.589682967415461,1
