"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,-0.223823718284358,-0.117577596631565,-0.178255393783421,-0.359954472719523,-0.129936559623069,0.104390296206547,-0.170986939117932,0.186361312792177,-0.256246017656233,-0.213053219845933
"antsin",-0.223823718284358,1,-0.101551699820073,0.363151345335582,-0.165525799010071,-0.576815026131611,-0.284488160092348,-0.751249689783791,-0.428088695887037,-0.655606482756843,-0.0418032427120194
"astfer",-0.117577596631565,-0.101551699820073,1,-0.0884083660561573,-0.154434652586267,-0.328016892908989,-0.33243955843372,-0.287294764922522,-0.282838428527663,-0.195250788890251,-0.313431449045502
"fompin",-0.17825539378342,0.363151345335582,-0.0884083660561573,1,-0.156855935536667,-0.428573996668234,-0.251011111630299,-0.761661644148511,-0.314198840680685,-0.458945917208703,0.229185669239407
"hetpar",-0.359954472719523,-0.165525799010071,-0.154434652586267,-0.156855935536667,1,-0.243981466406073,-0.218557707628141,-0.527875339820676,-0.4831259100979,-0.237528588015695,-0.123070183693865
"junlut",-0.129936559623069,-0.576815026131611,-0.328016892908989,-0.428573996668234,-0.243981466406073,1,-0.4167271001347,0.0182658311572492,0.207952718925884,-0.332725599586589,-0.634902402772574
"phefer",0.104390296206547,-0.284488160092348,-0.33243955843372,-0.251011111630299,-0.218557707628141,-0.4167271001347,1,-0.215838010738223,-0.103398946032157,-0.402057549414024,-0.372605549668833
"phenig",-0.170986939117932,-0.751249689783791,-0.287294764922522,-0.761661644148512,-0.527875339820676,0.0182658311572491,-0.215838010738223,1,0.171679041568364,-0.362953797938647,-0.766940413463335
"phevit",0.186361312792176,-0.428088695887037,-0.282838428527663,-0.314198840680685,-0.4831259100979,0.207952718925884,-0.103398946032157,0.171679041568364,1,-0.118001349201632,-0.425764055360369
"poscae",-0.256246017656234,-0.655606482756843,-0.195250788890251,-0.458945917208703,-0.237528588015695,-0.332725599586589,-0.402057549414024,-0.362953797938647,-0.118001349201632,1,-0.383766807875492
"triabi",-0.213053219845933,-0.0418032427120194,-0.313431449045502,0.229185669239407,-0.123070183693865,-0.634902402772574,-0.372605549668833,-0.766940413463335,-0.425764055360369,-0.383766807875492,1
