"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.199401552941306,-0.219163830378854,-0.180498752354116,-0.400338598177358,-0.343831263792419,0.0989958138025072,-0.379153032131559,-0.305339636266651,-0.264656255555805,-0.118444010672656,-0.557665218132963,-0.349805423649019,-0.402393696085305,-0.551254882372034,-0.37258582089845
"Culex_modestus",0.199401552941306,1,-0.186866077881109,0.163036385833152,-0.0909872300321769,-0.131047347850252,0.299122099903292,-0.186761752901969,-0.509595573339826,-0.17596712875085,0.124844389973595,-0.466831610333195,0.0179675272168802,-0.183973785351061,-0.458145095246991,-0.0472113324224938
"Culiseta_annulata",-0.219163830378854,-0.186866077881109,1,-0.363151992207694,-0.413115492802139,-0.39184738436271,-0.345270345043215,-0.536447709307965,-0.511677717889097,-0.507883013662137,-0.435475743699946,-0.60968324277666,-0.432510605486791,-0.470957600809498,-0.524422607488916,-0.462493155235527
"Anopheles_maculipennis_sl",-0.180498752354116,0.163036385833152,-0.363151992207694,1,-0.0410605380322173,-0.175210182007399,0.128246319242608,-0.274717092097679,-0.733606456919387,-0.221101460476845,0.162209665072743,-0.432821345421809,-0.0463923376505361,-0.203677890514049,-0.458381467433229,0.0823196506048212
"waterboatmen__Corixidae",-0.400338598177358,-0.0909872300321769,-0.413115492802139,-0.0410605380322173,1,-0.0924957685615378,-0.0130225861995279,-0.0725038574121951,-0.331883254177471,-0.152914755414364,-0.234051363844727,-0.190646489327256,-0.0795734661859281,-0.445469344554962,-0.277495012923952,-0.101230198770787
"diving_beetles__Dysticidae",-0.343831263792419,-0.131047347850252,-0.39184738436271,-0.175210182007399,-0.0924957685615379,1,-0.050391468854172,-0.0124174039368379,-0.0263122945844873,0.117693764340065,-0.197571257272498,-0.722492575421523,0.0517413980156011,-0.286513029767018,-0.288941373578449,-0.391318616866718
"damselflies__Zygoptera",0.0989958138025072,0.299122099903292,-0.345270345043215,0.128246319242609,-0.0130225861995279,-0.050391468854172,1,-0.0543739392522724,-0.40938621764964,0.0449683204029321,0.00397377289446157,-0.45572225438892,-0.0285165400524935,-0.307377343847643,-0.630889120951275,-0.188549846897633
"swimming_beetles__Haliplidae",-0.379153032131559,-0.18676175290197,-0.536447709307965,-0.274717092097679,-0.0725038574121953,-0.0124174039368383,-0.0543739392522726,1,-0.275916891333386,0.285936670574601,-0.162377073660332,-0.377824376555806,-0.169021088356805,-0.405487283876668,-0.564196124153443,-0.122667249535908
"opossum_shrimps__Mysidae",-0.305339636266651,-0.509595573339826,-0.511677717889097,-0.733606456919387,-0.331883254177471,-0.0263122945844873,-0.40938621764964,-0.275916891333386,1,-0.0236533490309858,-0.591364940655214,-0.500864134031895,-0.295678174717173,-0.636581661388767,-0.382276773491048,-0.731059752308392
"ditch_shrimp__Gammarus",-0.264656255555805,-0.17596712875085,-0.507883013662137,-0.221101460476845,-0.152914755414363,0.117693764340065,0.0449683204029321,0.285936670574601,-0.0236533490309857,1,-0.155584872064542,-0.529617281211607,-0.19364557862047,-0.362060677912521,-0.575901455791505,-0.299562369435915
"beetle_larvae__Coleoptera",-0.118444010672656,0.124844389973595,-0.435475743699945,0.162209665072743,-0.234051363844727,-0.197571257272497,0.00397377289446158,-0.162377073660333,-0.591364940655214,-0.155584872064542,1,-0.605046177671402,-0.110856184336897,-0.045266240875472,-0.590281044452852,-0.266734507050617
"dragonflies__Anisoptera",-0.557665218132963,-0.466831610333195,-0.60968324277666,-0.432821345421809,-0.190646489327256,-0.722492575421523,-0.45572225438892,-0.377824376555806,-0.500864134031896,-0.529617281211607,-0.605046177671403,1,-0.463129792238825,-0.624891677303947,-0.465842956664889,-0.23081783157803
"mayflies__Ephemeroptera",-0.349805423649019,0.0179675272168803,-0.432510605486791,-0.0463923376505362,-0.0795734661859279,0.0517413980156012,-0.0285165400524932,-0.169021088356804,-0.295678174717173,-0.19364557862047,-0.110856184336897,-0.463129792238825,1,-0.38816183535153,-0.40924740570054,-0.193160923272337
"newts__Pleurodelinae",-0.402393696085305,-0.183973785351061,-0.470957600809498,-0.203677890514049,-0.445469344554961,-0.286513029767018,-0.307377343847643,-0.405487283876668,-0.636581661388768,-0.362060677912522,-0.0452662408754721,-0.624891677303947,-0.38816183535153,1,-0.386427519049945,-0.370155540309241
"fish",-0.551254882372034,-0.458145095246991,-0.524422607488916,-0.458381467433229,-0.277495012923952,-0.288941373578449,-0.630889120951275,-0.564196124153444,-0.382276773491048,-0.575901455791505,-0.590281044452852,-0.465842956664889,-0.40924740570054,-0.386427519049945,1,-0.353703519774234
"saucer_bugs__Ilyocoris",-0.37258582089845,-0.0472113324224938,-0.462493155235527,0.0823196506048212,-0.101230198770787,-0.391318616866718,-0.188549846897633,-0.122667249535908,-0.731059752308392,-0.299562369435915,-0.266734507050618,-0.23081783157803,-0.193160923272337,-0.370155540309241,-0.353703519774233,1
