"","Culex_pipiens_sl","Culex_modestus","Culiseta_annulata","Anopheles_maculipennis_sl","waterboatmen__Corixidae","diving_beetles__Dysticidae","damselflies__Zygoptera","swimming_beetles__Haliplidae","opossum_shrimps__Mysidae","ditch_shrimp__Gammarus","beetle_larvae__Coleoptera","dragonflies__Anisoptera","mayflies__Ephemeroptera","newts__Pleurodelinae","fish","saucer_bugs__Ilyocoris"
"Culex_pipiens_sl",1,0.010107285377353,0.0151162827642761,0.0025621618751771,-0.0498618685926906,0.0229998130748674,0.0133532575724444,0.0130630516238407,-0.0880798506949168,0.0407158050922785,0.0382916206550556,-0.429520750891388,-0.0170748967429345,0.0401111875780359,-0.218645149723659,-0.213724574566963
"Culex_modestus",0.010107285377353,1,-0.375682647112516,0.335027612097397,0.0171008552274477,-0.0506834111588479,0.150244786459747,0.0694506529168966,-0.545942133102248,0.183762799758548,0.274396189601565,-0.259962549308646,-0.029417760086305,0.0412501965160065,-0.429984901755836,0.041614011604284
"Culiseta_annulata",0.0151162827642761,-0.375682647112516,1,-0.817679637595519,-0.333565703476905,0.228158276270036,-0.313237213529845,-0.152501628561837,-0.251664909392989,0.0573505700327791,-0.0694818021732282,-0.985455807866593,-0.152479437569457,0.280406015954838,-0.451603397376174,-0.979248149906343
"Anopheles_maculipennis_sl",0.0025621618751771,0.335027612097397,-0.817679637595519,1,0.0390361438731383,-0.220011519356922,0.244077399140626,0.0616406879754702,-0.90093089683208,0.171632755573007,0.414996541483242,0.0237140534876728,-0.0934319978724908,-0.141972530618649,-0.658923145534955,0.525830847911593
"waterboatmen__Corixidae",-0.0498618685926906,0.0171008552274477,-0.333565703476905,0.0390361438731383,1,-0.132840640798562,0.00534891784324008,-0.0235928859519497,-0.469777798025453,-0.112321878992007,-0.0638645452254796,-0.193424803053452,-0.0401344650192648,-0.18905503333463,-0.253126213965797,-0.0467770587059489
"diving_beetles__Dysticidae",0.0229998130748674,-0.0506834111588479,0.228158276270036,-0.220011519356922,-0.132840640798562,1,-0.0232617364199025,0.0419672293295951,0.0965589102585272,0.317514971561241,0.234616938768449,-0.717256848711248,-0.0623918143802465,0.303801696911774,-0.29633271076234,-0.533429326534335
"damselflies__Zygoptera",0.0133532575724444,0.150244786459747,-0.313237213529845,0.244077399140626,0.00534891784324008,-0.0232617364199025,1,0.0726215434178651,-0.480265054693493,0.177777476667565,0.239058643650937,-0.321522173057729,-0.0261309726981936,0.0707216369238061,-0.393443451196894,-0.0241997570259681
"swimming_beetles__Haliplidae",0.0130630516238407,0.0694506529168966,-0.152501628561837,0.0616406879754702,-0.0235928859519497,0.0419672293295951,0.0726215434178651,1,-0.282614838509674,0.176448301679621,0.1914471969196,-0.450356274970404,-0.0193967644447663,0.15187027054898,-0.321944853690021,-0.199139213468458
"opossum_shrimps__Mysidae",-0.0880798506949168,-0.545942133102248,-0.251664909392989,-0.90093089683208,-0.469777798025453,0.0965589102585272,-0.480265054693493,-0.282614838509674,1,-0.0186891667776689,-0.302443639992729,-0.940074103623584,-0.297864548064365,-0.16130643711643,-0.130997717462605,-0.993540319667663
"ditch_shrimp__Gammarus",0.0407158050922785,0.183762799758548,0.0573505700327791,0.171632755573007,-0.112321878992007,0.317514971561241,0.177777476667565,0.176448301679621,-0.0186891667776689,1,0.873755067569411,-0.842829460073699,-0.0615207586474764,0.820762020003028,-0.535800858037077,-0.450303982067241
"beetle_larvae__Coleoptera",0.0382916206550556,0.274396189601565,-0.0694818021732282,0.414996541483242,-0.0638645452254796,0.234616938768449,0.239058643650937,0.1914471969196,-0.302443639992729,0.873755067569411,1,-0.751566681285867,-0.0409335028563322,0.650752919879217,-0.584075438483355,-0.273680990438077
"dragonflies__Anisoptera",-0.429520750891388,-0.259962549308646,-0.985455807866593,0.0237140534876728,-0.193424803053452,-0.717256848711248,-0.321522173057729,-0.450356274970404,-0.940074103623584,-0.842829460073699,-0.751566681285867,1,-0.394874387328331,-0.975417090161555,-0.432924625524566,0.464755358153912
"mayflies__Ephemeroptera",-0.0170748967429345,-0.029417760086305,-0.152479437569457,-0.0934319978724908,-0.0401344650192648,-0.0623918143802465,-0.0261309726981936,-0.0193967644447663,-0.297864548064365,-0.0615207586474764,-0.0409335028563322,-0.394874387328331,1,-0.0703988002404132,-0.229441449348902,-0.228502085655914
"newts__Pleurodelinae",0.0401111875780359,0.0412501965160065,0.280406015954838,-0.141972530618649,-0.18905503333463,0.303801696911774,0.0707216369238061,0.15187027054898,-0.16130643711643,0.820762020003028,0.650752919879216,-0.975417090161555,-0.0703988002404132,1,-0.52651178041905,-0.63297992513271
"fish",-0.218645149723659,-0.429984901755836,-0.451603397376174,-0.658923145534955,-0.253126213965797,-0.29633271076234,-0.393443451196894,-0.321944853690021,-0.130997717462605,-0.535800858037077,-0.584075438483355,-0.432924625524566,-0.229441449348902,-0.52651178041905,1,-0.573983606409908
"saucer_bugs__Ilyocoris",-0.213724574566963,0.041614011604284,-0.979248149906343,0.525830847911593,-0.0467770587059489,-0.533429326534334,-0.0241997570259681,-0.199139213468458,-0.993540319667663,-0.450303982067241,-0.273680990438077,0.464755358153912,-0.228502085655914,-0.63297992513271,-0.573983606409908,1
