"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.0733005438949369,0.154593351304891,0.0698419283301268,-0.0102088766262991,0.136071113737334,0.407786568455125,0.0487859275686311,0.339196287702898,0.0345251821517243,0.0833249825809074
"antsin",0.0733005438949369,1,0.250911256106418,0.59761752506368,0.183090435485754,-0.171277068551767,0.065916674660237,-0.42430726681185,-0.193526514168875,-0.109926492464405,0.280325440790701
"astfer",0.154593351304891,0.250911256106418,1,0.222675497859257,0.240831416925763,0.0436250405578014,0.103139220693683,-0.000663748370963378,-0.0234418134550597,0.18982818342541,0.0607850263476399
"fompin",0.0698419283301268,0.59761752506368,0.222675497859257,1,0.142443291144866,-0.0838368419048572,0.0186679742261233,-0.51247264561229,-0.131878704568917,-0.0735074374674593,0.439526079658022
"hetpar",-0.010208876626299,0.183090435485754,0.240831416925763,0.142443291144866,1,0.0976550052161504,0.175638105247794,-0.229060030546316,-0.219275054731936,0.164828780112643,0.198398423585909
"junlut",0.136071113737334,-0.171277068551767,0.0436250405578014,-0.0838368419048572,0.0976550052161504,1,0.0258030216800651,0.294049895453694,0.427895028187192,0.0392236039964139,-0.251207721831524
"phefer",0.407786568455125,0.065916674660237,0.103139220693683,0.0186679742261233,0.175638105247794,0.0258030216800651,1,0.0680918229652,0.18514931908107,0.0826359980557754,-0.0671199358304254
"phenig",0.0487859275686311,-0.42430726681185,-0.000663748370963377,-0.51247264561229,-0.229060030546316,0.294049895453694,0.0680918229652,1,0.368083677354527,-0.0378800807771273,-0.49956294786997
"phevit",0.339196287702898,-0.193526514168875,-0.0234418134550597,-0.131878704568917,-0.219275054731936,0.427895028187192,0.18514931908107,0.368083677354527,1,0.104155067832165,-0.222262943761442
"poscae",0.0345251821517243,-0.109926492464405,0.189828183425409,-0.0735074374674593,0.164828780112643,0.0392236039964139,0.0826359980557754,-0.0378800807771273,0.104155067832165,1,-0.00191999440511047
"triabi",0.0833249825809074,0.280325440790701,0.0607850263476399,0.439526079658022,0.198398423585909,-0.251207721831524,-0.0671199358304254,-0.49956294786997,-0.222262943761442,-0.00191999440511046,1
