"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",1,0.0406344991471696,0.0515715621020575,0.0426429751350794,0.0667438981576445,0.0421045436901567,0.0491325415104472,0.0421955859953394,0.0529847904439796,0.0463837913115601,0.0449592215175091,0.0399336214515599,0.0612022937889432,0.052790206235016,0.0382716155250355,0.04694294589569,0.0436810543485503,0.063155497124037,0.049129429027102,0.0644463207197601,0.0413349954693826,0.0524558637537609,0.048096064363053,0.0487454450567443,0.0499520128059242,0.049452538750663,0.0406609436634223,0.0569697680810297,0.0638824547841498,0.0513937801321355,0.0471569405994283,0.0387936188395336,0.0493915588973569,0.0765135298820472,0.0932194936222708,0.0444612557365999,0.0385181415350486,0.0467163933549613,0.104656494648787,0.0445184697676588,0.0343374855209909,0.041671106862236,0.0349906361730763,0.0597567366879288,0.047537347306431,0.0389047486996532,0.0395213321699831,0.0443759476530389,0.0689602750494154,0.0604533489515509,0.180196446474848,0.0569130933777741,0.0497626140986463,0.0330912725184278,0.0369666279217393
"orange_tip",0.0406344991471696,1,0.0667273345787566,0.0360110746737329,0.0612789554705823,0.0392779054272694,0.0505121919916463,0.0504924674615966,0.0462759847109182,0.0412394570759489,0.0414582090973814,0.037058894282624,0.0631616361714816,0.0371968143577988,0.0323534223511343,0.0425465993189911,0.0424986984158084,0.0546737938293651,0.0408326216712451,0.0653986105271899,0.0392541947435271,0.050248510695162,0.0412163784093855,0.0623036029426502,0.0646688472498298,0.0445769622676027,0.0287772074589521,0.0368051288581835,0.0518663945291072,0.0663873289332863,0.0577975265936682,0.0522071776912642,0.0528838747035353,0.0838743885789382,0.0926849746863734,0.039199056073897,0.0393260773460432,0.0300692121759809,0.10162778751613,0.0408896590712799,0.034569516800387,0.0504424542207182,0.0273206736883759,0.0625027548441859,0.0327052171957979,0.039813105395121,0.0457493009292484,0.0401543492684452,0.0683086284690957,0.0636925696096864,0.194984973960107,0.0591084170022078,0.0369388428918509,0.0383786225775142,0.0349730266020977
"purple_emperor",0.0515715621020575,0.0667273345787566,1,0.0623736758377319,0.07401694257613,0.058365405147678,0.0506903133859683,0.0486074950237292,0.0763465953870959,0.0558142183701604,0.0576015188856145,0.0508337377972873,0.0786029201532998,0.0682951049291652,0.0667037906727691,0.0682964604330282,0.0547741332271111,0.0555897671268726,0.0708832241969722,0.0761686986857657,0.0497941810977971,0.0549034850311019,0.0636672546673825,0.0482069503767771,0.0451241338047123,0.0559594940425577,0.0734766380391199,0.0704813905160323,0.0558645428870923,0.0470631396990524,0.0394010754079843,0.0597676589451192,0.0455557131052132,0.0822027972702172,0.0822918089167789,0.0592719017178145,0.0868954526397894,0.0712028677131401,0.0883676439555038,0.0649076508510795,0.0594778246493136,0.0679404194028214,0.0600825899298523,0.0543630267051013,0.0663647183224823,0.084104986280928,0.0426143087949944,0.0601045279788528,0.0541608869755343,0.0557682090873159,0.148775281817795,0.0567948073853374,0.0662943821796811,0.0539050961533021,0.0637582789637936
"ringlet",0.0426429751350794,0.0360110746737329,0.0623736758377319,1,0.0574421497451543,0.0324257866446856,0.0430371723432455,0.0422785364478166,0.0401210845578226,0.0387496557123964,0.0353294328817536,0.0360711716970251,0.0555304474625017,0.0425281967841561,0.0375101701673342,0.0384404163638105,0.0385443831774237,0.0443875496194003,0.0373105625758009,0.0590118593669853,0.0343463333658296,0.0437882355776321,0.0430561474579191,0.0554936579299323,0.0563096954420394,0.0375740750667972,0.0315562498112082,0.0400607519307573,0.044522079875389,0.0594123114118299,0.0476101632613752,0.0437104326178962,0.0435419959066111,0.0830150364706518,0.0911726802304242,0.0396157482252691,0.0412882887191773,0.0357071940016632,0.0888402135364193,0.0384342364941768,0.0353267502107967,0.0516650690772446,0.033626139511181,0.0556528520915736,0.039149060204077,0.0404426581298058,0.0460285959103984,0.0425562726701071,0.0651957105007451,0.0566548210743039,0.148274943022219,0.0490399120515974,0.0360994564393677,0.0389104748318329,0.0361745688604073
"high_brown_fritillary",0.0667438981576445,0.0612789554705823,0.07401694257613,0.0574421497451543,1,0.0456291157878283,0.0410693560916702,0.0582573677417009,0.0534288591343817,0.0418454474220806,0.0364345823638841,0.0466876096099471,0.0687260163056511,0.0620035570330928,0.0561676103624633,0.0493968864665321,0.0511221392246963,0.0618379150602727,0.055855134599494,0.0708295897587305,0.0507332207626213,0.0451898643380872,0.0582764917346503,0.0635999516978475,0.0797642832979895,0.0439358362991591,0.0671049936358347,0.0556065013522439,0.061221670811657,0.070995925413469,0.0636032557240699,0.0706499068868401,0.0536772177222718,0.0841292411598256,0.0680995641295862,0.050884022671725,0.0719987788090248,0.0629594490402834,0.0969917218372267,0.0543381846932007,0.0668862701048279,0.0676820459360374,0.0622977084156856,0.0549430045528327,0.0634643967939459,0.0698270885625909,0.0543836165860428,0.0611058603411817,0.0796528226294281,0.0472239220209235,0.107952743330941,0.0596187055511357,0.0608461940246073,0.0654798353905155,0.0651119412300244
"dark.green_fritillary",0.0421045436901567,0.0392779054272694,0.058365405147678,0.0324257866446856,0.0456291157878283,1,0.027633924549851,0.0385483722251977,0.0386241087346464,0.0290556529728386,0.0254782844379771,0.0286894527535272,0.0619997541380711,0.0438061204056386,0.032336272460313,0.0346563528633965,0.0347289029707977,0.0325780266804223,0.0349068741915647,0.0577330645985484,0.0287645195488602,0.0337515196295069,0.0432517133976984,0.0395193213388481,0.0531386493047471,0.0259252028066084,0.0389574957687916,0.0378815981631656,0.0334401214681374,0.0456299478441424,0.0392983010885835,0.0429602977826108,0.0357511581092399,0.0952603479691874,0.0839056475555044,0.0355341114267693,0.0363164935545713,0.0395293154544949,0.0726798246794422,0.0341232240801673,0.0380255327287145,0.0458102656917354,0.0372945271876245,0.0395316716071517,0.0397185478335627,0.0360637070806503,0.0342090811609266,0.0432209309500024,0.0568433639703918,0.0390093932609285,0.070723676889178,0.0396273441528166,0.0391855915544393,0.0405891896678366,0.0388288811247563
"silver.washed_fritillary",0.0491325415104472,0.0505121919916463,0.0506903133859683,0.0430371723432455,0.0410693560916702,0.027633924549851,1,0.0427554962895737,0.0483217548479139,0.0302500056562518,0.0291461838040946,0.0331391555025105,0.0704826430700396,0.0464759169205825,0.0409352193790512,0.0451436537935036,0.0380931925337889,0.0418520049294425,0.049772403744289,0.0741178686957379,0.0335117006349684,0.0317531993118538,0.0420946394154704,0.0441667651387145,0.0548535064600233,0.0336993670736115,0.0518129731204506,0.0476171394259716,0.0414416342200263,0.0502194455980492,0.0444267739876743,0.0568082348646489,0.0290685227993626,0.0715449432135048,0.0653330942663634,0.0364022571185338,0.0510415216568383,0.0533741629904082,0.0787100749343466,0.0388907854392405,0.053633718488545,0.0522169614960837,0.0480618181666792,0.0441089838826085,0.0451611308783721,0.0492750163614238,0.033334306825471,0.042633715061034,0.0584273937331289,0.0308235158058502,0.103674279449957,0.0440111356697792,0.0450995682516809,0.0531391385440221,0.050266685599417
"brown_argus",0.0421955859953394,0.0504924674615966,0.0486074950237292,0.0422785364478166,0.0582573677417009,0.0385483722251977,0.0427554962895737,1,0.0494983983389901,0.0426901757930411,0.037414969883888,0.0385432396114524,0.0602166558411917,0.0450185693178824,0.0473130124293751,0.0485426640122843,0.0398072085137761,0.0526239131715922,0.0522016631916381,0.0655464708151735,0.0363647566749904,0.0413862975690041,0.0389707075154279,0.0485267142868009,0.0462950511446997,0.0385059380427952,0.0500804333030496,0.0557796601632549,0.0526511534123316,0.0503461421257774,0.0382295208860739,0.053245090694566,0.0384772037816707,0.0904543668073499,0.0814118018920575,0.0400333972206279,0.0544564299445769,0.0515502628057175,0.0759144033617896,0.0470851216069202,0.0377690585900115,0.0634258742147256,0.0433722504109321,0.0468987342502889,0.0452833932114304,0.0560122969404568,0.0340463697603069,0.0417150400726853,0.0490141023873053,0.0472369243939117,0.183439888382213,0.0292319884555906,0.0441379332066838,0.0420052849833499,0.0479916560623074
"northern_brown_argus",0.0529847904439796,0.0462759847109182,0.0763465953870959,0.0401210845578226,0.0534288591343817,0.0386241087346464,0.0483217548479139,0.0494983983389901,1,0.0422649184960343,0.0394606235709356,0.0397379241522598,0.0613915879267291,0.0475183106724386,0.0438860418908315,0.0404169595159906,0.0440345300655416,0.0478196766428489,0.0443987281737703,0.0632405116958683,0.0409588458454337,0.0497335161868968,0.0474157280905207,0.0609056190609357,0.0679252121942787,0.039181844894717,0.0467417319845348,0.0456498379746266,0.0480338819974043,0.0683635629391787,0.0573116682939028,0.0559181745337389,0.0506484748654227,0.094848620497307,0.0843132820410835,0.0433755878081229,0.0517551210830021,0.0448672086409616,0.108595972306652,0.0419914151856122,0.0499215817663,0.0584219126367424,0.0474519554985454,0.0593950625068459,0.0455684844349769,0.049238729470897,0.0521344386823526,0.0502145333170435,0.0718195861709043,0.0602995653271686,0.0953680271447687,0.0543728827593617,0.044989617114138,0.0539245724074576,0.048705686721173
"pearl_bordered_fritillary",0.0463837913115601,0.0412394570759489,0.0558142183701604,0.0387496557123964,0.0418454474220806,0.0290556529728386,0.0302500056562518,0.0426901757930411,0.0422649184960343,1,0.0282829212717958,0.0352915302790225,0.0530969482255219,0.0489000334279042,0.0381174778690359,0.0399715768876378,0.0422846987880913,0.039977889557324,0.0389648160259724,0.0595565002301935,0.0357904658830183,0.0326430564114746,0.0448733660363814,0.0447522600994893,0.0561795862442071,0.0326432159120521,0.0411258298246594,0.042832729590147,0.0399724898257023,0.0492218299890884,0.0456835346656214,0.047523166024383,0.0393830237632353,0.0890478429845422,0.0732819622225914,0.0399172212069766,0.0429957662124641,0.0484023546766759,0.0663024316815596,0.035570785557711,0.0416671007242151,0.0533896710203078,0.0410430392719233,0.045366717497196,0.0454864431385734,0.0429566777718234,0.0379214568815698,0.0451582115008056,0.0583263197959813,0.0387815400023909,0.0834149259824717,0.0416775935643153,0.0446616695801944,0.0438105138610824,0.0437660734064102
