"","small_tortoiseshell","orange_tip","purple_emperor","ringlet","high_brown_fritillary","dark.green_fritillary","silver.washed_fritillary","brown_argus","northern_brown_argus","pearl_bordered_fritillary","small_pearl.bordered_fritillary","green_hairstreak","chequered_skipper","holly_blue","small_heath","large_heath","clouded_yellow","small_blue","scotch_argus","mountain_ringlet","dingy_skipper","marsh_fritillary","brimstone","duke_of_burgundy_fritillary","silver.spotted_skipper","grayling","peacock","wall.brown","small_copper","adonis_blue","chalk.hill_blue","meadow_brown","marble_white","glanville_fritillary","heath_fritillary","purple_hairstreak","camberwell_beauty","large_skipper","swallowtail","speckled_wood","large_white","green.veined_white","small_white","silver.studded_blue","comma","common_blue","grizzled_skipper","gatekeeper","black_hairstreak","brown_hairstreak","lulworth_skipper","essex_skipper","small_skipper","red_admiral","painted_lady"
"small_tortoiseshell",0,0.00196209836837988,0.00178551754755339,0.00151336667016173,0.0032000304566282,0.00307530641517988,0.00323205464784976,0.00196147637483434,0.000876330262311169,0.00291191482112921,0.00319717090616205,0.00191991214944866,0.00218947504164473,0.00224407649443988,0.00263544933961114,0.00142817341237993,0.00187004943979468,0.00211967285575615,0.00258774671958155,0.0010660888717617,0.00204296721164309,0.00289756610702589,0.00207430552273899,0.00210083491285021,0.0021795816767984,0.0025604839883446,0.00208399263383564,0.0015181335230025,0.0021134592735189,0.00250094254655976,0.00231568450378056,0.00234772030649985,0.00233369183589784,0.00247067083001175,0.00166218483188189,0.00154736841173765,0.00285560843157751,0.00222687236047862,0.00123521215951419,0.00154846987644217,0.00203718833633374,0.00325464084099172,0.00209354264063011,0.00172240808098766,0.002293555789025,0.00283604165648252,0.00215714644121739,0.00238105259222162,0.00207472898199789,0.00264272761806539,0.00322098968154713,0.00305734328198631,0.0023636594808375,0.00207603309087126,0.00170133392415222
"orange_tip",0.00196209836837988,0,0.0361609102955535,0.0234691340049543,0.0450808799003711,0.0306534640316484,0.032924425015263,0.0295492409735335,0.0277653947832568,0.032789420861315,0.0342847905025638,0.0237425836618055,0.0497579185053504,0.0265834832124796,0.0286356626668467,0.0286489519013683,0.0268522305469521,0.0265975977630236,0.0358059085993149,0.0476704473961591,0.0242734503243454,0.0328443600856602,0.0262231698448099,0.0284260583786634,0.0281041474232989,0.0301240224791536,0.0257880908811718,0.0269867135127321,0.025881610752718,0.0309294844116211,0.0248704612386751,0.0317006024874105,0.0270886320487493,0.108543362086941,0.0599321242817583,0.0252069927896473,0.0319777480037203,0.0241702911459714,0.0591069236084892,0.0266834864843413,0.0265272179730645,0.0468386506637302,0.0244811243772932,0.0340281461874101,0.0273714054876388,0.031662913709871,0.02398285521826,0.0231679223139333,0.0450677252793132,0.0351120068458662,0.0947272912146938,0.0407987848603386,0.0283635320943857,0.0295001112152989,0.0276219473755457
"purple_emperor",0.00178551754755339,0.0361609102955535,0,0.0305295595263851,0.0536855654556828,0.0442052511825694,0.0458685504238238,0.0424721652571747,0.0263159197997431,0.0442231277053943,0.0485419836645872,0.0311876503173125,0.0545782421712542,0.0445224000713175,0.040323759301192,0.0307250212131355,0.0335588952451329,0.0345788139481478,0.0484601308507022,0.0433261195964421,0.0335100337549661,0.0445028114337963,0.0421155357158323,0.0386662439493081,0.0413396770744601,0.040433676066923,0.0415298332067667,0.0340948087502422,0.0338591944265791,0.0415390854157653,0.040299542069284,0.0412658766900499,0.0382158847462957,0.0966762321137438,0.057171619912578,0.0323844893095975,0.043754442366799,0.0410039016073712,0.0532147476211671,0.0299514469283952,0.0416426463693693,0.0542787815297838,0.037931023895469,0.0344980747980962,0.045201634976441,0.0444086795871823,0.0380095095828315,0.0420428510870809,0.049354860255858,0.0449003197886173,0.0910636006027698,0.0563284374003263,0.0472384355007197,0.038808557597107,0.0349907371521476
"ringlet",0.00151336667016173,0.0234691340049543,0.0305295595263851,0,0.0363432317919287,0.0268482370834068,0.0290584983773862,0.0250217872277555,0.0230048359408086,0.0286642208818335,0.0293703265308225,0.0211372031267538,0.0398539803787791,0.0237230568033304,0.0275559726711933,0.0233060604523277,0.0238477459785879,0.0245404524650602,0.0293549954068704,0.0394134368526956,0.0222098891766428,0.027827425144744,0.0239420005075776,0.025476437582398,0.0266361652072221,0.0250159632513531,0.0232069817925642,0.0225846198004663,0.0245135098226495,0.0281876099756938,0.0243985840952059,0.0288097507223986,0.0253721723051807,0.0867821320386529,0.0488927787035055,0.0214889512068232,0.0292435265722913,0.0230004589610434,0.048238251677337,0.0228583456306967,0.0238474765514979,0.042756204169819,0.0237168839643797,0.0283122426221937,0.0241187665010876,0.0293155605332802,0.0230208442538867,0.0232057643322299,0.0359184608129877,0.0306130637922736,0.0770558822720047,0.0324232477779878,0.0249703195939473,0.0261146662007616,0.0237289229287038
"high_brown_fritillary",0.0032000304566282,0.0450808799003711,0.0536855654556828,0.0363432317919287,0,0.0301742806364654,0.0357763416225821,0.0460401717205961,0.0311965451751958,0.0310366606419308,0.0323454380173174,0.0298373965582704,0.052667413463454,0.0526933047759396,0.0388691971488171,0.0310200770945759,0.0339727854178408,0.0378256060112921,0.041451047136826,0.0489148922866916,0.0344441799966514,0.0309336786491409,0.0479137857112346,0.0437311048031994,0.064501662206471,0.0295632508930757,0.0518487927667206,0.039880530904393,0.0371845542873576,0.052732537689398,0.053017924127163,0.0500682982260309,0.0417295503648428,0.103807044554488,0.0579679877751859,0.0389698952906111,0.0475302189090791,0.0525060466385157,0.0553233968008685,0.0317813309659135,0.0521592931558026,0.0505654527611153,0.0494133968160935,0.0347764673285517,0.0523313965292436,0.0463867283742358,0.0429739805397703,0.054467587023484,0.06174274502587,0.0353092085981983,0.0822083998720927,0.0492138415733368,0.051586051955133,0.0491139689658803,0.0446693506548046
"dark.green_fritillary",0.00307530641517988,0.0306534640316484,0.0442052511825694,0.0268482370834068,0.0301742806364654,0,0.0208045281115336,0.0343894481502578,0.0286813603139224,0.0212564900358206,0.0202951023309801,0.0220620012178634,0.0466575604465464,0.0358340897289205,0.0250336383499672,0.0273426940493244,0.025411037196118,0.0283974407902323,0.031006714598098,0.0459313638279388,0.0245462565042618,0.0224611857002076,0.0326699978042324,0.0328508095801017,0.0522770468601931,0.0211062478982811,0.0333856180221513,0.0309898302916802,0.0281879227124948,0.0408123048325693,0.0363415041454883,0.0340692038922935,0.0271482425412325,0.100571892665958,0.0539779378179825,0.0283279789599877,0.0354947878590575,0.0345317255556738,0.053123189573155,0.025327097960048,0.0336382303817307,0.0328754664855976,0.0323711122597827,0.031690403427413,0.0337334552215456,0.0345350090763387,0.0292521867123278,0.0347912473439775,0.0534881218369196,0.0263653003465512,0.078127325968004,0.0333473443414291,0.033717870679586,0.0335070191698854,0.0312456920127238
"silver.washed_fritillary",0.00323205464784976,0.032924425015263,0.0458685504238238,0.0290584983773862,0.0357763416225821,0.0208045281115336,0,0.0392055218326666,0.0304020314041667,0.0251575498508829,0.0270559335939436,0.0233799237813542,0.0573293783374064,0.040438912832887,0.0254274851316584,0.0309478338371784,0.0265425981965319,0.0281660749948664,0.0379139678266209,0.0498664212901763,0.024849314603816,0.0281593627493737,0.0365373909734129,0.0330036590432521,0.0502096719932644,0.0256745357188131,0.0385277873840262,0.0336567738890655,0.0279291581386606,0.0381575896907701,0.0363253493979597,0.032128219849081,0.0285230369051605,0.114105753502343,0.0602135468617065,0.0307933559008523,0.0325914405321436,0.0381332328178933,0.059467552923172,0.0281446965274039,0.0408163830330649,0.0296147691893305,0.0349850978796258,0.0345404504958443,0.0392777678112718,0.0317811221712358,0.0303665030520422,0.0364564452400683,0.057856762565964,0.0309821976488802,0.0870646447208345,0.0403606570208097,0.0395105829183298,0.0368613889910975,0.0357268216110671
"brown_argus",0.00196147637483434,0.0295492409735335,0.0424721652571747,0.0250217872277555,0.0460401717205961,0.0343894481502578,0.0392055218326666,0,0.0314612038709984,0.0347199359130772,0.0332924282091451,0.0280510317135609,0.0449161453513927,0.0235624981312297,0.0378955237886671,0.0290002473527744,0.03250730495673,0.0334300803461115,0.0330401672966403,0.0529486118965774,0.0289826229719109,0.0344949978449612,0.0263587703228718,0.035636143340442,0.0401188627557707,0.0293116285607921,0.0253580726654209,0.0277107253569615,0.0329545484093858,0.0441526744418969,0.0291311202833597,0.0451518361698692,0.0330281255353888,0.112288781930532,0.064983608611083,0.0259252034631935,0.0436499671747459,0.0250342779200036,0.0631549151498439,0.0299273853404932,0.0249854314970159,0.0666957795177711,0.0289700520306504,0.036838866598894,0.0218606646532847,0.04270383224155,0.0282274760291483,0.0278285299827579,0.0433982515344179,0.0399291196420627,0.102975096685446,0.0308302163354472,0.0226615135956641,0.0326601677876843,0.029143301422479
"northern_brown_argus",0.000876330262311169,0.0277653947832568,0.0263159197997431,0.0230048359408086,0.0311965451751958,0.0286813603139224,0.0304020314041667,0.0314612038709984,0,0.0274826903894754,0.0304399791755339,0.0200093700016783,0.0281760554769877,0.0359227182532488,0.0270885505018582,0.0168818604394025,0.0211600279695263,0.0228680318658565,0.0312050741256237,0.0169736867134305,0.0235715859045098,0.0274366387449583,0.0333375684785812,0.0252025781290958,0.0329891910875959,0.0255420046198967,0.032767297580053,0.02427410024604,0.0232484484373766,0.0301491312807404,0.0337675625980388,0.0287561956600929,0.0275684749214743,0.0369767974033696,0.0218277147949255,0.0237769050328582,0.0299526691912563,0.0341243703173908,0.0197817301106775,0.0174817377962364,0.0322819704902154,0.0326249592072134,0.0308599106413334,0.0179986475371087,0.036022251458276,0.0297015516128544,0.0293731305977141,0.0344493849816031,0.0329680674118826,0.0247486655186447,0.0390812867870724,0.0403705814094981,0.0377803348601604,0.0298399555277982,0.0258839560254456
"pearl_bordered_fritillary",0.00291191482112921,0.032789420861315,0.0442231277053943,0.0286642208818335,0.0310366606419308,0.0212564900358206,0.0251575498508829,0.0347199359130772,0.0274826903894754,0,0.0244003522026087,0.0230915424774998,0.0459963231991462,0.0386328855434549,0.0293131816903327,0.0261460833400925,0.0255280146148056,0.0294399133555316,0.0310262045462719,0.0443602108377696,0.0254881744407304,0.0251694919255478,0.0359373545312659,0.0339887108657765,0.053710962425471,0.02257680870785,0.0365101294827099,0.0323228975546323,0.0299429755805076,0.0434986584271863,0.0390803280906627,0.0373347743234475,0.0306755363588659,0.0941244654356691,0.0524689047553003,0.0307624027234943,0.0354582903417134,0.0389792353560618,0.0500188242021261,0.0257179633971031,0.0368687167663494,0.0409073452145399,0.0356683282268936,0.0307891147304526,0.0365798970715613,0.0346193669564888,0.0326663809308577,0.0401683407610549,0.0508703268203952,0.0274193074746848,0.07539095018072,0.0332268526337642,0.03709760085213,0.0362831805082276,0.0333322536207198
