"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",1,0.12932287049798,0.120166702461601,0.109136202495051,0.143303612878301,0.112799739945006,0.122191466448159,0.103434139744502,0.0741728500115941,0.121197566876178,0.110511593685882
"antsin",0.12932287049798,1,0.136106788891522,0.112435317902208,0.136894405326248,0.158615362904374,0.141838653046744,0.138249765621281,0.119612855766359,0.170813925576114,0.133963776851572
"astfer",0.120166702461601,0.136106788891522,1,0.126583867368447,0.128024587487439,0.135907033357745,0.147934657741357,0.119864883488522,0.110967130860687,0.141751562984823,0.143612340709283
"fompin",0.109136202495051,0.112435317902208,0.126583867368447,1,0.123663156754941,0.145980901417956,0.12217249773987,0.115834750166472,0.093502580023426,0.15671721090738,0.0962901149849493
"hetpar",0.143303612878301,0.136894405326248,0.128024587487439,0.123663156754941,1,0.145477373518263,0.132074621325523,0.130737911177483,0.113627837607939,0.150687875809196,0.133271884481375
"junlut",0.112799739945006,0.158615362904374,0.135907033357745,0.145980901417956,0.145477373518263,1,0.155599593229376,0.117581319136044,0.0981476985159662,0.142215985620499,0.144786937956387
"phefer",0.122191466448159,0.141838653046744,0.147934657741357,0.12217249773987,0.132074621325523,0.155599593229376,1,0.132399513061486,0.118713888230704,0.163139068896733,0.135947402043742
"phenig",0.103434139744502,0.138249765621281,0.119864883488522,0.115834750166472,0.130737911177483,0.117581319136044,0.132399513061486,1,0.0861375232565356,0.149513301477796,0.124862817023808
"phevit",0.0741728500115941,0.119612855766359,0.110967130860687,0.093502580023426,0.113627837607939,0.0981476985159662,0.118713888230704,0.0861375232565356,1,0.09624475996619,0.0961874565601618
"poscae",0.121197566876178,0.170813925576114,0.141751562984823,0.15671721090738,0.150687875809196,0.142215985620499,0.163139068896733,0.149513301477796,0.09624475996619,1,0.151006745393374
"triabi",0.110511593685882,0.133963776851572,0.143612340709283,0.0962901149849493,0.133271884481375,0.144786937956387,0.135947402043742,0.124862817023808,0.0961874565601618,0.151006745393374,1
