"","antser","antsin","astfer","fompin","hetpar","junlut","phefer","phenig","phevit","poscae","triabi"
"antser",0,0.150819679057998,0.140982745621848,0.128523106277734,0.169456735223951,0.13168879125857,0.139246689581466,0.110370780018459,0.0779131356216367,0.140528523213102,0.142104216246063
"antsin",0.150819679057998,0,0.17367994493321,0.109614240297021,0.177601192722228,0.222039668513247,0.179257434431453,0.1817677426869,0.128577124168725,0.247641310747105,0.162093697404769
"astfer",0.140982745621848,0.17367994493321,0,0.157533554057206,0.178439681670512,0.18199207938439,0.209342119678486,0.137913586892809,0.135535118812047,0.190464629156496,0.19680091719794
"fompin",0.128523106277734,0.109614240297021,0.157533554057206,0,0.148404398247466,0.184080390457215,0.142914471071203,0.138237271536519,0.100568631838137,0.192104812168802,0.100403860624192
"hetpar",0.169456735223951,0.177601192722228,0.178439681670512,0.148404398247466,0,0.181035178796753,0.186379284127151,0.153036153967034,0.1388237739085,0.196286471852999,0.156509405458432
"junlut",0.13168879125857,0.222039668513247,0.18199207938439,0.184080390457215,0.181035178796753,0,0.221741841948587,0.132886426508475,0.107187864920796,0.186336494224661,0.216478397356713
"phefer",0.139246689581466,0.179257434431453,0.209342119678486,0.142914471071203,0.186379284127151,0.221741841948587,0,0.145093834395784,0.142128683569432,0.237419251286483,0.158793852753382
"phenig",0.110370780018459,0.1817677426869,0.137913586892809,0.138237271536519,0.153036153967034,0.132886426508475,0.145093834395784,0,0.0968307410583102,0.169621964624108,0.15394755597642
"phevit",0.0779131356216367,0.128577124168725,0.135535118812047,0.100568631838137,0.1388237739085,0.107187864920796,0.142128683569432,0.0968307410583102,0,0.106218106358595,0.108719998874712
"poscae",0.140528523213102,0.247641310747105,0.190464629156496,0.192104812168802,0.196286471852999,0.186336494224661,0.237419251286483,0.169621964624108,0.106218106358595,0,0.199384949507045
"triabi",0.142104216246063,0.162093697404769,0.19680091719794,0.100403860624192,0.156509405458432,0.216478397356713,0.158793852753382,0.15394755597642,0.108719998874712,0.199384949507045,0
